season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2009/10,74230,45,45,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2010/11,74230,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2011/12,74230,45,43,3,270,0,0,0,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2014/15,74230,45,41,84,2307,0,5,7,39,0,0,0,4,0,0,7,513,0.0,0.0,0.0,0.0
2015/16,74230,50,48,127,2970,6,4,6,56,0,0,0,2,0,0,11,662,0.0,0.0,0.0,0.0
2016/17,74230,50,49,98,2498,5,1,5,53,0,0,0,3,0,0,9,534,616.0,534.2,383.0,153.5
2017/18,74230,55,52,95,2182,5,1,6,38,0,0,0,7,0,0,7,448,537.0,303.8,319.0,116.3
2018/19,74230,55,55,140,3196,3,2,12,46,0,0,0,3,0,0,17,626,616.0,520.4,448.0,158.7
2019/20,74230,55,56,109,2507,3,2,8,38,1,0,0,0,0,0,12,523,531.2,516.0,285.0,133.4
2020/21,74230,55,54,54,1775,0,2,4,36,0,0,0,2,0,0,5,313,298.6,195.3,198.0,69.1
