goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,1,0.05455087125301361,31,MC,Chelsea,Leicester,2,1,2021-05-18,14797,2020,472411,0.07079525291919708,0,1,0,0.05455087125301361,0.1253461241722107,0,N&#039;Golo Kanté
0,0,0,71,MC,Manchester City,Chelsea,1,2,2021-05-08,14781,2020,468858,0,0,0,0,0,0.036946360021829605,0.036946360021829605,N&#039;Golo Kanté
0,0,0,23,Sub,Chelsea,Fulham,2,0,2021-05-01,14767,2020,467105,0,0,0,0,0,0,0,N&#039;Golo Kanté
0,0,0,90,MC,West Ham,Chelsea,0,1,2021-04-24,14763,2020,465583,0,0,0,0,0,0.42447710037231445,0.42447710037231445,N&#039;Golo Kanté
0,0,0,28,Sub,Crystal Palace,Chelsea,1,4,2021-04-10,14737,2020,461417,0,0,0,0,0,0.8265500068664551,0.8265500068664551,N&#039;Golo Kanté
0,1,0.05628781020641327,90,DMC,Leeds,Chelsea,0,0,2021-03-13,14709,2020,456107,0.06476111710071564,0,3,0,0.05628781020641327,0.8558696508407593,0.7901514172554016,N&#039;Golo Kanté
0,2,0.36021098494529724,9,Sub,Chelsea,Everton,2,0,2021-03-08,14698,2020,455556,0,0,0,0,0.36021098494529724,0.36021098494529724,0,N&#039;Golo Kanté
0,1,0.06229836493730545,90,MC,Liverpool,Chelsea,0,1,2021-03-04,14719,2020,454269,0.064348004758358,1,1,0,0.06229836493730545,0.46271806955337524,0.3360717296600342,N&#039;Golo Kanté
0,1,0.020219024270772934,90,MC,Chelsea,Manchester United,0,0,2021-02-28,14685,2020,453213,0.03617040812969208,0,1,0,0.020219024270772934,0.8236609101295471,0.8236609101295471,N&#039;Golo Kanté
0,0,0,90,MC,Southampton,Chelsea,1,1,2021-02-20,14682,2020,450511,0,0,0,0,0,0.08272937685251236,0.08272937685251236,N&#039;Golo Kanté
0,0,0,17,Sub,Chelsea,Newcastle United,2,0,2021-02-15,14667,2020,450116,0.041798584163188934,0,1,0,0,0.041798584163188934,0,N&#039;Golo Kanté
0,0,0,14,Sub,Sheffield United,Chelsea,1,2,2021-02-07,14662,2020,448550,0,0,0,0,0,0.02284057065844536,0.02284057065844536,N&#039;Golo Kanté
0,0,0,14,Sub,Tottenham,Chelsea,0,1,2021-02-04,14653,2020,447266,0.06388513743877411,0,1,0,0,0.09944693744182587,0.03556180000305176,N&#039;Golo Kanté
0,0,0,66,MC,Chelsea,Manchester City,1,3,2021-01-03,14603,2020,439703,0,0,0,0,0,0.047811128199100494,0.047811128199100494,N&#039;Golo Kanté
0,2,0.07230271399021149,90,MC,Chelsea,Aston Villa,1,1,2020-12-28,14586,2020,438354,0.05718798562884331,0,3,0,0.07230271399021149,0.20917625725269318,0.1532970815896988,N&#039;Golo Kanté
0,0,0,75,MC,Arsenal,Chelsea,3,1,2020-12-26,14575,2020,438148,0.10812051594257355,0,1,0,0,0.14016756415367126,0.032047055661678314,N&#039;Golo Kanté
0,0,0,90,MC,Chelsea,West Ham,3,0,2020-12-21,14567,2020,437110,0.22322270274162292,0,1,0,0,0.9566236138343811,0.7334009408950806,N&#039;Golo Kanté
0,0,0,90,MC,Wolverhampton Wanderers,Chelsea,2,1,2020-12-15,14562,2020,434309,0.02359132654964924,0,2,0,0,0.1060314029455185,0.09371074289083481,N&#039;Golo Kanté
0,0,0,90,MC,Everton,Chelsea,1,0,2020-12-12,14546,2020,433307,0.01972297951579094,0,1,0,0,0.20334137976169586,0.18361839652061462,N&#039;Golo Kanté
0,0,0,90,MC,Chelsea,Leeds,3,1,2020-12-05,14538,2020,431607,0,0,0,0,0,0.23353557288646698,0.23353557288646698,N&#039;Golo Kanté
0,0,0,90,MC,Chelsea,Tottenham,0,0,2020-11-29,14529,2020,430514,0.08139687776565552,0,3,0,0,0.1798606812953949,0.11732340604066849,N&#039;Golo Kanté
0,0,0,90,MC,Newcastle United,Chelsea,0,2,2020-11-21,14521,2020,427663,0.06280503422021866,0,1,0,0,1.1319533586502075,1.069148302078247,N&#039;Golo Kanté
0,0,0,90,MC,Chelsea,Sheffield United,4,1,2020-11-07,14507,2020,426492,0.2584499418735504,1,1,0,0,0.855654239654541,0.597204327583313,N&#039;Golo Kanté
0,1,0.04103732109069824,90,MC,Burnley,Chelsea,0,3,2020-10-31,14496,2020,424510,0.030456775799393654,0,1,0,0.04103732109069824,0.11416330933570862,0.07312598824501038,N&#039;Golo Kanté
0,0,0,90,MC,Manchester United,Chelsea,0,0,2020-10-24,14491,2020,423110,0,0,0,0,0,0.1158067137002945,0.1158067137002945,N&#039;Golo Kanté
0,0,0,90,DMC,Chelsea,Southampton,3,3,2020-10-17,14475,2020,421128,0,0,0,0,0,0.6151014566421509,0.6151014566421509,N&#039;Golo Kanté
0,1,0.03355536237359047,84,DMC,Chelsea,Crystal Palace,4,0,2020-10-03,14467,2020,419252,0,0,0,0,0.03355536237359047,0.4367295801639557,0.4031742215156555,N&#039;Golo Kanté
0,0,0,90,DMC,West Bromwich Albion,Chelsea,3,3,2020-09-26,14108,2020,417604,0,0,0,0,0,0.23742778599262238,0.23742778599262238,N&#039;Golo Kanté
0,0,0,90,MC,Chelsea,Liverpool,0,2,2020-09-20,14102,2020,427498,0,0,0,0,0,0.0727275162935257,0.0727275162935257,N&#039;Golo Kanté
0,0,0,90,DMC,Brighton,Chelsea,1,3,2020-09-14,14095,2020,415376,0,0,0,0,0,0.2839597761631012,0.2839597761631012,N&#039;Golo Kanté
