goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,90,DC,Aston Villa,Sheffield United,1,0,2020-09-21,14104,2020,416906,0,0,0,0,0,0,0,Jack O&#039;Connell
0,0,0,90,DC,Sheffield United,Wolverhampton Wanderers,0,2,2020-09-14,14094,2020,415303,0,0,0,0,0,0,0,Jack O&#039;Connell
