season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2019/20,153723,40,46,144,2452,5,4,10,29,0,0,0,5,0,0,15,539,502.8,382.9,449.0,133.9
2020/21,153723,55,48,48,2027,0,2,3,41,0,0,1,8,1,0,2,244,245.4,346.9,206.0,79.3
