season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2009/10,50472,45,42,50,1632,1,1,0,36,1,0,0,3,0,0,2,0,0.0,0.0,0.0,0.0
2010/11,50472,50,46,75,1976,3,1,5,34,0,0,0,2,0,0,8,0,0.0,0.0,0.0,0.0
2011/12,50472,55,50,80,2876,0,3,7,51,0,0,0,7,0,0,5,0,0.0,0.0,0.0,0.0
2012/13,50472,50,48,103,3374,3,3,5,72,0,0,0,7,0,0,6,0,0.0,0.0,0.0,0.0
2013/14,50472,55,49,95,2857,1,4,12,33,0,0,0,5,0,0,6,155,0.0,0.0,0.0,0.0
2014/15,50472,50,46,79,2400,2,2,8,35,0,0,0,7,0,0,8,461,0.0,0.0,0.0,0.0
2015/16,50472,50,46,73,2428,2,2,7,37,0,0,0,5,1,0,3,438,0.0,0.0,0.0,0.0
2016/17,50472,50,47,23,613,1,1,0,10,0,0,0,2,0,0,0,100,119.8,80.4,84.0,28.6
2017/18,50472,50,49,6,204,0,0,0,6,0,0,0,0,0,0,0,41,33.8,19.3,4.0,5.8
2018/19,50472,45,44,1,14,0,0,0,0,0,0,0,0,0,0,0,3,5.2,0.1,0.0,0.5
2019/20,50472,45,42,41,1668,0,0,2,29,0,0,0,9,0,0,0,205,268.8,268.3,80.0,61.8
2020/21,50472,45,43,26,816,0,0,2,15,0,0,0,1,0,0,0,129,112.2,87.2,10.0,20.9
