name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
Aaron Connolly,FWD,Brighton,78,311,5,0,False,2021-04-20T19:15:00Z,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-352,22105,23,375
Aaron Cresswell,DEF,West Ham,435,316,14,0,False,2021-04-17T11:30:00Z,3,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-293500,2017423,12575,306075
Aaron Mooy,MID,Brighton,60,311,5,0,False,2021-04-20T19:15:00Z,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1,827,0,1
Aaron Ramsdale,GK,Sheffield Utd,483,318,20,3,False,2021-04-17T19:15:00Z,1,0,32,90,0,0,0,1,0,0,0,0,0,3,0,16,22.0,0.0,0.0,2.2,46,1199,138930,3113,1914
Aaron Wan-Bissaka,DEF,Man Utd,313,315,4,1,True,2021-04-18T15:00:00Z,3,1,32,90,0,0,0,1,0,0,0,1,0,0,0,15,25.4,30.2,6.0,6.2,57,25625,1394083,50996,25371
Abdoulaye Doucouré,MID,Everton,512,312,17,0,True,2021-04-16T19:00:00Z,2,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-983,51293,18,1001
Aboubakar Kamara,MID,Fulham,190,309,1,0,False,2021-04-18T12:30:00Z,1,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-9,3109,0,9
Adama Traoré,MID,Wolves,465,318,15,6,True,2021-04-17T19:15:00Z,1,0,32,90,0,1,1,0,0,0,0,0,0,0,0,16,23.2,48.3,50.0,12.2,60,48711,448481,52787,4076
Adam Forshaw,MID,Leeds,199,313,11,0,True,2021-04-19T19:00:00Z,1,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-14,619,6,20
Adam Lallana,MID,Brighton,54,311,5,1,False,2021-04-20T19:15:00Z,0,0,32,30,0,0,0,0,0,0,0,0,0,0,0,4,5.2,11.5,23.0,4.0,62,-1832,29941,438,2270
Adam Webster,DEF,Brighton,66,311,5,6,False,2021-04-20T19:15:00Z,0,0,32,90,0,0,1,0,0,0,0,0,0,0,0,21,7.2,1.1,0.0,0.8,43,-381,69730,343,724
Ademipo Odubeko,FWD,West Ham,638,316,14,0,False,2021-04-17T11:30:00Z,3,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,103,3658,393,290
Ademola Lookman,MID,Fulham,557,309,1,3,False,2021-04-18T12:30:00Z,1,1,32,68,0,0,1,0,0,0,0,0,0,0,0,7,4.2,10.9,6.0,2.1,49,-37805,139394,1782,39587
Adrien Silva,MID,Leicester,220,314,18,0,True,2021-04-22T19:00:00Z,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-38,16541,0,38
