name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
Aaron Connolly,FWD,Brighton,78,241,6,0,True,2021-02-22T20:00:00Z,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-211,24472,876,1087
Aaron Cresswell,DEF,West Ham,435,247,17,2,True,2021-02-21T12:00:00Z,2,1,25,90,0,0,0,1,0,0,0,0,0,0,0,18,23.4,19.1,0.0,4.3,58,58278,2132355,120087,61809
Aaron Mooy,MID,Brighton,60,241,6,0,True,2021-02-22T20:00:00Z,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,841,0,0
Aaron Ramsdale,GK,Sheffield Utd,483,243,8,3,False,2021-02-20T20:00:00Z,1,0,25,90,0,0,0,1,0,0,0,0,0,4,0,18,21.6,0.0,0.0,2.2,46,-1292,143299,1813,3105
Aaron Wan-Bissaka,DEF,Man Utd,313,245,14,2,True,2021-02-21T19:00:00Z,3,1,25,90,0,0,0,1,0,0,0,0,0,0,0,8,5.4,3.0,1.0,0.9,56,44957,1394962,92090,47133
Abdoulaye Doucouré,MID,Everton,512,244,11,3,False,2021-02-20T17:30:00Z,0,2,25,90,0,0,1,0,0,0,0,0,0,0,0,3,8.4,12.5,1.0,2.2,52,-10129,68464,925,11054
Aboubakar Kamara,MID,Fulham,190,243,15,0,True,2021-02-20T20:00:00Z,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-52,3233,0,52
Adama Traoré,MID,Wolves,465,248,10,6,True,2021-02-19T20:00:00Z,1,0,25,90,0,1,1,0,0,0,0,0,0,0,0,7,4.4,14.8,17.0,3.6,60,-3082,394719,1852,4934
Adam Forshaw,MID,Leeds,199,248,20,0,False,2021-02-19T20:00:00Z,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,7,587,20,13
Adam Forshaw,MID,Leeds,199,172,16,0,True,2021-02-23T18:00:00Z,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,7,587,20,13
