name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
Leandro Trossard,MID,Brighton,69,129,15,3,True,2020-12-20T12:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,1,17,14.8,81.3,27.0,12.3,58,-1454,57980,2172,3626
Lee Grant,GK,Man Utd,604,134,10,0,True,2020-12-20T16:30:00Z,6,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,307,2320,524,217
Lee Peltier,DEF,West Brom,600,138,2,0,True,2020-12-20T19:15:00Z,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-179,3796,414,593
Leif Davis,DEF,Leeds,214,134,13,1,False,2020-12-20T16:30:00Z,6,2,14,18,0,0,0,0,0,0,0,0,0,0,0,4,2.8,0.3,0.0,0.3,39,72,97154,2853,2781
Leighton Clarkson,MID,Liverpool,601,132,6,0,False,2020-12-19T12:30:00Z,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,225,33,33
Leonardo Campana,FWD,Wolves,476,130,4,0,False,2020-12-21T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-427,22757,424,851
Lewis Dunk,DEF,Brighton,62,129,15,1,True,2020-12-20T12:00:00Z,1,1,14,90,0,0,0,1,0,0,0,1,0,0,0,8,12.6,15.2,8.0,3.6,48,14078,208698,17445,3367
Lewis Richardson,FWD,Burnley,592,130,20,0,True,2020-12-21T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-53,6202,614,667
Liam Cooper,DEF,Leeds,195,134,13,5,False,2020-12-20T16:30:00Z,6,2,14,71,1,0,0,6,0,0,0,0,0,0,0,27,64.2,0.3,17.0,8.2,44,-990,42277,844,1834
Liam Delap,FWD,Man City,539,136,16,0,False,2020-12-19T15:00:00Z,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,171,82914,6394,6223
Lucas Digne,DEF,Everton,155,133,1,0,True,2020-12-19T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-26469,425854,190,26659
Lucas Rodrigues Moura da Silva,MID,Spurs,392,137,9,1,True,2020-12-20T14:15:00Z,0,2,14,41,0,0,0,1,0,0,0,0,0,0,0,5,10.2,7.5,4.0,2.2,67,-902,90846,939,1841
Lucas Torreira,MID,Arsenal,19,133,7,0,False,2020-12-19T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-48,6913,8,56
Lukasz Fabianski,GK,West Ham,431,131,5,2,False,2020-12-21T20:00:00Z,3,0,14,90,0,0,0,3,0,0,0,0,0,4,0,16,31.2,0.0,0.0,3.1,51,-8440,364719,11649,20089
Luka Milivojevic,MID,Crystal Palace,138,132,11,2,True,2020-12-19T12:30:00Z,0,7,14,90,0,0,0,7,0,0,0,0,0,0,0,20,14.6,19.6,13.0,4.7,56,-136,17233,197,333
Luke Ayling,DEF,Leeds,197,134,13,-1,False,2020-12-20T16:30:00Z,6,2,14,90,0,0,0,6,0,0,0,0,0,0,0,18,23.6,0.9,26.0,5.1,45,-11454,287262,6132,17586
Luke Freeman,MID,Sheffield Utd,477,129,3,0,False,2020-12-20T12:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-16,385,11,27
Luke Shaw,DEF,Man Utd,300,134,10,1,True,2020-12-20T16:30:00Z,6,2,14,59,0,0,0,1,0,0,0,0,0,0,0,8,10.0,38.8,0.0,4.9,48,-1687,57939,3012,4699
Luke Thomas,DEF,Leicester,240,137,17,0,False,2020-12-20T14:15:00Z,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-245,14165,262,507
Lys Mousset,FWD,Sheffield Utd,359,129,3,0,False,2020-12-20T12:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,94,5237,218,124
Léo Bonatini,FWD,Wolves,463,130,4,0,False,2020-12-21T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-160,10151,18,178
Mace Goodridge,MID,Burnley,551,130,20,0,True,2020-12-21T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-24,714,29,53
Mahmoud Ahmed Ibrahim Hassan,MID,Aston Villa,40,138,18,0,False,2020-12-20T19:15:00Z,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-9570,49226,40,9610
Mamadou Sakho,DEF,Crystal Palace,127,132,11,0,True,2020-12-19T12:30:00Z,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1386,16371,22,1408
Manuel Lanzini,MID,West Ham,439,131,5,0,False,2020-12-21T20:00:00Z,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-69,7396,358,427
Marcos Alonso,DEF,Chelsea,104,131,19,0,True,2020-12-21T20:00:00Z,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-1807,114107,268,2075
Marcos Rojo,DEF,Man Utd,294,134,10,0,True,2020-12-20T16:30:00Z,6,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-58,4044,9,67
