name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
Aaron Connolly,FWD,Brighton,78,121,8,0,False,2020-12-16T20:00:00Z,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-829,33931,1380,2209
Aaron Cresswell,DEF,West Ham,435,125,6,2,True,2020-12-16T20:00:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,4,3.2,6.7,1.0,1.1,52,50874,886573,66585,15711
Aaron Mooy,MID,Brighton,60,121,8,0,False,2020-12-16T20:00:00Z,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-16,901,1,17
Aaron Ramsdale,GK,Sheffield Utd,483,124,13,2,True,2020-12-17T20:00:00Z,2,3,13,90,0,0,0,3,0,0,0,0,0,4,0,15,26.6,0.0,0.0,2.7,47,-9641,179375,403,10044
Aaron Wan-Bissaka,DEF,Man Utd,313,124,15,1,False,2020-12-17T20:00:00Z,2,3,13,90,0,0,0,2,0,0,0,0,0,0,0,10,16.0,3.1,2.0,2.1,54,24179,665611,34384,10205
Abdoulaye Doucouré,MID,Everton,512,123,9,3,False,2020-12-16T18:00:00Z,0,2,13,90,0,0,1,0,0,0,0,0,0,0,0,19,11.8,2.3,8.0,2.2,53,-2506,80253,1828,4334
Aboubakar Kamara,MID,Fulham,190,121,3,1,True,2020-12-16T20:00:00Z,0,0,13,28,0,0,0,0,0,0,0,0,0,0,0,6,2.4,0.3,0.0,0.3,48,0,3708,74,74
Adama Traoré,MID,Wolves,465,126,5,1,True,2020-12-15T18:00:00Z,2,1,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.7,20.0,2.1,61,-8830,462552,5628,14458
Adam Forshaw,MID,Leeds,199,122,14,0,True,2020-12-16T18:00:00Z,5,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-15,579,11,26
Adam Lallana,MID,Brighton,54,121,8,3,False,2020-12-16T20:00:00Z,0,0,13,85,0,0,1,0,0,0,0,0,0,0,0,4,0.0,1.6,2.0,0.2,62,-787,23388,43,830
Adam Webster,DEF,Brighton,66,121,8,6,False,2020-12-16T20:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,0,0,24,15.6,11.8,6.0,3.3,44,-2686,125038,2600,5286
Ademola Lookman,MID,Fulham,557,121,3,3,True,2020-12-16T20:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,0,0,8,17.6,14.2,62.0,9.4,50,50348,103500,53477,3129
Adrien Silva,MID,Leicester,220,123,7,0,True,2020-12-16T18:00:00Z,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-302,19901,5,307
Adrián Bernabé,MID,Man City,537,128,18,0,True,2020-12-15T20:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-14,846,33,47
Adrián San Miguel del Castillo,GK,Liverpool,245,127,17,0,True,2020-12-16T20:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-674,31046,631,1305
Ahmed El-Sayed Hegazy,DEF,West Brom,414,128,12,0,False,2020-12-15T20:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,-380,13438,196,576
Ahmed El Mohamady,DEF,Aston Villa,29,120,4,8,True,2020-12-17T18:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,0,2,29,19.4,55.7,15.0,9.0,43,-140,21705,548,688
Ainsley Maitland-Niles,DEF,Arsenal,15,119,16,2,True,2020-12-16T18:00:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,15,17.6,1.6,0.0,1.9,46,-1473,65103,681,2154
Albian Ajeti,FWD,West Ham,447,125,6,0,True,2020-12-16T20:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-15,528,5,20
Aleksandar Mitrović,FWD,Fulham,184,121,3,1,True,2020-12-16T20:00:00Z,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,3,0.2,11.7,6.0,1.8,56,-25737,338704,1669,27406
Alex Nicolao Telles,DEF,Man Utd,568,124,15,1,False,2020-12-17T20:00:00Z,2,3,13,90,0,0,0,2,0,0,0,0,0,0,0,14,19.0,27.3,0.0,4.6,55,-15169,125416,5444,20613
Alexandre Lacazette,FWD,Arsenal,6,119,16,0,True,2020-12-16T18:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,83,-7281,199418,2375,9656
Alexis Mac Allister,MID,Brighton,80,121,8,0,False,2020-12-16T20:00:00Z,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-50,2906,29,79
Alex Iwobi,MID,Everton,159,123,9,6,False,2020-12-16T18:00:00Z,0,2,13,90,0,1,1,0,0,0,0,0,0,0,0,21,28.4,36.1,20.0,8.5,59,636,14823,1306,670
Alex McCarthy,GK,Southampton,363,119,1,3,False,2020-12-16T18:00:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,4,0,16,30.8,0.0,0.0,3.1,46,938,1700541,26811,25873
Alex Oxlade-Chamberlain,MID,Liverpool,248,127,17,0,True,2020-12-16T20:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,484,2305,566,82
Alfie Mawson,DEF,Fulham,185,121,3,0,True,2020-12-16T20:00:00Z,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-27,674,0,27
Alireza Jahanbakhsh,MID,Brighton,71,121,8,1,False,2020-12-16T20:00:00Z,0,0,13,11,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0,54,16,2721,74,58
Alisson Ramses Becker,GK,Liverpool,252,127,17,2,True,2020-12-16T20:00:00Z,2,1,13,90,0,0,0,1,0,0,0,0,0,1,0,9,14.2,0.0,0.0,1.4,59,-5110,475804,3268,8378
Allan Marques Loureiro,MID,Everton,502,123,9,1,False,2020-12-16T18:00:00Z,0,2,13,40,0,0,0,0,0,0,0,0,0,0,0,5,7.0,10.9,0.0,1.8,53,-499,68986,1006,1505
Allan Saint-Maximin,MID,Newcastle,338,122,10,0,False,2020-12-16T18:00:00Z,5,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-23195,276216,494,23689
Alphonse Areola,GK,Fulham,516,121,3,9,True,2020-12-16T20:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,4,2,29,26.8,0.0,0.0,2.7,45,3599,104244,6176,2577
Andi Zeqiri,FWD,Brighton,574,121,8,0,False,2020-12-16T20:00:00Z,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,47,2932,274,227
Andreas Christensen,DEF,Chelsea,116,126,20,0,False,2020-12-15T18:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-278,16609,107,385
Andreas Pereira,MID,Man Utd,304,124,15,0,False,2020-12-17T20:00:00Z,2,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-24,2649,1,25
Andrew Robertson,DEF,Liverpool,255,127,17,5,True,2020-12-16T20:00:00Z,2,1,13,90,0,1,0,1,0,0,0,0,0,0,0,25,36.4,62.7,6.0,10.5,72,-59078,1369429,16477,75555
Andriy Yarmolenko,MID,West Ham,436,125,6,1,True,2020-12-16T20:00:00Z,1,1,13,10,0,0,0,0,0,0,0,0,0,0,0,5,4.4,1.0,0.0,0.5,56,-45,5618,93,138
Andros Townsend,MID,Crystal Palace,137,125,19,4,False,2020-12-16T20:00:00Z,1,1,13,84,0,0,0,1,0,0,0,0,0,0,2,32,25.0,32.5,8.0,6.6,58,-9366,128764,1700,11066
