season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2006/07,19419,40,37,51,1745,0,0,0,26,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0
2007/08,19419,45,41,50,1193,0,1,0,19,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0
2008/09,19419,45,47,124,2970,3,4,0,46,0,0,0,1,0,0,19,0,0.0,0.0,0.0,0.0
2009/10,19419,50,47,88,2610,5,1,0,55,0,0,0,3,0,0,16,0,0.0,0.0,0.0,0.0
2010/11,19419,55,56,105,3213,3,0,5,53,0,0,0,7,1,0,23,0,0.0,0.0,0.0,0.0
2011/12,19419,55,54,84,2492,3,0,6,50,0,0,0,4,1,0,11,0,0.0,0.0,0.0,0.0
2012/13,19419,65,60,94,2219,2,3,6,32,0,0,0,1,0,0,10,0,0.0,0.0,0.0,0.0
2013/14,19419,60,63,147,2624,1,2,16,19,0,0,0,2,0,0,18,210,0.0,0.0,0.0,0.0
2014/15,19419,65,63,130,2986,1,1,14,30,0,0,0,5,0,0,9,641,0.0,0.0,0.0,0.0
2015/16,19419,65,61,53,1957,2,1,2,38,0,0,0,2,0,0,0,357,0.0,0.0,0.0,0.0
2016/17,19419,60,67,178,3296,6,0,17,29,1,0,0,5,0,0,15,778,831.6,100.8,400.0,133.3
2017/18,19419,65,62,74,2082,0,0,9,27,0,0,0,1,1,0,2,447,496.6,55.6,99.0,65.4
2018/19,19419,55,50,2,22,0,0,0,0,0,0,0,0,0,0,0,6,4.8,0.0,0.0,0.5
2019/20,19419,45,43,70,2167,0,1,7,35,0,0,0,1,0,0,4,395,448.4,40.0,342.0,83.4
2020/21,19419,45,45,53,1800,1,1,4,39,0,0,0,3,0,0,6,308,406.2,90.1,157.0,65.7
