season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2018/19,180294,50,50,45,873,3,2,1,23,0,0,0,0,0,0,5,123,141.8,109.6,308.0,55.9
2020/21,180294,60,56,41,1120,1,0,3,26,0,0,0,1,0,0,3,104,93.0,63.8,259.0,41.2
