player_name,position_x,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists_x,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id_x,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,date,id_y,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
Yves Bissouma,MID,Brighton,70,2,Burnley,2,False,2021-08-14,1,2,1,90,0,0,0,1,0,0,0,0,0,0,0,14,7.6,5.2,0.0,1.3,45,0,882586,0,0,1,Brighton,2,Burnley,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,90,MC,Burnley,Brighton,1,2,2021-08-14,16378,2021,475464,0.0,0,0,0,0.0,1.0603811740875244,1.0603811740875244
Aaron Connolly,FWD,Brighton,72,12,Watford,1,True,2021-08-21,2,0,2,45,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,1.1,6.0,0.5,55,-1682,15599,1899,3581,2,Watford,3,Brighton,2,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,1,0.5629963278770447,42,Sub,Brighton,Watford,2,0,2021-08-21,16391,2021,477240,0.0,0,0,0,0.5629963278770447,0.5910309553146362,0.028034603223204613
Adam Lallana,MID,Brighton,53,12,Watford,3,True,2021-08-21,2,0,2,79,0,0,1,0,0,0,0,0,0,0,0,14,8.2,3.2,2.0,1.3,55,-2112,18760,1002,3114,2,Watford,3,Brighton,2,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,82,MC,Brighton,Watford,2,0,2021-08-21,16391,2021,477236,0.0,0,0,0,0.0,0.08088762313127518,0.08088762313127518
Adam Webster,DEF,Brighton,61,12,Watford,5,True,2021-08-21,2,0,2,90,0,0,1,0,0,0,0,1,0,0,0,22,27.0,12.0,0.0,3.9,45,696,43513,4633,3937,2,Watford,3,Brighton,2,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,90,DC,Brighton,Watford,2,0,2021-08-21,16391,2021,477232,0.0,0,0,0,0.0,0.08088762313127518,0.08088762313127518
Alexis Mac Allister,MID,Brighton,74,12,Watford,3,True,2021-08-21,2,0,2,90,0,0,1,0,0,0,0,0,0,0,0,5,16.0,36.3,39.0,9.1,55,11681,43643,14725,3044,2,Watford,3,Brighton,2,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,3,0.6038995981216431,90,AMC,Brighton,Watford,2,0,2021-08-21,16391,2021,477237,0.11079800873994827,0,3,0,0.6038995981216431,0.20430780947208405,0.035107869654893875
Enock Mwepu,MID,Brighton,462,12,Watford,0,True,2021-08-21,2,0,2,18,0,0,0,0,0,0,0,1,0,0,0,-2,0.0,1.1,3.0,0.3,60,-1855,9111,282,2137,2,Watford,3,Brighton,2,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,1,0.03440256789326668,16,Sub,Brighton,Watford,2,0,2021-08-21,16391,2021,477242,0.0,0,0,0,0.03440256789326668,0.03440256789326668,0.0
Jakub Moder,MID,Brighton,75,12,Watford,1,True,2021-08-21,2,0,2,10,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,45,34729,73312,43772,9043,2,Watford,3,Brighton,2,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,8,Sub,Brighton,Watford,2,0,2021-08-21,16391,2021,477241,0.0,0,0,0,0.0,0.0,0.0
Leandro Trossard,MID,Brighton,64,12,Watford,3,True,2021-08-21,2,0,2,71,0,0,1,0,0,0,0,0,0,0,0,7,3.0,5.0,19.0,2.7,65,-12494,79895,3281,15775,2,Watford,3,Brighton,2,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,2,0.056723717600107186,74,AMC,Brighton,Watford,2,0,2021-08-21,16391,2021,477238,0.0,0,0,0,0.056723717600107186,0.056723717600107186,0.0
Lewis Dunk,DEF,Brighton,59,12,Watford,6,True,2021-08-21,2,0,2,90,0,0,1,0,0,0,0,0,0,0,0,25,9.6,0.3,2.0,1.2,50,-23181,435444,11914,35095,2,Watford,3,Brighton,2,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,90,DC,Brighton,Watford,2,0,2021-08-21,16391,2021,477231,0.0,0,0,0,0.0,0.05219851061701775,0.05219851061701775
Neal Maupay,FWD,Brighton,63,12,Watford,6,True,2021-08-21,2,0,2,45,1,0,0,0,0,0,0,0,0,0,1,28,34.0,13.8,19.0,6.7,65,37995,226193,58829,20834,2,Watford,3,Brighton,2,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,1,1,0.3277704119682312,48,FW,Brighton,Watford,2,0,2021-08-21,16391,2021,477239,0.035107869654893875,0,1,1,0.3277704119682312,0.3628782629966736,0.0
Pascal Groß,MID,Brighton,55,12,Watford,6,True,2021-08-21,2,0,2,90,0,1,1,0,0,0,0,0,0,0,0,27,29.8,57.6,21.0,10.8,60,1509,41958,5663,4154,2,Watford,3,Brighton,2,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,90,DMR,Brighton,Watford,2,0,2021-08-21,16391,2021,477233,0.16243240237236026,1,4,0,0.0,0.6158493757247925,0.5871602296829224
Robert Sánchez,GK,Brighton,69,12,Watford,6,True,2021-08-21,2,0,2,90,0,0,1,0,0,0,0,0,0,1,0,23,12.4,0.0,0.0,1.2,45,6720,1781897,54177,47457,2,Watford,3,Brighton,2,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,90,GK,Brighton,Watford,2,0,2021-08-21,16391,2021,477229,0.0,0,0,0,0.0,0.028034603223204613,0.028034603223204613
Shane Duffy,DEF,Brighton,56,12,Watford,14,True,2021-08-21,2,0,2,90,1,0,1,0,0,0,0,1,0,0,3,37,60.4,0.2,53.0,11.4,40,78743,377199,99896,21153,2,Watford,3,Brighton,2,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,1,3,0.1337432861328125,90,DC,Brighton,Watford,2,0,2021-08-21,16391,2021,477230,0.0,0,0,1,0.1337432861328125,0.05219851061701775,0.05219851061701775
Yves Bissouma,MID,Brighton,70,12,Watford,8,True,2021-08-21,2,0,2,90,0,1,1,0,0,0,0,0,0,0,2,32,35.0,12.7,7.0,5.5,45,4592,937554,61261,56669,2,Watford,3,Brighton,2,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,1,0.035107869654893875,90,MC,Brighton,Watford,2,0,2021-08-21,16391,2021,477235,0.3277704119682312,1,1,0,0.035107869654893875,0.4150767922401428,0.05219851061701775
