player_name,position,team,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,GW,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,shots,xG,xA,key_passes,npg,npxG,xGChain,xGBuildup,position_stat,season
Ashley Barnes,FWD,Burnley,Brighton,1,True,2021-08-14,1,2,20,0,0,0,2,0,0,0,0,0,0,0,3,2.2,10.1,0.0,1.2,55,0,133470,0,0,1,1070,1040,1100,1060,1060,1050,0,0.0,0.04358635097742082,1,0,0.0,0.04358635097742082,0.0,Sub,2021
Ashley Westwood,MID,Burnley,Brighton,7,True,2021-08-14,1,2,90,0,1,0,2,0,0,0,0,0,0,2,27,27.8,32.4,0.0,6.0,55,0,46788,0,0,1,1070,1040,1100,1060,1060,1050,0,0.0,0.7009339928627014,2,0,0.0,0.2250930219888687,0.1556788682937622,MC,2021
Ben Mee,DEF,Burnley,Brighton,1,True,2021-08-14,1,2,90,0,0,0,2,0,0,0,0,0,0,0,8,9.6,0.8,7.0,1.7,50,0,59668,0,0,1,1070,1040,1100,1060,1060,1050,1,0.38134732842445374,0.0,0,0,0.38134732842445374,0.020670229569077492,0.020670229569077492,DC,2021
Charlie Taylor,DEF,Burnley,Brighton,1,True,2021-08-14,1,2,90,0,0,0,2,0,0,0,0,0,0,0,13,14.4,15.6,2.0,3.2,45,0,41905,0,0,1,1070,1040,1100,1060,1060,1050,0,0.0,0.008357822895050049,1,0,0.0,0.04358635097742082,0.04358635097742082,DL,2021
Chris Wood,FWD,Burnley,Brighton,2,True,2021-08-14,1,2,90,0,0,0,2,0,0,0,0,0,0,0,3,3.8,12.0,25.0,4.1,70,0,220337,0,0,1,1070,1040,1100,1060,1060,1050,3,0.1089031770825386,0.09369844943284987,1,0,0.1089031770825386,0.2026016265153885,0.09369844943284987,FW,2021
Dwight McNeil,MID,Burnley,Brighton,2,True,2021-08-14,1,2,78,0,0,0,2,0,0,0,0,0,0,0,10,21.6,30.6,0.0,5.2,60,0,20227,0,0,1,1070,1040,1100,1060,1060,1050,0,0.0,0.08029947429895401,2,0,0.0,0.04131019115447998,0.0,ML,2021
Jack Cork,MID,Burnley,Brighton,2,True,2021-08-14,1,2,84,0,0,0,2,0,0,0,0,0,0,0,3,0.8,1.1,12.0,1.4,45,0,7356,0,0,1,1070,1040,1100,1060,1060,1050,2,0.09008438140153883,0.0,0,0,0.09008438140153883,0.09008438140153883,0.0,MC,2021
James Tarkowski,DEF,Burnley,Brighton,6,True,2021-08-14,1,2,90,1,0,0,2,0,0,0,1,0,0,0,13,49.0,0.6,44.0,9.4,50,0,92401,0,0,1,1070,1040,1100,1060,1060,1050,3,1.100896239280701,0.0,0,1,1.100896239280701,0.04131019115447998,0.04131019115447998,DC,2021
Jay Rodriguez,FWD,Burnley,Brighton,2,True,2021-08-14,1,2,69,0,0,1,0,0,0,0,0,0,0,0,10,6.6,2.5,17.0,2.6,55,0,58733,0,0,1,1070,1040,1100,1060,1060,1050,1,0.09369844943284987,0.0,0,0,0.09369844943284987,0.09369844943284987,0.0,FW,2021
Johann Berg Gudmundsson,MID,Burnley,Brighton,1,True,2021-08-14,1,2,90,0,0,0,2,0,0,0,1,0,0,0,5,7.2,2.6,2.0,1.2,55,0,4960,0,0,1,1070,1040,1100,1060,1060,1050,2,0.16048261523246765,0.0,0,0,0.16048261523246765,0.08352980017662047,0.04131019115447998,MR,2021
Josh Brownhill,MID,Burnley,Brighton,1,True,2021-08-14,1,2,11,0,0,0,0,0,0,0,0,0,0,0,8,7.2,10.5,0.0,1.8,45,0,288638,0,0,1,1070,1040,1100,1060,1060,1050,0,0.0,0.020670229569077492,1,0,0.0,0.020670229569077492,0.020670229569077492,Sub,2021
Matej Vydra,FWD,Burnley,Brighton,1,True,2021-08-14,1,2,5,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,12.0,1.0,55,0,69784,0,0,1,1070,1040,1100,1060,1060,1050,2,0.024196695536375046,0.0,0,0,0.024196695536375046,0.024196695536375046,0.0,Sub,2021
Matthew Lowton,DEF,Burnley,Brighton,1,True,2021-08-14,1,2,90,0,0,0,2,0,0,0,0,0,0,0,10,12.8,15.9,0.0,2.9,45,0,181765,0,0,1,1070,1040,1100,1060,1060,1050,0,0.0,0.024006633087992668,1,0,0.0,0.08598705381155014,0.08598705381155014,DR,2021
Nick Pope,GK,Burnley,Brighton,2,True,2021-08-14,1,2,90,0,0,0,2,0,0,0,0,0,4,0,17,30.0,0.0,0.0,3.0,55,0,280784,0,0,1,1070,1040,1100,1060,1060,1050,0,0.0,0.0,0,0,0.0,0.0,0.0,GK,2021
Aaron Cresswell,DEF,West Ham,Newcastle,7,False,2021-08-15,2,4,90,1,0,0,2,0,0,0,0,0,0,0,30,55.8,17.5,18.0,9.1,55,0,1213434,0,0,1,1150,1130,1280,1260,1250,1240,2,0.08297497779130936,0.03790903091430664,1,1,0.08297497779130936,0.544756293296814,0.4998027682304382,DL,2021
Andriy Yarmolenko,MID,West Ham,Newcastle,1,False,2021-08-15,2,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1.0,0.0,0.1,55,0,18464,0,0,1,1150,1130,1280,1260,1250,1240,0,0.0,0.0,0,0,0.0,0.0,0.0,Sub,2021
Angelo Ogbonna,DEF,West Ham,Newcastle,1,False,2021-08-15,2,4,90,0,0,0,2,0,0,0,0,0,0,0,18,12.0,0.9,0.0,1.3,50,0,9668,0,0,1,1150,1130,1280,1260,1250,1240,0,0.0,0.0,0,0,0.0,0.1096753478050232,0.1096753478050232,DC,2021
Ben Johnson,DEF,West Ham,Newcastle,1,False,2021-08-15,2,4,1,0,0,0,0,0,0,0,0,0,0,0,4,1.0,0.1,0.0,0.1,40,0,169647,0,0,1,1150,1130,1280,1260,1250,1240,0,0.0,0.0,0,0,0.0,0.0,0.0,Sub,2021
Craig Dawson,DEF,West Ham,Newcastle,1,False,2021-08-15,2,4,90,0,0,0,2,0,0,0,0,0,0,0,16,22.6,1.1,20.0,4.4,50,0,21144,0,0,1,1150,1130,1280,1260,1250,1240,1,0.03790903091430664,0.0,0,0,0.03790903091430664,0.5112596750259399,0.5112596750259399,DC,2021
Declan Rice,MID,West Ham,Newcastle,2,False,2021-08-15,2,4,90,0,0,0,2,0,0,0,0,0,0,0,22,27.8,25.3,6.0,5.9,50,0,299441,0,0,1,1150,1130,1280,1260,1250,1240,0,0.0,0.08848739415407181,2,0,0.0,1.0104001760482788,0.96803218126297,DMC,2021
Jarrod Bowen,MID,West Ham,Newcastle,2,False,2021-08-15,2,4,89,0,0,0,2,0,0,0,0,0,0,0,8,20.0,20.2,32.0,7.2,65,0,114253,0,0,1,1150,1130,1280,1260,1250,1240,2,0.4283054172992706,0.023153284564614296,1,0,0.4283054172992706,1.2971701622009275,0.8457114696502686,AMR,2021
Lukasz Fabianski,GK,West Ham,Newcastle,1,False,2021-08-15,2,4,90,0,0,0,2,0,0,0,0,0,1,0,10,13.2,0.0,0.0,1.3,50,0,145096,0,0,1,1150,1130,1280,1260,1250,1240,0,0.0,0.0,0,0,0.0,0.0,0.0,GK,2021
Michail Antonio,FWD,West Ham,Newcastle,13,False,2021-08-15,2,4,90,1,2,0,2,0,0,1,0,0,0,3,40,55.6,18.7,55.0,12.9,75,0,1617415,0,0,1,1150,1130,1280,1260,1250,1240,4,1.5109469890594482,0.4567725360393524,1,1,0.7497780919075012,1.3480998277664185,0.14154915511608124,FW,2021
Pablo Fornals,MID,West Ham,Newcastle,5,False,2021-08-15,2,4,90,0,1,0,2,0,0,0,0,0,0,0,24,37.6,48.9,24.0,11.1,60,0,27855,0,0,1,1150,1130,1280,1260,1250,1240,2,0.07738753408193587,0.5543847680091858,4,0,0.07738753408193587,1.0333566665649414,0.5112596750259399,AML,2021
Ryan Fredericks,DEF,West Ham,Newcastle,1,False,2021-08-15,2,4,2,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,45,0,9545,0,0,1,1150,1130,1280,1260,1250,1240,0,0.0,0.0,0,0,0.0,0.0,0.0,Sub,2021
Tomas Soucek,MID,West Ham,Newcastle,8,False,2021-08-15,2,4,90,1,0,0,2,0,0,0,0,0,0,1,34,53.6,3.8,93.0,15.0,60,0,753486,0,0,1,1150,1130,1280,1260,1250,1240,4,0.7969939708709717,0.0,0,1,0.7969939708709717,0.6397606134414673,0.5859357714653015,DMC,2021
Vladimir Coufal,DEF,West Ham,Newcastle,1,False,2021-08-15,2,4,90,0,0,0,2,0,0,0,0,0,0,0,18,20.4,23.9,6.0,5.0,50,0,932002,0,0,1,1150,1130,1280,1260,1250,1240,0,0.0,0.4015843272209168,2,0,0.0,0.4596175849437714,0.058033276349306114,DR,2021
Allan Saint-Maximin,FWD,Newcastle,West Ham,6,True,2021-08-15,2,4,90,0,1,0,4,0,0,0,0,0,0,1,34,39.6,48.3,10.0,9.8,65,0,293340,0,0,1,1040,1030,1140,1100,1070,1050,0,0.0,0.8580132126808167,4,0,0.0,1.102622628211975,0.24460941553115845,FW,2021
Callum Wilson,FWD,Newcastle,West Ham,6,True,2021-08-15,2,4,84,1,0,0,4,0,0,0,0,0,0,0,26,33.0,1.1,70.0,10.4,75,0,484010,0,0,1,1040,1030,1140,1100,1070,1050,4,1.007414937019348,0.0,0,1,1.007414937019348,1.0226925611495972,0.015277615748345854,FW,2021
Ciaran Clark,DEF,Newcastle,West Ham,0,True,2021-08-15,2,4,90,0,0,0,4,0,0,0,0,0,0,0,12,16.6,11.6,28.0,5.6,45,0,9309,0,0,1,1040,1030,1140,1100,1070,1050,3,0.2325003445148468,0.011805915273725986,1,0,0.2325003445148468,0.16568242013454434,0.16568242013454434,DC,2021
Emil Krafth,DEF,Newcastle,West Ham,0,True,2021-08-15,2,4,84,0,0,0,4,0,0,0,0,0,0,0,10,9.4,1.3,4.0,1.5,45,0,4670,0,0,1,1040,1030,1140,1100,1070,1050,1,0.054635800421237946,0.0,0,0,0.054635800421237946,0.0592232495546341,0.0592232495546341,DC,2021
Federico Fernández,DEF,Newcastle,West Ham,0,True,2021-08-15,2,4,90,0,0,0,4,0,0,0,0,0,0,0,20,46.8,0.3,4.0,5.1,45,0,14823,0,0,1,1040,1030,1140,1100,1070,1050,1,0.10544835776090622,0.0,0,0,0.10544835776090622,0.0592232495546341,0.0592232495546341,DC,2021
Freddie Woodman,GK,Newcastle,West Ham,6,True,2021-08-15,2,4,90,0,0,0,4,0,1,0,0,0,4,0,30,51.0,0.0,0.0,5.1,45,0,10930,0,0,1,1040,1030,1140,1100,1070,1050,0,0.0,0.0,0,0,0.0,0.09551658481359482,0.09551658481359482,GK,2021
Isaac Hayden,MID,Newcastle,West Ham,2,True,2021-08-15,2,4,90,0,0,0,4,0,0,0,0,0,0,0,14,8.8,3.3,8.0,2.0,45,0,10633,0,0,1,1040,1030,1140,1100,1070,1050,1,0.02070678398013115,0.0,0,0,0.02070678398013115,0.14909283816814425,0.12838605046272278,MC,2021
Jacob Murphy,MID,Newcastle,West Ham,7,True,2021-08-15,2,4,90,1,0,0,4,0,0,0,0,0,0,0,23,43.4,20.3,30.0,9.4,50,0,7373,0,0,1,1040,1030,1140,1100,1070,1050,3,0.1344154328107834,0.09551658481359482,1,1,0.1344154328107834,0.2299320250749588,0.0,DR,2021
Jonjo Shelvey,MID,Newcastle,West Ham,1,True,2021-08-15,2,4,69,0,0,0,4,0,0,0,1,0,0,0,7,3.6,14.4,0.0,1.8,55,0,9252,0,0,1,1040,1030,1140,1100,1070,1050,0,0.0,0.12838605046272278,1,0,0.0,0.12838605046272278,0.0,MC,2021
Matt Ritchie,DEF,Newcastle,West Ham,3,True,2021-08-15,2,4,90,0,1,0,4,0,0,0,0,0,0,0,24,28.0,54.9,14.0,9.7,50,0,16998,0,0,1,1040,1030,1140,1100,1070,1050,1,0.03983336687088013,0.26353034377098083,4,0,0.03983336687088013,0.26360657811164856,0.15714740753173828,DL,2021
Miguel Almirón,MID,Newcastle,West Ham,2,True,2021-08-15,2,4,90,0,0,0,4,0,0,0,0,0,0,0,12,10.0,13.8,18.0,4.2,55,0,34866,0,0,1,1040,1030,1140,1100,1070,1050,2,0.0710291638970375,0.02070678398013115,1,0,0.0710291638970375,0.3300528824329376,0.2501228451728821,MC,2021
Ryan Fraser,MID,Newcastle,West Ham,1,True,2021-08-15,2,4,20,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.3,5.0,0.5,55,0,9176,0,0,1,1040,1030,1140,1100,1070,1050,1,0.017438968643546104,0.0,0,0,0.017438968643546104,0.017438968643546104,0.0,Sub,2021
Sean Longstaff,MID,Newcastle,West Ham,1,True,2021-08-15,2,4,6,0,0,0,0,0,0,0,0,0,0,0,3,4.4,0.4,0.0,0.5,45,0,22857,0,0,1,1040,1030,1140,1100,1070,1050,0,0.0,0.0,0,0,0.0,0.0,0.0,Sub,2021
Anwar El Ghazi,MID,Aston Villa,Watford,1,False,2021-08-14,3,2,59,0,0,0,2,0,0,0,0,0,0,0,1,1.4,2.7,4.0,0.8,60,0,82948,0,0,1,1120,1110,1160,1130,1180,1130,0,0.0,0.0,0,0,0.0,0.01643071137368679,0.01643071137368679,AMR,2021
Ashley Young,DEF,Aston Villa,Watford,1,False,2021-08-14,3,2,90,0,0,0,3,0,0,0,0,0,0,0,13,8.4,22.7,6.0,3.7,50,0,63216,0,0,1,1120,1110,1160,1130,1180,1130,1,0.01643071137368679,0.057279478758573525,2,0,0.01643071137368679,0.18817806243896484,0.14373214542865753,AML,2021
Bertrand Traoré,MID,Aston Villa,Watford,4,False,2021-08-14,3,2,18,0,1,0,0,0,0,0,0,0,0,0,16,5.8,1.6,26.0,3.3,60,0,141304,0,0,1,1120,1110,1160,1130,1180,1130,1,0.07666414231061935,0.0,0,0,0.07666414231061935,0.1854051500558853,0.10874100774526596,Sub,2021
Danny Ings,FWD,Aston Villa,Watford,7,False,2021-08-14,3,2,90,1,0,0,3,0,0,0,0,0,0,1,29,34.2,0.9,25.0,6.0,80,0,2574177,0,0,1,1120,1110,1160,1130,1180,1130,1,0.7611688375473022,0.0,0,0,0.0,0.029264276847243312,0.029264276847243312,FW,2021
Ezri Konsa Ngoyo,DEF,Aston Villa,Watford,1,False,2021-08-14,3,2,90,0,0,0,3,0,0,0,0,0,0,0,15,19.6,1.3,2.0,2.3,50,0,75220,0,0,1,1120,1110,1160,1130,1180,1130,0,0.0,0.0,0,0,0.0,0.10999008268117903,0.10999008268117903,DC,2021
Jacob Ramsey,MID,Aston Villa,Watford,1,False,2021-08-14,3,2,45,0,0,0,1,0,0,0,0,0,0,0,2,0.6,12.1,5.0,1.8,45,0,22121,0,0,1,1120,1110,1160,1130,1180,1130,1,0.030585382133722305,0.08072580397129059,1,0,0.030585382133722305,0.10874100774526596,0.10874100774526596,Sub,2021
John McGinn,MID,Aston Villa,Watford,7,False,2021-08-14,3,2,90,1,0,0,3,0,0,0,0,0,0,0,28,40.4,2.1,13.0,5.6,60,0,60533,0,0,1,1120,1110,1160,1130,1180,1130,3,0.08473281562328339,0.0,0,1,0.08473281562328339,0.11399709433317184,0.029264276847243312,DMC,2021
Leon Bailey,MID,Aston Villa,Watford,4,False,2021-08-14,3,2,30,0,1,0,1,0,0,0,0,0,0,0,14,20.0,14.8,21.0,5.6,65,0,171733,0,0,1,1120,1110,1160,1130,1180,1130,2,0.12752558290958405,0.03374207019805908,1,0,0.12752558290958405,0.11446787416934967,0.0,Sub,2021
Marvelous Nakamba,MID,Aston Villa,Watford,2,False,2021-08-14,3,2,90,0,0,0,3,0,0,0,0,0,0,0,13,6.4,6.5,0.0,1.3,45,0,7728,0,0,1,1120,1110,1160,1130,1180,1130,0,0.0,0.0,0,0,0.0,0.13800528645515442,0.13800528645515442,DMC,2021
Matthew Cash,DEF,Aston Villa,Watford,1,False,2021-08-14,3,2,90,0,0,0,3,0,0,0,0,0,0,0,21,14.8,13.7,1.0,3.0,50,0,126813,0,0,1,1120,1110,1160,1130,1180,1130,1,0.010808209888637066,0.07666414231061935,1,0,0.010808209888637066,0.16819815337657928,0.08072580397129059,DR,2021
Matt Targett,DEF,Aston Villa,Watford,0,False,2021-08-14,3,2,45,0,0,0,2,0,0,0,0,0,0,0,4,3.0,14.8,0.0,1.8,50,0,675492,0,0,1,1120,1110,1160,1130,1180,1130,0,0.0,0.01643071137368679,1,0,0.0,0.01643071137368679,0.0,DL,2021
Tyrone Mings,DEF,Aston Villa,Watford,0,False,2021-08-14,3,2,90,0,0,0,3,0,0,0,1,0,0,0,12,15.6,0.8,0.0,1.6,50,0,572675,0,0,1,1120,1110,1160,1130,1180,1130,0,0.0,0.0,0,0,0.0,0.14373214542865753,0.14373214542865753,DC,2021
Adam Masina,DEF,Watford,Aston Villa,1,True,2021-08-14,3,2,90,0,0,0,2,0,0,0,0,0,0,0,8,7.2,0.3,0.0,0.8,45,0,7697,0,0,1,1060,1040,1060,1060,1060,1050,0,0.0,0.0,0,0,0.0,0.34319213032722473,0.34319213032722473,DL,2021
Christian Kabasele,DEF,Watford,Aston Villa,1,True,2021-08-14,3,2,90,0,0,0,2,0,0,0,0,0,0,0,12,20.2,0.1,4.0,2.4,45,0,6905,0,0,1,1060,1040,1060,1060,1060,1050,1,0.416583389043808,0.0,0,0,0.416583389043808,0.22987669706344604,0.22987669706344604,DC,2021
Craig Cathcart,DEF,Watford,Aston Villa,1,True,2021-08-14,3,2,90,0,0,0,2,0,0,0,0,0,0,0,6,11.8,0.8,0.0,1.3,45,0,10383,0,0,1,1060,1040,1060,1060,1060,1050,0,0.0,0.0,0,0,0.0,0.11263374239206315,0.11263374239206315,DR,2021
Daniel Bachmann,GK,Watford,Aston Villa,1,True,2021-08-14,3,2,90,0,0,0,2,0,0,0,0,0,0,0,9,2.8,0.0,0.0,0.3,45,0,149145,0,0,1,1060,1040,1060,1060,1060,1050,0,0.0,0.0,0,0,0.0,0.21052585542202,0.21052585542202,GK,2021
Dan Gosling,MID,Watford,Aston Villa,1,True,2021-08-14,3,2,21,0,0,0,2,0,0,0,0,0,0,0,3,2.6,0.3,0.0,0.3,50,0,4874,0,0,1,1060,1040,1060,1060,1060,1050,0,0.0,0.0,0,0,0.0,0.0,0.0,Sub,2021
Emmanuel Dennis,FWD,Watford,Aston Villa,12,True,2021-08-14,3,2,65,1,1,1,0,0,0,0,0,0,0,3,44,62.2,33.4,87.0,18.3,50,0,25528,0,0,1,1060,1040,1060,1060,1060,1050,5,0.5928282737731934,0.21429766714572904,3,1,0.5928282737731934,0.8301392793655396,0.1621035635471344,FW,2021
Ismaila Sarr,MID,Watford,Aston Villa,9,True,2021-08-14,3,2,90,1,0,0,2,0,0,0,0,0,0,2,30,48.4,46.1,44.0,13.9,60,0,192715,0,0,1,1060,1040,1060,1060,1060,1050,3,0.17224226891994476,0.3662054538726807,4,1,0.17224226891994476,0.5004300475120544,0.13909025490283966,MR,2021
Juraj Kucka,MID,Watford,Aston Villa,2,True,2021-08-14,3,2,68,0,0,1,0,0,0,0,1,0,0,0,3,8.2,0.8,2.0,1.1,55,0,2737,0,0,1,1060,1040,1060,1060,1060,1050,2,0.10308634489774704,0.0,0,0,0.10308634489774704,0.36536380648612976,0.34235048294067383,MC,2021
Ken Sema,MID,Watford,Aston Villa,1,True,2021-08-14,3,2,90,0,0,0,2,0,0,0,1,0,0,0,4,8.0,25.2,4.0,3.7,55,0,4107,0,0,1,1060,1040,1060,1060,1060,1050,0,0.0,0.556839644908905,2,0,0.0,0.22032929956912994,0.0800730288028717,ML,2021
Tom Cleverley,MID,Watford,Aston Villa,5,True,2021-08-14,3,2,78,0,1,0,1,0,0,0,0,0,0,0,17,22.8,12.0,2.0,3.7,50,0,6655,0,0,1,1060,1040,1060,1060,1060,1050,0,0.0,0.044856376945972436,1,0,0.0,0.2953046560287476,0.2504482865333557,MC,2021
Troy Deeney,FWD,Watford,Aston Villa,1,True,2021-08-14,3,2,11,0,0,0,1,0,0,0,0,0,0,0,3,2.0,0.3,0.0,0.2,55,0,225411,0,0,1,1060,1040,1060,1060,1060,1050,0,0.0,0.0,0,0,0.0,0.0,0.0,Sub,2021
William Troost-Ekong,DEF,Watford,Aston Villa,1,True,2021-08-14,3,2,90,0,0,0,2,0,0,0,0,0,0,0,11,7.8,0.0,0.0,0.8,45,0,7659,0,0,1,1060,1040,1060,1060,1060,1050,0,0.0,0.0,0,0,0.0,0.1743752360343933,0.1743752360343933,DC,2021
Aaron Wan-Bissaka,DEF,Man Utd,Leeds,2,True,2021-08-14,5,1,90,0,0,0,1,0,0,0,0,0,0,0,8,4.8,2.3,2.0,0.9,55,0,704348,0,0,1,1190,1160,1310,1250,1320,1280,0,0.0,0.0,0,0,0.0,0.4774770736694336,0.4774770736694336,DR,2021
Anthony Martial,FWD,Man Utd,Leeds,1,True,2021-08-14,5,1,15,0,0,0,0,0,0,0,0,0,0,0,5,2.4,1.2,0.0,0.4,80,0,130051,0,0,1,1190,1160,1310,1250,1320,1280,0,0.0,0.0,0,0,0.0,0.0,0.0,Sub,2021
Daniel James,MID,Man Utd,Leeds,2,True,2021-08-14,5,1,74,0,0,0,1,0,0,0,0,0,0,0,3,8.6,12.8,43.0,6.4,60,0,9452,0,0,1,1190,1160,1310,1250,1320,1280,3,0.22504566609859467,0.02128627523779869,1,0,0.22504566609859467,0.3190056383609772,0.11984071135520935,AMR,2021
David de Gea,GK,Man Utd,Leeds,2,True,2021-08-14,5,1,90,0,0,0,1,0,0,0,0,0,2,0,16,13.2,0.0,0.0,1.3,50,0,173508,0,0,1,1190,1160,1310,1250,1320,1280,0,0.0,0.0,0,0,0.0,0.3786909580230713,0.3786909580230713,GK,2021
Harry Maguire,DEF,Man Utd,Leeds,2,True,2021-08-14,5,1,90,0,0,0,1,0,0,0,0,0,0,0,12,10.0,0.9,4.0,1.5,55,0,842854,0,0,1,1190,1160,1310,1250,1320,1280,1,0.024532323703169826,0.0,0,0,0.024532323703169826,0.4880955517292023,0.4880955517292023,DC,2021
Jadon Sancho,MID,Man Utd,Leeds,1,True,2021-08-14,5,1,15,0,0,0,0,0,0,0,0,0,0,0,3,1.0,5.8,0.0,0.7,95,0,683763,0,0,1,1190,1160,1310,1250,1320,1280,0,0.0,0.0,0,0,0.0,0.0,0.0,Sub,2021
Luke Shaw,DEF,Man Utd,Leeds,1,True,2021-08-14,5,1,90,0,0,0,1,0,0,0,1,0,0,0,5,6.2,28.7,6.0,4.1,55,0,3743944,0,0,1,1190,1160,1310,1250,1320,1280,1,0.043794721364974976,0.12942400574684146,2,0,0.043794721364974976,0.3885506093502045,0.3447558879852295,DL,2021
Mason Greenwood,MID,Man Utd,Leeds,8,True,2021-08-14,5,1,90,1,0,0,1,0,0,0,0,0,0,1,28,41.2,23.7,27.0,9.2,75,0,506276,0,0,1,1190,1160,1310,1250,1320,1280,3,0.11961770802736282,0.2299694418907165,1,1,0.11961770802736282,0.6261897683143616,0.2766026258468628,FW,2021
