player_name,position,team,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,GW,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,shots,xG,xA,key_passes,npg,npxG,xGChain,xGBuildup,position_stat,season
Adam Lallana,MID,Brighton,Burnley,1,False,2021-08-14,1,2,45,0,0,0,0,0,0,0,0,0,0,0,7,1.6,3.0,2.0,0.7,55,0,17460,0,0,1,1190,1160,1130,1090,1180,1140,0,0.0,0.0,0,0,0.0,0.7037997245788574,0.7037997245788574,Sub,2021
Adam Webster,DEF,Brighton,Burnley,2,False,2021-08-14,1,2,90,0,0,0,1,0,0,0,0,0,0,0,11,23.6,2.8,0.0,2.6,45,0,38441,0,0,1,1190,1160,1130,1090,1180,1140,0,0.0,0.0,0,0,0.0,0.3872222900390625,0.3872222900390625,DR,2021
Alexis Mac Allister,MID,Brighton,Burnley,9,False,2021-08-14,1,2,14,1,0,0,0,0,0,0,0,0,0,3,28,38.2,0.4,17.0,5.6,55,0,3931,0,0,1,1190,1160,1130,1090,1180,1140,1,0.33932000398635864,0.0,0,1,0.33932000398635864,0.6274755001068115,0.2881555259227753,Sub,2021
Enock Mwepu,MID,Brighton,Burnley,1,False,2021-08-14,1,2,45,0,0,0,1,0,0,0,0,0,0,0,5,2.2,12.1,4.0,1.8,60,0,9904,0,0,1,1190,1160,1130,1090,1180,1140,0,0.0,0.05208665505051613,1,0,0.0,0.05208665505051613,0.0,MC,2021
Jakub Moder,MID,Brighton,Burnley,4,False,2021-08-14,1,2,18,0,1,0,0,0,0,0,0,0,0,0,13,21.2,10.8,19.0,5.1,45,0,8712,0,0,1,1190,1160,1130,1090,1180,1140,1,0.2881555259227753,0.6447369456291199,1,0,0.2881555259227753,1.2722125053405762,0.33932000398635864,Sub,2021
Leandro Trossard,MID,Brighton,Burnley,2,False,2021-08-14,1,2,75,0,0,0,1,0,0,0,0,0,0,0,4,2.2,1.9,8.0,1.2,65,0,88156,0,0,1,1190,1160,1130,1090,1180,1140,1,0.07632418721914291,0.0,0,0,0.07632418721914291,0.07632418721914291,0.0,ML,2021
Lewis Dunk,DEF,Brighton,Burnley,2,False,2021-08-14,1,2,90,0,0,0,1,0,0,0,0,0,0,0,14,19.6,0.7,0.0,2.0,50,0,437885,0,0,1,1190,1160,1130,1090,1180,1140,0,0.0,0.0,0,0,0.0,0.7037997245788574,0.7037997245788574,DC,2021
Neal Maupay,FWD,Brighton,Burnley,5,False,2021-08-14,1,2,90,1,0,0,1,0,0,0,1,0,0,0,20,34.0,6.5,74.0,11.5,65,0,160421,0,0,1,1190,1160,1130,1090,1180,1140,4,0.8151915669441223,0.0,0,1,0.8151915669441223,1.154511570930481,0.33932000398635864,FW,2021
Pascal Groß,MID,Brighton,Burnley,6,False,2021-08-14,1,2,90,0,1,0,1,0,0,0,0,0,0,1,24,26.4,35.3,14.0,7.6,60,0,34936,0,0,1,1190,1160,1130,1090,1180,1140,2,0.05421088635921478,0.3534135818481445,2,0,0.05421088635921478,0.4978481829166413,0.4861099123954773,DL,2021
Robert Sánchez,GK,Brighton,Burnley,2,False,2021-08-14,1,2,90,0,0,0,1,0,0,0,0,0,2,0,19,20.0,10.0,0.0,3.0,45,0,1701303,0,0,1,1190,1160,1130,1090,1180,1140,0,0.0,0.2881555259227753,1,0,0.0,1.0092166662216189,0.721061110496521,GK,2021
Shane Duffy,DEF,Brighton,Burnley,2,False,2021-08-14,1,2,90,0,0,0,1,0,0,0,0,0,0,0,22,34.8,0.2,57.0,9.2,40,0,226602,0,0,1,1190,1160,1130,1090,1180,1140,4,0.06374003738164903,0.0,0,0,0.06374003738164903,0.7037997245788574,0.7037997245788574,DC,2021
Steven Alzate,MID,Brighton,Burnley,2,False,2021-08-14,1,2,71,0,0,0,1,0,0,0,0,0,0,0,12,10.4,24.1,2.0,3.7,50,0,3347,0,0,1,1190,1160,1130,1090,1180,1140,0,0.0,0.14678990840911865,2,0,0.0,0.14678990840911865,0.14678990840911865,DMC,2021
Yves Bissouma,MID,Brighton,Burnley,2,False,2021-08-14,1,2,90,0,0,0,1,0,0,0,0,0,0,0,14,7.6,5.2,0.0,1.3,45,0,882586,0,0,1,1190,1160,1130,1090,1180,1140,0,0.0,0.0,0,0,0.0,1.0603811740875244,1.0603811740875244,MC,2021
