player_name,position,team,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,GW,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,season
Aaron Connolly,FWD,Brighton,Burnley,0,False,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,15789,0,0,1,1190,1160,1130,1090,1180,1140,2021
Adam Lallana,MID,Brighton,Burnley,1,False,2021-08-14,1,2,45,0,0,0,0,0,0,0,0,0,0,0,7,1.6,3.0,2.0,0.7,55,0,17460,0,0,1,1190,1160,1130,1090,1180,1140,2021
Adam Webster,DEF,Brighton,Burnley,2,False,2021-08-14,1,2,90,0,0,0,1,0,0,0,0,0,0,0,11,23.6,2.8,0.0,2.6,45,0,38441,0,0,1,1190,1160,1130,1090,1180,1140,2021
Alexis Mac Allister,MID,Brighton,Burnley,9,False,2021-08-14,1,2,14,1,0,0,0,0,0,0,0,0,0,3,28,38.2,0.4,17.0,5.6,55,0,3931,0,0,1,1190,1160,1130,1090,1180,1140,2021
Alireza Jahanbakhsh,MID,Brighton,Burnley,0,False,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,203,0,0,1,1190,1160,1130,1090,1180,1140,2021
Andi Zeqiri,FWD,Brighton,Burnley,0,False,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0,0,0,1,1190,1160,1130,1090,1180,1140,2021
Bernardo Fernandes Da Silva Junior,DEF,Brighton,Burnley,0,False,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,1037,0,0,1,1190,1160,1130,1090,1180,1140,2021
Danny Welbeck,FWD,Brighton,Burnley,0,False,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,12873,0,0,1,1190,1160,1130,1090,1180,1140,2021
Dan Burn,DEF,Brighton,Burnley,0,False,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,3067,0,0,1,1190,1160,1130,1090,1180,1140,2021
Davy Pröpper,MID,Brighton,Burnley,0,False,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,107,0,0,1,1190,1160,1130,1090,1180,1140,2021
Enock Mwepu,MID,Brighton,Burnley,1,False,2021-08-14,1,2,45,0,0,0,1,0,0,0,0,0,0,0,5,2.2,12.1,4.0,1.8,60,0,9904,0,0,1,1190,1160,1130,1090,1180,1140,2021
