player_name,position,team,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,GW,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,season
Florin Andone,FWD,Brighton,Burnley,0,False,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,12723,0,0,1,1190,1160,1130,1090,1180,1140,2021
Jakub Moder,MID,Brighton,Burnley,4,False,2021-08-14,1,2,18,0,1,0,0,0,0,0,0,0,0,0,13,21.2,10.8,19.0,5.1,45,0,8712,0,0,1,1190,1160,1130,1090,1180,1140,2021
Jason Steele,GK,Brighton,Burnley,0,False,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,177975,0,0,1,1190,1160,1130,1090,1180,1140,2021
Joël Veltman,DEF,Brighton,Burnley,0,False,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,271608,0,0,1,1190,1160,1130,1090,1180,1140,2021
Kjell Scherpen,GK,Brighton,Burnley,0,False,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,2238,0,0,1,1190,1160,1130,1090,1180,1140,2021
Leandro Trossard,MID,Brighton,Burnley,2,False,2021-08-14,1,2,75,0,0,0,1,0,0,0,0,0,0,0,4,2.2,1.9,8.0,1.2,65,0,88156,0,0,1,1190,1160,1130,1090,1180,1140,2021
Lewis Dunk,DEF,Brighton,Burnley,2,False,2021-08-14,1,2,90,0,0,0,1,0,0,0,0,0,0,0,14,19.6,0.7,0.0,2.0,50,0,437885,0,0,1,1190,1160,1130,1090,1180,1140,2021
Mathew Ryan,GK,Brighton,Burnley,0,False,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,1410,0,0,1,1190,1160,1130,1090,1180,1140,2021
Michal Karbownik,DEF,Brighton,Burnley,0,False,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,1,1190,1160,1130,1090,1180,1140,2021
Moisés Caicedo,MID,Brighton,Burnley,0,False,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0,0,0,1,1190,1160,1130,1090,1180,1140,2021
Neal Maupay,FWD,Brighton,Burnley,5,False,2021-08-14,1,2,90,1,0,0,1,0,0,0,1,0,0,0,20,34.0,6.5,74.0,11.5,65,0,160421,0,0,1,1190,1160,1130,1090,1180,1140,2021
Pascal Groß,MID,Brighton,Burnley,6,False,2021-08-14,1,2,90,0,1,0,1,0,0,0,0,0,0,1,24,26.4,35.3,14.0,7.6,60,0,34936,0,0,1,1190,1160,1130,1090,1180,1140,2021
Robert Sánchez,GK,Brighton,Burnley,2,False,2021-08-14,1,2,90,0,0,0,1,0,0,0,0,0,2,0,19,20.0,10.0,0.0,3.0,45,0,1701303,0,0,1,1190,1160,1130,1090,1180,1140,2021
Shane Duffy,DEF,Brighton,Burnley,2,False,2021-08-14,1,2,90,0,0,0,1,0,0,0,0,0,0,0,22,34.8,0.2,57.0,9.2,40,0,226602,0,0,1,1190,1160,1130,1090,1180,1140,2021
Solomon March,MID,Brighton,Burnley,2,False,2021-08-14,1,2,90,0,0,0,1,0,0,0,0,0,0,0,12,18.6,45.3,11.0,7.5,55,0,6789,0,0,1,1190,1160,1130,1090,1180,1140,2021
Steven Alzate,MID,Brighton,Burnley,2,False,2021-08-14,1,2,71,0,0,0,1,0,0,0,0,0,0,0,12,10.4,24.1,2.0,3.7,50,0,3347,0,0,1,1190,1160,1130,1090,1180,1140,2021
Tariq Lamptey,DEF,Brighton,Burnley,0,False,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,41209,0,0,1,1190,1160,1130,1090,1180,1140,2021
Taylor Richards,MID,Brighton,Burnley,0,False,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0,0,0,1,1190,1160,1130,1090,1180,1140,2021
Yves Bissouma,MID,Brighton,Burnley,2,False,2021-08-14,1,2,90,0,0,0,1,0,0,0,0,0,0,0,14,7.6,5.2,0.0,1.3,45,0,882586,0,0,1,1190,1160,1130,1090,1180,1140,2021
Ashley Barnes,FWD,Burnley,Brighton,1,True,2021-08-14,1,2,20,0,0,0,2,0,0,0,0,0,0,0,3,2.2,10.1,0.0,1.2,55,0,133470,0,0,1,1070,1040,1100,1060,1060,1050,2021
Ashley Westwood,MID,Burnley,Brighton,7,True,2021-08-14,1,2,90,0,1,0,2,0,0,0,0,0,0,2,27,27.8,32.4,0.0,6.0,55,0,46788,0,0,1,1070,1040,1100,1060,1060,1050,2021
Bailey Peacock-Farrell,GK,Burnley,Brighton,0,True,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,830,0,0,1,1070,1040,1100,1060,1060,1050,2021
Ben Mee,DEF,Burnley,Brighton,1,True,2021-08-14,1,2,90,0,0,0,2,0,0,0,0,0,0,0,8,9.6,0.8,7.0,1.7,50,0,59668,0,0,1,1070,1040,1100,1060,1060,1050,2021
Bobby Thomas,DEF,Burnley,Brighton,0,True,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,1,1070,1040,1100,1060,1060,1050,2021
Charlie Taylor,DEF,Burnley,Brighton,1,True,2021-08-14,1,2,90,0,0,0,2,0,0,0,0,0,0,0,13,14.4,15.6,2.0,3.2,45,0,41905,0,0,1,1070,1040,1100,1060,1060,1050,2021
Chris Wood,FWD,Burnley,Brighton,2,True,2021-08-14,1,2,90,0,0,0,2,0,0,0,0,0,0,0,3,3.8,12.0,25.0,4.1,70,0,220337,0,0,1,1070,1040,1100,1060,1060,1050,2021
Dale Stephens,MID,Burnley,Brighton,0,True,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,1674,0,0,1,1070,1040,1100,1060,1060,1050,2021
Dwight McNeil,MID,Burnley,Brighton,2,True,2021-08-14,1,2,78,0,0,0,2,0,0,0,0,0,0,0,10,21.6,30.6,0.0,5.2,60,0,20227,0,0,1,1070,1040,1100,1060,1060,1050,2021
Erik Pieters,DEF,Burnley,Brighton,0,True,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,13554,0,0,1,1070,1040,1100,1060,1060,1050,2021
Jack Cork,MID,Burnley,Brighton,2,True,2021-08-14,1,2,84,0,0,0,2,0,0,0,0,0,0,0,3,0.8,1.1,12.0,1.4,45,0,7356,0,0,1,1070,1040,1100,1060,1060,1050,2021
James Tarkowski,DEF,Burnley,Brighton,6,True,2021-08-14,1,2,90,1,0,0,2,0,0,0,1,0,0,0,13,49.0,0.6,44.0,9.4,50,0,92401,0,0,1,1070,1040,1100,1060,1060,1050,2021
Jay Rodriguez,FWD,Burnley,Brighton,2,True,2021-08-14,1,2,69,0,0,1,0,0,0,0,0,0,0,0,10,6.6,2.5,17.0,2.6,55,0,58733,0,0,1,1070,1040,1100,1060,1060,1050,2021
Johann Berg Gudmundsson,MID,Burnley,Brighton,1,True,2021-08-14,1,2,90,0,0,0,2,0,0,0,1,0,0,0,5,7.2,2.6,2.0,1.2,55,0,4960,0,0,1,1070,1040,1100,1060,1060,1050,2021
Josh Benson,MID,Burnley,Brighton,0,True,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,408,0,0,1,1070,1040,1100,1060,1060,1050,2021
Josh Brownhill,MID,Burnley,Brighton,1,True,2021-08-14,1,2,11,0,0,0,0,0,0,0,0,0,0,0,8,7.2,10.5,0.0,1.8,45,0,288638,0,0,1,1070,1040,1100,1060,1060,1050,2021
Kevin Long,DEF,Burnley,Brighton,0,True,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,12414,0,0,1,1070,1040,1100,1060,1060,1050,2021
Lewis Richardson,FWD,Burnley,Brighton,0,True,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0,0,0,1,1070,1040,1100,1060,1060,1050,2021
Matej Vydra,FWD,Burnley,Brighton,1,True,2021-08-14,1,2,5,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,12.0,1.0,55,0,69784,0,0,1,1070,1040,1100,1060,1060,1050,2021
Matthew Lowton,DEF,Burnley,Brighton,1,True,2021-08-14,1,2,90,0,0,0,2,0,0,0,0,0,0,0,10,12.8,15.9,0.0,2.9,45,0,181765,0,0,1,1070,1040,1100,1060,1060,1050,2021
Nathan Collins,DEF,Burnley,Brighton,0,True,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,7002,0,0,1,1070,1040,1100,1060,1060,1050,2021
Nick Pope,GK,Burnley,Brighton,2,True,2021-08-14,1,2,90,0,0,0,2,0,0,0,0,0,4,0,17,30.0,0.0,0.0,3.0,55,0,280784,0,0,1,1070,1040,1100,1060,1060,1050,2021
Phil Bardsley,DEF,Burnley,Brighton,0,True,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,56223,0,0,1,1070,1040,1100,1060,1060,1050,2021
Wayne Hennessey,GK,Burnley,Brighton,0,True,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,17185,0,0,1,1070,1040,1100,1060,1060,1050,2021
Will Norris,GK,Burnley,Brighton,0,True,2021-08-14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,8993,0,0,1,1070,1040,1100,1060,1060,1050,2021
Aaron Cresswell,DEF,West Ham,Newcastle,7,False,2021-08-15,2,4,90,1,0,0,2,0,0,0,0,0,0,0,30,55.8,17.5,18.0,9.1,55,0,1213434,0,0,1,1150,1130,1280,1260,1250,1240,2021
Alphonse Areola,GK,West Ham,Newcastle,0,False,2021-08-15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,86830,0,0,1,1150,1130,1280,1260,1250,1240,2021
Andriy Yarmolenko,MID,West Ham,Newcastle,1,False,2021-08-15,2,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1.0,0.0,0.1,55,0,18464,0,0,1,1150,1130,1280,1260,1250,1240,2021
Angelo Ogbonna,DEF,West Ham,Newcastle,1,False,2021-08-15,2,4,90,0,0,0,2,0,0,0,0,0,0,0,18,12.0,0.9,0.0,1.3,50,0,9668,0,0,1,1150,1130,1280,1260,1250,1240,2021
Arthur Masuaku,DEF,West Ham,Newcastle,0,False,2021-08-15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,5351,0,0,1,1150,1130,1280,1260,1250,1240,2021
Ben Johnson,DEF,West Ham,Newcastle,1,False,2021-08-15,2,4,1,0,0,0,0,0,0,0,0,0,0,0,4,1.0,0.1,0.0,0.1,40,0,169647,0,0,1,1150,1130,1280,1260,1250,1240,2021
Conor Coventry,MID,West Ham,Newcastle,0,False,2021-08-15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,6773,0,0,1,1150,1130,1280,1260,1250,1240,2021
Craig Dawson,DEF,West Ham,Newcastle,1,False,2021-08-15,2,4,90,0,0,0,2,0,0,0,0,0,0,0,16,22.6,1.1,20.0,4.4,50,0,21144,0,0,1,1150,1130,1280,1260,1250,1240,2021
Darren Randolph,GK,West Ham,Newcastle,0,False,2021-08-15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,11617,0,0,1,1150,1130,1280,1260,1250,1240,2021
Declan Rice,MID,West Ham,Newcastle,2,False,2021-08-15,2,4,90,0,0,0,2,0,0,0,0,0,0,0,22,27.8,25.3,6.0,5.9,50,0,299441,0,0,1,1150,1130,1280,1260,1250,1240,2021
Frederik Alves,DEF,West Ham,Newcastle,0,False,2021-08-15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,34822,0,0,1,1150,1130,1280,1260,1250,1240,2021
Issa Diop,DEF,West Ham,Newcastle,0,False,2021-08-15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,30917,0,0,1,1150,1130,1280,1260,1250,1240,2021
Jamal Baptiste,DEF,West Ham,Newcastle,0,False,2021-08-15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,1,1150,1130,1280,1260,1250,1240,2021
Jarrod Bowen,MID,West Ham,Newcastle,2,False,2021-08-15,2,4,89,0,0,0,2,0,0,0,0,0,0,0,8,20.0,20.2,32.0,7.2,65,0,114253,0,0,1,1150,1130,1280,1260,1250,1240,2021
Lukasz Fabianski,GK,West Ham,Newcastle,1,False,2021-08-15,2,4,90,0,0,0,2,0,0,0,0,0,1,0,10,13.2,0.0,0.0,1.3,50,0,145096,0,0,1,1150,1130,1280,1260,1250,1240,2021
Manuel Lanzini,MID,West Ham,Newcastle,0,False,2021-08-15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,9936,0,0,1,1150,1130,1280,1260,1250,1240,2021
Mark Noble,MID,West Ham,Newcastle,0,False,2021-08-15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,44904,0,0,1,1150,1130,1280,1260,1250,1240,2021
Michail Antonio,FWD,West Ham,Newcastle,13,False,2021-08-15,2,4,90,1,2,0,2,0,0,1,0,0,0,3,40,55.6,18.7,55.0,12.9,75,0,1617415,0,0,1,1150,1130,1280,1260,1250,1240,2021
Pablo Fornals,MID,West Ham,Newcastle,5,False,2021-08-15,2,4,90,0,1,0,2,0,0,0,0,0,0,0,24,37.6,48.9,24.0,11.1,60,0,27855,0,0,1,1150,1130,1280,1260,1250,1240,2021
Ryan Fredericks,DEF,West Ham,Newcastle,1,False,2021-08-15,2,4,2,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,45,0,9545,0,0,1,1150,1130,1280,1260,1250,1240,2021
Saïd Benrahma,MID,West Ham,Newcastle,12,False,2021-08-15,2,4,87,1,1,0,2,0,0,0,0,0,0,2,39,52.6,15.0,60.0,12.8,60,0,420297,0,0,1,1150,1130,1280,1260,1250,1240,2021
Tomas Soucek,MID,West Ham,Newcastle,8,False,2021-08-15,2,4,90,1,0,0,2,0,0,0,0,0,0,1,34,53.6,3.8,93.0,15.0,60,0,753486,0,0,1,1150,1130,1280,1260,1250,1240,2021
Vladimir Coufal,DEF,West Ham,Newcastle,1,False,2021-08-15,2,4,90,0,0,0,2,0,0,0,0,0,0,0,18,20.4,23.9,6.0,5.0,50,0,932002,0,0,1,1150,1130,1280,1260,1250,1240,2021
Winston Reid,DEF,West Ham,Newcastle,0,False,2021-08-15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,125953,0,0,1,1150,1130,1280,1260,1250,1240,2021
Allan Saint-Maximin,FWD,Newcastle,West Ham,6,True,2021-08-15,2,4,90,0,1,0,4,0,0,0,0,0,0,1,34,39.6,48.3,10.0,9.8,65,0,293340,0,0,1,1040,1030,1140,1100,1070,1050,2021
Callum Wilson,FWD,Newcastle,West Ham,6,True,2021-08-15,2,4,84,1,0,0,4,0,0,0,0,0,0,0,26,33.0,1.1,70.0,10.4,75,0,484010,0,0,1,1040,1030,1140,1100,1070,1050,2021
Ciaran Clark,DEF,Newcastle,West Ham,0,True,2021-08-15,2,4,90,0,0,0,4,0,0,0,0,0,0,0,12,16.6,11.6,28.0,5.6,45,0,9309,0,0,1,1040,1030,1140,1100,1070,1050,2021
Dwight Gayle,FWD,Newcastle,West Ham,0,True,2021-08-15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,16263,0,0,1,1040,1030,1140,1100,1070,1050,2021
Emil Krafth,DEF,Newcastle,West Ham,0,True,2021-08-15,2,4,84,0,0,0,4,0,0,0,0,0,0,0,10,9.4,1.3,4.0,1.5,45,0,4670,0,0,1,1040,1030,1140,1100,1070,1050,2021
Fabian Schär,DEF,Newcastle,West Ham,0,True,2021-08-15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,17533,0,0,1,1040,1030,1140,1100,1070,1050,2021
Federico Fernández,DEF,Newcastle,West Ham,0,True,2021-08-15,2,4,90,0,0,0,4,0,0,0,0,0,0,0,20,46.8,0.3,4.0,5.1,45,0,14823,0,0,1,1040,1030,1140,1100,1070,1050,2021
Freddie Woodman,GK,Newcastle,West Ham,6,True,2021-08-15,2,4,90,0,0,0,4,0,1,0,0,0,4,0,30,51.0,0.0,0.0,5.1,45,0,10930,0,0,1,1040,1030,1140,1100,1070,1050,2021
Isaac Hayden,MID,Newcastle,West Ham,2,True,2021-08-15,2,4,90,0,0,0,4,0,0,0,0,0,0,0,14,8.8,3.3,8.0,2.0,45,0,10633,0,0,1,1040,1030,1140,1100,1070,1050,2021
Jacob Murphy,MID,Newcastle,West Ham,7,True,2021-08-15,2,4,90,1,0,0,4,0,0,0,0,0,0,0,23,43.4,20.3,30.0,9.4,50,0,7373,0,0,1,1040,1030,1140,1100,1070,1050,2021
Jamaal Lascelles,DEF,Newcastle,West Ham,0,True,2021-08-15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,27048,0,0,1,1040,1030,1140,1100,1070,1050,2021
Jamal Lewis,DEF,Newcastle,West Ham,0,True,2021-08-15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,11767,0,0,1,1040,1030,1140,1100,1070,1050,2021
Javier Manquillo,DEF,Newcastle,West Ham,0,True,2021-08-15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,688449,0,0,1,1040,1030,1140,1100,1070,1050,2021
Jeff Hendrick,MID,Newcastle,West Ham,0,True,2021-08-15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,4139,0,0,1,1040,1030,1140,1100,1070,1050,2021
Joelinton Cássio Apolinário de Lira,FWD,Newcastle,West Ham,1,True,2021-08-15,2,4,5,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.8,0.0,0.1,60,0,44613,0,0,1,1040,1030,1140,1100,1070,1050,2021
Jonjo Shelvey,MID,Newcastle,West Ham,1,True,2021-08-15,2,4,69,0,0,0,4,0,0,0,1,0,0,0,7,3.6,14.4,0.0,1.8,55,0,9252,0,0,1,1040,1030,1140,1100,1070,1050,2021
Joseph Willock,MID,Newcastle,West Ham,0,True,2021-08-15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,95790,0,0,1,1040,1030,1140,1100,1070,1050,2021
Karl Darlow,GK,Newcastle,West Ham,0,True,2021-08-15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,53679,0,0,1,1040,1030,1140,1100,1070,1050,2021
Mark Gillespie,GK,Newcastle,West Ham,0,True,2021-08-15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,12284,0,0,1,1040,1030,1140,1100,1070,1050,2021
Martin Dubravka,GK,Newcastle,West Ham,0,True,2021-08-15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,12762,0,0,1,1040,1030,1140,1100,1070,1050,2021
Matthew Longstaff,MID,Newcastle,West Ham,0,True,2021-08-15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,9525,0,0,1,1040,1030,1140,1100,1070,1050,2021
Matt Ritchie,DEF,Newcastle,West Ham,3,True,2021-08-15,2,4,90,0,1,0,4,0,0,0,0,0,0,0,24,28.0,54.9,14.0,9.7,50,0,16998,0,0,1,1040,1030,1140,1100,1070,1050,2021
Miguel Almirón,MID,Newcastle,West Ham,2,True,2021-08-15,2,4,90,0,0,0,4,0,0,0,0,0,0,0,12,10.0,13.8,18.0,4.2,55,0,34866,0,0,1,1040,1030,1140,1100,1070,1050,2021
Paul Dummett,DEF,Newcastle,West Ham,0,True,2021-08-15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,1515,0,0,1,1040,1030,1140,1100,1070,1050,2021
Ryan Fraser,MID,Newcastle,West Ham,1,True,2021-08-15,2,4,20,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.3,5.0,0.5,55,0,9176,0,0,1,1040,1030,1140,1100,1070,1050,2021
Sean Longstaff,MID,Newcastle,West Ham,1,True,2021-08-15,2,4,6,0,0,0,0,0,0,0,0,0,0,0,3,4.4,0.4,0.0,0.5,45,0,22857,0,0,1,1040,1030,1140,1100,1070,1050,2021
Aaron Ramsey,MID,Aston Villa,Watford,0,False,2021-08-14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,8453,0,0,1,1120,1110,1160,1130,1180,1130,2021
Anwar El Ghazi,MID,Aston Villa,Watford,1,False,2021-08-14,3,2,59,0,0,0,2,0,0,0,0,0,0,0,1,1.4,2.7,4.0,0.8,60,0,82948,0,0,1,1120,1110,1160,1130,1180,1130,2021
Ashley Young,DEF,Aston Villa,Watford,1,False,2021-08-14,3,2,90,0,0,0,3,0,0,0,0,0,0,0,13,8.4,22.7,6.0,3.7,50,0,63216,0,0,1,1120,1110,1160,1130,1180,1130,2021
Axel Tuanzebe,DEF,Aston Villa,Watford,0,False,2021-08-14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,52507,0,0,1,1120,1110,1160,1130,1180,1130,2021
Bertrand Traoré,MID,Aston Villa,Watford,4,False,2021-08-14,3,2,18,0,1,0,0,0,0,0,0,0,0,0,16,5.8,1.6,26.0,3.3,60,0,141304,0,0,1,1120,1110,1160,1130,1180,1130,2021
Björn Engels,DEF,Aston Villa,Watford,0,False,2021-08-14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,95,0,0,1,1120,1110,1160,1130,1180,1130,2021
Carney Chukwuemeka,MID,Aston Villa,Watford,0,False,2021-08-14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,1933,0,0,1,1120,1110,1160,1130,1180,1130,2021
Conor Hourihane,MID,Aston Villa,Watford,0,False,2021-08-14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,3083,0,0,1,1120,1110,1160,1130,1180,1130,2021
Danny Ings,FWD,Aston Villa,Watford,7,False,2021-08-14,3,2,90,1,0,0,3,0,0,0,0,0,0,1,29,34.2,0.9,25.0,6.0,80,0,2574177,0,0,1,1120,1110,1160,1130,1180,1130,2021
Douglas Luiz Soares de Paulo,MID,Aston Villa,Watford,0,False,2021-08-14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,72328,0,0,1,1120,1110,1160,1130,1180,1130,2021
Emiliano Buendía Stati,MID,Aston Villa,Watford,2,False,2021-08-14,3,2,71,0,0,0,3,0,0,0,0,0,0,0,6,4.2,5.3,10.0,2.0,65,0,386824,0,0,1,1120,1110,1160,1130,1180,1130,2021
Emiliano Martínez,GK,Aston Villa,Watford,2,False,2021-08-14,3,2,90,0,0,0,3,0,0,0,0,0,4,0,18,28.2,0.0,0.0,2.8,55,0,2386407,0,0,1,1120,1110,1160,1130,1180,1130,2021
Ezri Konsa Ngoyo,DEF,Aston Villa,Watford,1,False,2021-08-14,3,2,90,0,0,0,3,0,0,0,0,0,0,0,15,19.6,1.3,2.0,2.3,50,0,75220,0,0,1,1120,1110,1160,1130,1180,1130,2021
Frédéric Guilbert,DEF,Aston Villa,Watford,0,False,2021-08-14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,1794,0,0,1,1120,1110,1160,1130,1180,1130,2021
