player_name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home
David Martin,GK,West Ham,0,0,0,0,0.0,553,180,0,0,0.0,0.0,2020-01-29,0,Liverpool,0,0,0,0,24,0,138923,2,0,0.0,0,-1517,8013,9530,41,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Declan Rice,MID,West Ham,0,0,15,0,20.1,395,180,2,0,8.2,25.6,2020-01-29,90,Liverpool,0,0,0,0,24,0,124193,2,0,36.0,2,8849,12873,4024,47,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Fabián Balbuena,DEF,West Ham,0,0,0,0,0.0,382,180,0,0,0.0,0.0,2020-01-29,0,Liverpool,0,0,0,0,24,0,36572,2,0,0.0,0,-2418,1137,3555,43,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Felipe Anderson Pereira Gomes,MID,West Ham,0,0,0,0,0.0,390,180,0,0,0.0,0.0,2020-01-29,0,Liverpool,0,0,0,0,24,0,207896,2,0,0.0,0,-12936,901,13837,66,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Gonçalo Bento Soares Cardoso,DEF,West Ham,0,0,0,0,0.0,594,180,0,0,0.0,0.0,2020-01-29,0,Liverpool,0,0,0,0,24,0,678,2,0,0.0,0,123,179,56,40,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Grady Diangana,MID,West Ham,0,0,0,0,0.0,398,180,0,0,0.0,0.0,2020-01-29,0,Liverpool,0,0,0,0,24,0,4523,2,0,0.0,0,-42,124,166,44,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Issa Diop,DEF,West Ham,0,0,3,0,0.1,381,180,2,0,1.0,9.6,2020-01-29,90,Liverpool,0,0,0,0,24,0,160082,2,0,0.0,0,4480,7279,2799,44,True,1,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Jack Wilshere,MID,West Ham,0,0,0,0,0.0,394,180,0,0,0.0,0.0,2020-01-29,0,Liverpool,0,0,0,0,24,0,14325,2,0,0.0,0,-149,14,163,47,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Javier Hernández Balcázar,FWD,West Ham,0,0,0,0,0.0,386,180,0,0,0.0,0.0,2020-01-29,0,Liverpool,0,0,0,0,24,0,26051,2,0,0.0,0,-59,26,85,60,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Jeremy Ngakia,DEF,West Ham,0,0,11,0,3.6,593,180,2,0,1.0,6.4,2020-01-29,90,Liverpool,0,0,0,0,24,0,464,2,0,0.0,1,55,83,28,40,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Joseph Anang,GK,West Ham,0,0,0,0,0.0,582,180,0,0,0.0,0.0,2020-01-29,0,Liverpool,0,0,0,0,24,0,10804,2,0,0.0,0,92,759,667,40,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Lukasz Fabianski,GK,West Ham,0,0,16,0,0.0,388,180,2,0,2.3,23.0,2020-01-29,90,Liverpool,0,0,0,0,24,3,155028,2,0,0.0,2,-12603,190,12793,49,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Manuel Lanzini,MID,West Ham,0,0,11,0,18.8,391,180,2,0,4.5,9.6,2020-01-29,68,Liverpool,0,0,0,0,24,0,64365,2,0,17.0,2,7352,8420,1068,62,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Marko Arnautovic,FWD,West Ham,0,0,0,0,0.0,385,180,0,0,0.0,0.0,2020-01-29,0,Liverpool,0,0,0,0,24,0,5261,2,0,0.0,0,6,40,34,70,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Mark Noble,MID,West Ham,0,0,9,0,2.2,396,180,2,0,0.7,4.0,2020-01-29,90,Liverpool,0,0,0,0,24,0,182393,2,0,1.0,1,77604,84695,7091,50,True,1,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Michail Antonio,MID,West Ham,0,0,0,0,0.0,389,180,0,0,0.0,0.0,2020-01-29,0,Liverpool,0,0,0,0,24,0,49328,2,0,0.0,0,-426,357,783,69,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Nathan Holland,MID,West Ham,0,0,0,0,0.0,568,180,0,0,0.0,0.0,2020-01-29,0,Liverpool,0,0,0,0,24,0,356,2,0,0.0,0,-26,14,40,45,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Pablo Fornals,MID,West Ham,0,0,1,0,0.0,399,180,0,0,0.2,0.0,2020-01-29,21,Liverpool,0,0,0,0,24,0,35723,2,0,4.0,1,1306,3684,2378,60,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Pablo Zabaleta,DEF,West Ham,0,0,0,0,0.0,379,180,0,0,0.0,0.0,2020-01-29,0,Liverpool,0,0,0,0,24,0,36463,2,0,0.0,0,1149,1746,597,42,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Pedro Obiang,MID,West Ham,0,0,0,0,0.0,400,180,0,0,0.0,0.0,2020-01-29,0,Liverpool,0,0,0,0,24,0,2696,2,0,0.0,0,-26,10,36,45,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
Roberto Jimenez Gago,GK,West Ham,0,0,0,0,0.0,450,180,0,0,0.0,0.0,2020-01-29,0,Liverpool,0,0,0,0,24,0,27286,2,0,0.0,0,-2020,129,2149,44,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040
