player_name,position_x,team,assists_x,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id_x,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,date,id_y,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
Marvelous Nakamba,MID,Aston Villa,0,0,3,0,0.3,491,271,0,0,0.4,3.6,2020-06-17,14,Sheffield Utd,0,0,0,0,39,0,48897,0,0,0.0,1,-1902,1962,3864,44,True,0,30,Sheffield Utd,2,Aston Villa,3,2,Aston Villa,AVL,2,980,970,1040,1000,1050,1020,0,0,0.0,13,Sub,Aston Villa,Sheffield United,0,0,2020-06-17,11913,2019,400336,0.0,0,0,0,0.0,0.0,0.0
Matt Targett,DEF,Aston Villa,0,0,21,1,12.3,309,271,0,0,2.5,12.6,2020-06-17,90,Sheffield Utd,0,0,0,0,39,0,205836,0,0,0.0,6,131339,169902,38563,44,True,0,30,Sheffield Utd,2,Aston Villa,3,2,Aston Villa,AVL,2,980,970,1040,1000,1050,1020,0,0,0.0,90,DL,Aston Villa,Sheffield United,0,0,2020-06-17,11913,2019,400326,0.10439299792051317,0,1,0,0.0,0.10439299792051317,0.0
Mbwana Samatta,FWD,Aston Villa,0,0,1,0,0.5,613,271,0,0,0.1,0.2,2020-06-17,21,Sheffield Utd,0,0,0,0,39,0,87268,0,0,0.0,1,62425,91221,28796,58,True,0,30,Sheffield Utd,2,Aston Villa,3,2,Aston Villa,AVL,2,980,970,1040,1000,1050,1020,0,0,0.0,20,Sub,Aston Villa,Sheffield United,0,0,2020-06-17,11913,2019,400335,0.0,0,0,0,0.0,0.0,0.0
Tyrone Mings,DEF,Aston Villa,0,1,28,1,0.8,445,271,0,0,1.7,16.6,2020-06-17,90,Sheffield Utd,0,0,0,0,39,0,256648,0,0,0.0,7,59641,86483,26842,44,True,0,30,Sheffield Utd,2,Aston Villa,3,2,Aston Villa,AVL,2,980,970,1040,1000,1050,1020,0,0,0.0,90,DC,Aston Villa,Sheffield United,0,0,2020-06-17,11913,2019,400325,0.0,0,0,0,0.0,0.10439299792051317,0.10439299792051317
Ørjan Nyland,GK,Aston Villa,0,0,22,1,0.0,27,271,0,0,1.1,10.8,2020-06-17,90,Sheffield Utd,0,0,0,0,39,1,24213,0,0,0.0,6,8602,12025,3423,43,True,0,30,Sheffield Utd,2,Aston Villa,3,2,Aston Villa,AVL,2,980,970,1040,1000,1050,1020,0,0,0.0,90,GK,Aston Villa,Sheffield United,0,0,2020-06-17,11913,2019,400322,0.0,0,0,0,0.0,0.0,0.0
Alexandre Lacazette,FWD,Arsenal,0,0,3,0,0.3,12,275,1,0,0.3,0.4,2020-06-17,23,Man City,0,0,0,0,39,0,189462,0,3,2.0,1,23836,53645,29809,94,False,0,30,Arsenal,4,Man City,3,1,Arsenal,ARS,4,1170,1170,1200,1150,1240,1180,0,0,0.0,20,Sub,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400563,0.0,0,0,0,0.0,0.0,0.0
Bernd Leno,GK,Arsenal,0,1,28,0,0.0,14,275,3,0,6.4,64.2,2020-06-17,90,Man City,0,0,0,0,39,9,614482,0,3,0.0,5,183514,249238,65724,50,False,0,30,Arsenal,4,Man City,3,1,Arsenal,ARS,4,1170,1170,1200,1150,1240,1180,0,0,0.0,90,GK,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400551,0.0,0,0,0,0.0,0.10939304530620576,0.10939304530620576
Bukayo Saka,MID,Arsenal,0,0,4,0,15.3,541,275,3,0,2.1,5.2,2020-06-17,90,Man City,0,0,0,0,39,0,400726,0,3,0.0,2,21601,151601,130000,47,False,0,30,Arsenal,4,Man City,3,1,Arsenal,ARS,4,1170,1170,1200,1150,1240,1180,0,0,0.0,90,AMC,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400560,0.10939304530620576,0,1,0,0.0,0.10939304530620576,0.10939304530620576
Héctor Bellerín,DEF,Arsenal,0,0,8,0,0.5,2,275,3,0,0.9,8.0,2020-06-17,90,Man City,0,0,0,0,39,0,104617,0,3,0.0,1,9626,43248,33622,55,False,0,30,Arsenal,4,Man City,3,1,Arsenal,ARS,4,1170,1170,1200,1150,1240,1180,0,0,0.0,90,DR,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400552,0.0,0,0,0,0.0,0.10939304530620576,0.10939304530620576
Kieran Tierney,DEF,Arsenal,0,0,17,0,0.6,515,275,3,0,1.8,17.8,2020-06-17,90,Man City,0,0,0,0,39,0,34712,0,3,0.0,0,9879,14300,4421,53,False,1,30,Arsenal,4,Man City,3,1,Arsenal,ARS,4,1170,1170,1200,1150,1240,1180,0,0,0.0,90,DL,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400555,0.0,0,0,0,0.0,0.10939304530620576,0.10939304530620576
Matteo Guendouzi,MID,Arsenal,0,0,7,0,0.1,21,275,2,0,0.3,2.4,2020-06-17,66,Man City,0,0,0,0,39,0,564236,0,3,0.0,2,133911,204202,70291,42,False,0,30,Arsenal,4,Man City,3,1,Arsenal,ARS,4,1170,1170,1200,1150,1240,1180,0,0,0.0,70,MC,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400556,0.0,0,0,0,0.0,0.10939304530620576,0.10939304530620576
Pierre-Emerick Aubameyang,FWD,Arsenal,0,0,2,0,2.4,11,275,3,0,0.6,0.0,2020-06-17,90,Man City,0,0,0,0,39,0,2209579,0,3,5.0,2,120624,360319,239695,111,False,0,30,Arsenal,4,Man City,3,1,Arsenal,ARS,4,1170,1170,1200,1150,1240,1180,0,2,0.3873656690120697,90,AMC,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400559,0.0,0,0,0,0.3873656690120697,0.3873656690120697,0.0
Reiss Nelson,MID,Arsenal,0,0,6,0,0.1,489,275,1,0,0.6,2.0,2020-06-17,23,Man City,0,0,0,0,39,0,8381,0,3,4.0,1,523,1274,751,53,False,0,30,Arsenal,4,Man City,3,1,Arsenal,ARS,4,1170,1170,1200,1150,1240,1180,0,0,0.0,20,Sub,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400566,0.0,0,0,0,0.0,0.0,0.0
Shkodran Mustafi,DEF,Arsenal,0,0,8,0,0.0,1,275,3,0,0.9,8.8,2020-06-17,90,Man City,0,0,0,0,39,0,28416,0,3,0.0,1,1417,3637,2220,51,False,0,30,Arsenal,4,Man City,3,1,Arsenal,ARS,4,1170,1170,1200,1150,1240,1180,0,0,0.0,90,DC,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400553,0.0,0,0,0,0.0,0.10939304530620576,0.10939304530620576
Fernando Luiz Rosa,MID,Man City,0,0,3,0,0.8,221,275,0,0,0.4,3.4,2020-06-17,20,Arsenal,0,0,0,0,39,0,53605,0,3,0.0,1,2656,5770,3114,51,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330,0,0,0.0,17,Sub,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400547,0.0,0,0,0,0.0,0.7391607165336609,0.7391607165336609
Gabriel Fernando de Jesus,FWD,Man City,0,0,6,1,14.5,211,275,0,0,3.8,8.8,2020-06-17,79,Arsenal,0,0,0,0,39,0,238361,0,3,15.0,2,-1642,44384,46026,96,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330,0,2,0.16923077404499054,83,FW,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400544,0.10706008970737456,0,1,0,0.16923077404499054,0.3898513913154602,0.22062060236930847
João Pedro Cavaco Cancelo,DEF,Man City,0,0,24,1,23.6,518,377,0,0,4.6,8.4,2020-07-26,90,Norwich,0,0,0,0,47,0,63238,0,5,14.0,5,2569,3470,901,51,True,1,38,Norwich,4,Man City,2,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330,0,0,0.0,1,Sub,Arsenal,Watford,3,2,2020-07-26,12014,2019,411227,0.0,0,0,0,0.0,0.0,0.0
Douglas Luiz Soares de Paulo,MID,Aston Villa,0,0,7,1,3.4,470,271,0,0,1.3,9.6,2020-06-17,90,Sheffield Utd,0,0,0,0,39,0,345093,0,0,0.0,2,55526,120834,65308,44,True,1,30,Sheffield Utd,2,Aston Villa,3,2,Aston Villa,AVL,2,980,970,1040,1000,1050,1020,0,0,0.0,90,MC,Aston Villa,Sheffield United,0,0,2020-06-17,11913,2019,400327,0.0,0,0,0,0.0,0.15603049099445346,0.15603049099445346
Daniel Ceballos Fernández,MID,Arsenal,0,0,13,0,1.2,469,275,3,0,1.1,10.0,2020-06-17,82,Man City,0,0,0,0,39,0,233648,0,3,0.0,2,5170,14418,9248,52,False,0,30,Arsenal,4,Man City,3,1,Arsenal,ARS,4,1170,1170,1200,1150,1240,1180,0,0,0.0,83,Sub,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400564,0.0,0,0,0,0.0,0.10939304530620576,0.10939304530620576
Edward Nketiah,FWD,Arsenal,0,0,3,0,10.3,13,275,2,0,2.3,4.6,2020-06-17,66,Man City,0,0,0,0,39,0,141245,0,3,8.0,2,39313,77566,38253,44,False,0,30,Arsenal,4,Man City,3,1,Arsenal,ARS,4,1170,1170,1200,1150,1240,1180,0,1,0.10939304530620576,70,FW,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400561,0.01500196661800146,0,1,0,0.10939304530620576,0.1243950128555298,0.10939304530620576
Joseph Willock,MID,Arsenal,0,0,8,0,1.0,490,275,2,0,2.0,14.8,2020-06-17,66,Man City,0,0,0,0,39,0,14041,0,3,4.0,2,932,2039,1107,47,False,0,30,Arsenal,4,Man City,3,1,Arsenal,ARS,4,1170,1170,1200,1150,1240,1180,0,0,0.0,70,MC,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400558,0.0,0,0,0,0.0,0.1243950128555298,0.1243950128555298
Bernardo Mota Veiga de Carvalho e Silva,MID,Man City,0,0,3,0,3.8,218,275,0,0,1.0,2.4,2020-06-17,25,Arsenal,0,0,0,0,39,0,673462,0,3,4.0,1,22293,70300,48007,77,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330,0,1,0.09919241815805437,22,Sub,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400548,0.0,0,0,0,0.09919241815805437,0.1904384642839432,0.1904384642839432
Ederson Santana de Moraes,GK,Man City,0,0,26,1,3.0,212,275,0,0,1.1,7.8,2020-06-17,90,Arsenal,0,0,0,0,39,0,968409,0,3,0.0,6,84437,141535,57098,60,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330,0,0,0.0,90,GK,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400535,0.0,0,0,0,0.0,0.6036872863769531,0.6036872863769531
Rodrigo Hernandez,MID,Man City,0,0,-2,0,2.7,443,275,0,0,0.2,0.0,2020-06-17,20,Arsenal,0,0,0,0,39,0,124961,0,3,0.0,0,-9489,19183,28672,55,True,1,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330,0,0,0.0,17,Sub,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400549,0.0,0,0,0,0.0,0.7391607165336609,0.7391607165336609
Alisson Ramses Becker,GK,Liverpool,0,0,14,0,0.0,189,237,1,0,2.1,20.8,2020-01-23,90,Wolves,0,0,0,0,24,2,783914,2,1,0.0,2,83244,95778,12534,61,False,0,24,Liverpool,3,Wolves,4,10,Liverpool,LIV,5,1320,1310,1330,1310,1350,1340,0,0,0.0,90,GK,Wolverhampton Wanderers,Liverpool,1,2,2020-01-23,11874,2019,386538,0.0,0,0,0,0.0,0.0,0.0
Fabio Henrique Tavares,MID,Liverpool,0,0,4,0,1.1,197,237,0,0,0.6,3.2,2020-01-23,20,Wolves,0,0,0,0,24,0,71475,2,1,2.0,1,476,975,499,54,False,0,24,Liverpool,3,Wolves,4,10,Liverpool,LIV,5,1320,1310,1330,1310,1350,1340,0,0,0.0,18,Sub,Wolverhampton Wanderers,Liverpool,1,2,2020-01-23,11874,2019,386550,0.0,0,0,0,0.0,0.10595817118883133,0.10595817118883133
Mahmoud Ahmed Ibrahim Hassan,MID,Aston Villa,0,0,4,0,0.8,465,271,0,0,0.3,2.2,2020-06-17,21,Sheffield Utd,0,0,0,0,39,0,82883,0,0,0.0,1,3082,7930,4848,52,True,0,30,Sheffield Utd,2,Aston Villa,3,2,Aston Villa,AVL,2,980,970,1040,1000,1050,1020,0,0,0.0,20,Sub,Aston Villa,Sheffield United,0,0,2020-06-17,11913,2019,400334,0.0,0,0,0,0.0,0.0,0.0
