player_name,position_x,team,assists_x,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id_x,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,date,id_y,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
Kevin De Bruyne,MID,Man City,1,3,43,1,34.9,215,275,0,1,15.5,46.8,2020-06-17,69,Arsenal,0,0,0,0,39,0,3825649,0,3,73.0,14,370773,430496,59723,106,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330,1,5,1.0536508560180664,73,MC,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400540,0.4912168979644776,0,2,0,0.2924820482730865,0.8663586378097534,0.4516321420669556
Phil Foden,MID,Man City,0,0,23,0,16.3,220,275,0,1,7.6,40.8,2020-06-17,25,Arsenal,0,0,0,0,39,0,27431,0,3,19.0,6,511,5650,5139,51,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330,1,1,0.14364156126976013,22,Sub,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400550,0.09124604612588882,0,1,1,0.14364156126976013,0.9204817414283752,0.7768401503562927
Riyad Mahrez,MID,Man City,1,0,18,1,9.1,217,275,0,0,3.8,5.8,2020-06-17,64,Arsenal,0,0,0,0,39,0,729679,0,3,23.0,6,-2466,181374,183840,85,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330,0,2,0.3942892849445343,68,FWR,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400543,0.0,0,0,0,0.3942892849445343,0.5098683834075928,0.1466616690158844
Sergio Agüero,FWD,Man City,1,0,8,0,0.3,210,275,0,0,3.1,1.6,2020-06-17,10,Arsenal,0,0,0,0,39,0,1850460,0,3,29.0,4,489529,581048,91519,118,True,0,30,Arsenal,4,Man City,3,11,Man City,MCI,5,1270,1260,1320,1320,1340,1330,0,3,0.5278062224388123,7,Sub,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400546,0.0,0,0,0,0.5278062224388123,0.6269986033439636,0.12250376492738725
Cédric Soares,DEF,Arsenal,0,0,0,0,0.0,486,238,0,0,0.0,0.0,2020-01-21,0,Chelsea,0,0,0,0,24,0,19305,2,2,0.0,0,3035,316,3281,48,False,0,24,Arsenal,4,Chelsea,3,1,Arsenal,ARS,4,1170,1170,1200,1150,1240,1180,0,0,0.0,20,DR,Crystal Palace,Southampton,0,2,2020-01-21,11882,2019,386322,0.0,0,0,0,0.0,0.0,0.0
Billy Sharp,FWD,Sheffield Utd,0,0,-3,0,10.9,298,296,2,0,3.6,0.0,2020-06-21,73,Newcastle,0,0,0,0,39,0,51358,0,3,28.0,2,11680,20317,8637,56,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180,0,3,0.4227863550186157,75,FW,Newcastle United,Sheffield United,3,0,2020-06-21,11938,2019,401626,0.08342204242944717,0,1,0,0.4227863550186157,0.5062084197998047,0.0
Chris Basham,DEF,Sheffield Utd,0,0,16,0,17.0,423,296,3,0,4.4,25.2,2020-06-21,90,Newcastle,0,0,0,0,39,0,144901,0,3,2.0,1,33735,66165,32430,46,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180,0,0,0.0,90,DC,Newcastle United,Sheffield United,3,0,2020-06-21,11938,2019,401620,0.02352186664938927,0,1,0,0.0,0.20205001533031464,0.17852814495563507
Dean Henderson,GK,Sheffield Utd,0,0,19,0,0.0,471,296,3,0,3.5,35.0,2020-06-21,90,Newcastle,0,0,0,0,39,5,1526482,0,3,0.0,2,276263,388101,111838,53,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180,0,0,0.0,90,GK,Newcastle United,Sheffield United,3,0,2020-06-21,11938,2019,401617,0.0,0,0,0,0.0,0.0,0.0
Enda Stevens,DEF,Sheffield Utd,0,0,11,0,4.0,291,296,3,0,1.4,5.6,2020-06-21,90,Newcastle,0,0,0,0,39,0,351485,0,3,4.0,1,122997,182034,59037,52,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180,0,1,0.08342204242944717,90,DML,Newcastle United,Sheffield United,3,0,2020-06-21,11938,2019,401622,0.0,0,0,0,0.08342204242944717,0.4347139894962311,0.3512919247150421
George Baldock,DEF,Sheffield Utd,0,0,20,0,47.2,294,296,3,0,6.4,16.8,2020-06-21,90,Newcastle,0,0,0,0,39,0,996506,0,3,0.0,1,135127,265007,129880,51,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180,0,0,0.0,90,DMR,Newcastle United,Sheffield United,3,0,2020-06-21,11938,2019,401621,0.4214437007904053,0,3,0,0.0,0.5283876061439514,0.17843833565711975
Jack Robinson,DEF,Sheffield Utd,0,0,11,0,1.4,611,296,3,0,1.8,14.6,2020-06-21,90,Newcastle,0,0,0,0,39,0,7564,0,3,2.0,1,4386,6058,1672,40,False,0,30,Sheffield Utd,2,Newcastle,3,15,Sheffield Utd,SHU,3,1180,1170,1110,1050,1200,1180,0,0,0.0,90,DC,Newcastle United,Sheffield United,3,0,2020-06-21,11938,2019,401619,0.0,0,0,0,0.0,0.0,0.0
