name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,GW
Kyle Walker,DEF,Man City,249,53,6,7,False,2021-09-25T11:30:00Z,0,1,6,90,0,0,1,0,0,0,0,0,0,0,1,28,13.2,14.6,0.0,2.8,55,-1120,491941,31698,32818,6
Lamare Bogarde,DEF,Aston Villa,610,58,13,0,False,2021-09-25T11:30:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,6
Leander Dendoncker,MID,Wolves,434,59,16,3,False,2021-09-26T13:00:00Z,0,1,6,90,0,0,1,0,0,0,0,0,0,0,0,14,8.0,1.8,18.0,2.8,49,-1042,10408,450,1492,6
Leandro Trossard,MID,Brighton,64,54,7,1,False,2021-09-27T19:00:00Z,1,1,6,90,0,0,0,1,0,0,0,1,0,0,0,3,0.8,7.4,10.0,1.8,64,33816,105099,43344,9528,6
Leo Fuhr Hjelde,DEF,Leeds,608,56,19,0,True,2021-09-25T14:00:00Z,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,6
Leon Bailey,MID,Aston Villa,492,58,13,0,False,2021-09-25T11:30:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-149,58212,12044,12193,6
Lewis Dobbin,FWD,Everton,607,55,15,1,True,2021-09-25T14:00:00Z,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,2,2.2,0.6,0.0,0.3,45,0,0,0,0,6
Lewis Dunk,DEF,Brighton,59,54,7,2,False,2021-09-27T19:00:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,16,26.0,1.1,19.0,4.6,50,-4161,361827,18215,22376,6
Lewis Richardson,FWD,Burnley,533,57,9,0,False,2021-09-25T14:00:00Z,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-182,112845,12337,12519,6
Liam Cooper,DEF,Leeds,184,56,19,1,True,2021-09-25T14:00:00Z,1,2,6,90,0,0,0,2,0,0,0,0,0,0,0,16,30.8,0.6,0.0,3.1,45,1481,29458,4883,3402,6
Liam McCarron,MID,Leeds,576,56,19,0,True,2021-09-25T14:00:00Z,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-7,1028,186,193,6
Louie Moulden,GK,Wolves,611,59,16,0,False,2021-09-26T13:00:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,6
Lucas Digne,DEF,Everton,168,55,15,5,True,2021-09-25T14:00:00Z,2,0,6,90,0,0,1,0,0,0,0,1,0,0,0,20,12.8,19.3,6.0,3.8,54,-122522,822935,28363,150885,6
Lucas Rodrigues Moura da Silva,MID,Spurs,362,51,1,2,False,2021-09-26T15:30:00Z,3,1,6,90,0,0,0,3,0,0,0,0,0,0,0,4,5.8,18.3,13.0,3.7,64,-18643,52833,301,18944,6
Lucas Torreira,MID,Arsenal,18,51,17,0,True,2021-09-26T15:30:00Z,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1876,16323,0,1876,6
Lukasz Fabianski,GK,West Ham,408,56,10,3,False,2021-09-25T14:00:00Z,1,2,6,90,0,0,0,1,0,0,0,0,0,4,0,18,26.4,0.0,0.0,2.6,50,12818,171616,23203,10385,6
Lukas Rupp,MID,Norwich,317,55,8,0,False,2021-09-25T14:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-475,11103,895,1370,6
