name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
Aaron Connolly,FWD,Brighton,72,32,3,0,False,2021-09-11T14:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-3682,12065,1857,5539
Aaron Cresswell,DEF,West Ham,411,39,16,8,False,2021-09-11T14:00:00Z,0,0,4,90,0,0,1,0,0,0,0,0,0,0,2,27,10.0,24.6,9.0,4.4,55,-94228,1324980,102407,196635
Aaron Lennon,MID,Burnley,575,35,8,1,False,2021-09-13T19:00:00Z,3,1,4,14,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0,50,271,590,382,111
Aaron Ramsdale,GK,Arsenal,559,31,15,6,True,2021-09-11T14:00:00Z,1,0,4,90,0,0,1,0,0,0,0,0,0,1,0,23,9.0,0.0,0.0,0.9,45,6113,17374,10225,4112
Aaron Ramsey,MID,Aston Villa,496,33,6,0,False,2021-09-11T16:30:00Z,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,891,15295,3516,2625
Aaron Wan-Bissaka,DEF,Man Utd,288,38,14,2,True,2021-09-11T14:00:00Z,4,1,4,90,0,0,0,1,0,0,0,0,0,0,0,17,20.0,15.3,4.0,3.9,55,-55262,618617,37244,92506
Abdoulaye Doucouré,MID,Everton,173,35,5,10,True,2021-09-13T19:00:00Z,3,1,4,90,0,2,0,1,0,0,0,0,0,0,2,33,46.0,26.8,21.0,9.4,55,9162,141987,45662,36500
Adama Traoré,MID,Wolves,435,40,18,3,False,2021-09-11T14:00:00Z,0,2,4,80,0,0,1,0,0,0,0,0,0,0,0,16,15.2,28.3,8.0,5.2,60,197962,319053,303693,105731
Adam Armstrong,FWD,Southampton,525,39,19,2,True,2021-09-11T14:00:00Z,0,0,4,73,0,0,1,0,0,0,0,0,0,0,0,6,2.6,11.3,21.0,3.5,60,-7420,275824,99289,106709
Adam Forshaw,MID,Leeds,552,36,11,0,True,2021-09-12T15:30:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,183,1227,401,218
Adam Idah,FWD,Norwich,329,31,1,1,False,2021-09-11T14:00:00Z,1,0,4,10,0,0,0,0,0,0,0,0,0,0,0,5,5.0,14.0,0.0,1.9,50,-2921,32516,6812,9733
Adam Lallana,MID,Brighton,53,32,3,3,False,2021-09-11T14:00:00Z,0,1,4,90,0,0,1,0,0,0,0,0,0,0,0,9,8.8,3.1,4.0,1.6,54,-1911,17558,1623,3534
