player_name,kickoff_time,GW,season,LR,CBoost,SVR,KNN,MLP,Meta,position,team,value,total_points
Aaron Connolly,2020-09-14,1,2020,1.0,2.0,3.0,3.0,2.0,3.0,FWD,Brighton,55,1
Aaron Cresswell,2020-09-12,1,2020,2.0,3.0,3.0,3.0,3.0,3.0,DEF,West Ham,50,1
Aaron Ramsdale,2020-09-14,1,2020,2.0,4.0,4.0,3.0,3.0,3.0,GK,Sheffield Utd,50,1
Abdoulaye Doucouré,2020-09-13,1,2020,1.0,3.0,3.0,3.0,3.0,3.0,MID,Everton,55,3
Aboubakar Kamara,2020-09-12,1,2020,3.0,2.0,3.0,2.0,3.0,3.0,MID,Fulham,50,2
Adam Lallana,2020-09-14,1,2020,3.0,3.0,3.0,2.0,3.0,3.0,MID,Brighton,65,1
Adam Webster,2020-09-14,1,2020,1.0,3.0,3.0,3.0,2.0,3.0,DEF,Brighton,45,1
Adama Traoré,2020-09-14,1,2020,3.0,4.0,4.0,4.0,4.0,3.0,MID,Wolves,65,3
Ainsley Maitland-Niles,2020-09-12,1,2020,3.0,4.0,4.0,3.0,3.0,3.0,DEF,Arsenal,50,6
Aleksandar Mitrović,2020-09-12,1,2020,2.0,1.0,3.0,2.0,1.0,3.0,FWD,Fulham,60,1
Alex McCarthy,2020-09-12,1,2020,2.0,4.0,4.0,3.0,3.0,3.0,GK,Southampton,45,2
Alexandre Lacazette,2020-09-12,1,2020,4.0,5.0,4.0,4.0,4.0,3.0,FWD,Arsenal,85,7
Alireza Jahanbakhsh,2020-09-14,1,2020,1.0,1.0,2.0,1.0,1.0,3.0,MID,Brighton,55,1
Alisson Ramses Becker,2020-09-12,1,2020,4.0,5.0,4.0,3.0,4.0,3.0,GK,Liverpool,60,1
Allan Marques Loureiro,2020-09-13,1,2020,2.0,2.0,3.0,2.0,2.0,3.0,MID,Everton,55,3
Allan Saint-Maximin,2020-09-12,1,2020,3.0,3.0,4.0,2.0,3.0,3.0,MID,Newcastle,55,3
Andreas Christensen,2020-09-14,1,2020,2.0,3.0,3.0,3.0,3.0,3.0,DEF,Chelsea,50,2
Andrew Robertson,2020-09-12,1,2020,4.0,6.0,4.0,3.0,4.0,3.0,DEF,Liverpool,70,4
Andriy Yarmolenko,2020-09-12,1,2020,2.0,2.0,3.0,2.0,2.0,3.0,MID,West Ham,60,0
