player_name,kickoff_time,GW,season,LR,CBoost,SVR,KNN,MLP,Meta,position,team,value,total_points
Andros Townsend,2020-09-12,1,2020,3.0,4.0,4.0,4.0,3.0,3.0,MID,Crystal Palace,60,8
André Filipe Tavares Gomes,2020-09-13,1,2020,1.0,2.0,4.0,3.0,2.0,3.0,MID,Everton,55,3
André-Frank Zambo Anguissa,2020-09-12,1,2020,0.0,1.0,2.0,1.0,1.0,3.0,MID,Fulham,45,1
Andy Carroll,2020-09-12,1,2020,4.0,3.0,3.0,2.0,3.0,3.0,FWD,Newcastle,55,2
Angelo Ogbonna,2020-09-12,1,2020,2.0,3.0,3.0,3.0,3.0,3.0,DEF,West Ham,50,1
Ayoze Pérez,2020-09-13,1,2020,3.0,4.0,4.0,3.0,4.0,3.0,MID,Leicester,65,3
Bamidele Alli,2020-09-13,1,2020,3.0,6.0,4.0,4.0,4.0,3.0,MID,Spurs,80,1
Ben Davies,2020-09-13,1,2020,3.0,4.0,4.0,3.0,3.0,3.0,DEF,Spurs,50,2
Ben White,2020-09-14,1,2020,3.0,2.0,3.0,3.0,3.0,3.0,DEF,Brighton,45,1
Bernd Leno,2020-09-12,1,2020,3.0,4.0,4.0,3.0,4.0,3.0,GK,Arsenal,50,7
Billy Sharp,2020-09-14,1,2020,3.0,4.0,3.0,4.0,3.0,3.0,FWD,Sheffield Utd,60,2
Bobby Decordova-Reid,2020-09-12,1,2020,1.0,1.0,2.0,1.0,1.0,3.0,FWD,Fulham,55,1
Callum Hudson-Odoi,2020-09-14,1,2020,1.0,2.0,2.0,1.0,1.0,3.0,MID,Chelsea,60,1
Callum Robinson,2020-09-13,1,2020,3.0,3.0,3.0,2.0,3.0,3.0,FWD,West Brom,55,1
Callum Wilson,2020-09-12,1,2020,3.0,5.0,4.0,3.0,3.0,3.0,FWD,Newcastle,65,8
Che Adams,2020-09-12,1,2020,3.0,5.0,8.0,5.0,4.0,3.0,FWD,Southampton,60,2
Cheikhou Kouyaté,2020-09-12,1,2020,2.0,3.0,3.0,3.0,2.0,3.0,MID,Crystal Palace,50,3
Chris Basham,2020-09-14,1,2020,2.0,3.0,3.0,2.0,2.0,3.0,DEF,Sheffield Utd,50,1
Conor Coady,2020-09-14,1,2020,1.0,4.0,3.0,3.0,3.0,3.0,DEF,Wolves,50,8
Curtis Jones,2020-09-12,1,2020,2.0,2.0,2.0,1.0,1.0,3.0,MID,Liverpool,45,1
César Azpilicueta,2020-09-14,1,2020,0.0,2.0,1.0,2.0,1.0,3.0,DEF,Chelsea,60,1
Daniel Castelo Podence,2020-09-14,1,2020,3.0,3.0,3.0,2.0,3.0,3.0,MID,Wolves,55,6
Daniel Ceballos Fernández,2020-09-12,1,2020,1.0,2.0,2.0,2.0,1.0,3.0,MID,Arsenal,50,1
Danny Ings,2020-09-12,1,2020,4.0,6.0,5.0,5.0,5.0,3.0,FWD,Southampton,85,2
Dara O'Shea,2020-09-13,1,2020,2.0,2.0,2.0,7.0,2.0,3.0,DEF,West Brom,45,1
Darnell Furlong,2020-09-13,1,2020,3.0,3.0,2.0,2.0,3.0,3.0,DEF,West Brom,45,2
David McGoldrick,2020-09-14,1,2020,1.0,2.0,3.0,2.0,2.0,3.0,FWD,Sheffield Utd,55,1
Declan Rice,2020-09-12,1,2020,1.0,4.0,3.0,3.0,3.0,3.0,MID,West Ham,50,2
Denis Odoi,2020-09-12,1,2020,3.0,2.0,3.0,3.0,3.0,3.0,DEF,Fulham,45,1
Dennis Praet,2020-09-13,1,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,Leicester,55,6
Dominic Calvert-Lewin,2020-09-13,1,2020,2.0,3.0,4.0,2.0,3.0,3.0,FWD,Everton,70,8
Eberechi Eze,2020-09-12,1,2020,2.0,1.0,2.0,2.0,1.0,3.0,MID,Crystal Palace,60,1
Edward Nketiah,2020-09-12,1,2020,2.0,2.0,2.0,2.0,1.0,3.0,FWD,Arsenal,60,1
Enda Stevens,2020-09-14,1,2020,2.0,4.0,4.0,3.0,3.0,3.0,DEF,Sheffield Utd,55,1
Eric Dier,2020-09-13,1,2020,2.0,4.0,3.0,3.0,3.0,3.0,DEF,Spurs,50,2
Fabio Henrique Tavares,2020-09-12,1,2020,2.0,2.0,3.0,1.0,2.0,3.0,MID,Liverpool,55,4
Federico Fernández,2020-09-12,1,2020,3.0,3.0,3.0,3.0,2.0,3.0,DEF,Newcastle,50,6
Felipe Anderson Pereira Gomes,2020-09-12,1,2020,1.0,2.0,2.0,2.0,2.0,3.0,MID,West Ham,65,1
Fernando Marçal,2020-09-14,1,2020,3.0,4.0,3.0,3.0,3.0,3.0,DEF,Wolves,50,5
Gabriel Magalhães,2020-09-12,1,2020,4.0,3.0,3.0,3.0,3.0,3.0,DEF,Arsenal,50,15
George Baldock,2020-09-14,1,2020,2.0,4.0,3.0,3.0,3.0,3.0,DEF,Sheffield Utd,55,1
Georginio Wijnaldum,2020-09-12,1,2020,3.0,4.0,4.0,3.0,3.0,3.0,MID,Liverpool,55,2
Grady Diangana,2020-09-13,1,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,West Brom,55,2
Granit Xhaka,2020-09-12,1,2020,2.0,3.0,3.0,2.0,3.0,3.0,MID,Arsenal,55,3
Gylfi Sigurdsson,2020-09-13,1,2020,-0.0,2.0,3.0,1.0,1.0,3.0,MID,Everton,70,1
Hal Robson-Kanu,2020-09-13,1,2020,1.0,1.0,2.0,1.0,1.0,3.0,FWD,West Brom,55,1
Harrison Reed,2020-09-12,1,2020,2.0,2.0,2.0,2.0,2.0,3.0,MID,Fulham,45,2
Harry Kane,2020-09-13,1,2020,4.0,7.0,4.0,6.0,5.0,3.0,FWD,Spurs,105,2
Harry Winks,2020-09-13,1,2020,2.0,4.0,3.0,2.0,3.0,3.0,MID,Spurs,55,1
Harvey Barnes,2020-09-13,1,2020,3.0,4.0,4.0,3.0,4.0,3.0,MID,Leicester,70,3
Heung-Min Son,2020-09-13,1,2020,4.0,7.0,5.0,4.0,5.0,3.0,MID,Spurs,90,2
Hugo Lloris,2020-09-13,1,2020,2.0,5.0,4.0,3.0,4.0,3.0,GK,Spurs,55,3
Héctor Bellerín,2020-09-12,1,2020,3.0,3.0,3.0,3.0,3.0,3.0,DEF,Arsenal,50,5
Hélder Wander Sousa de Azevedo e Costa,2020-09-12,1,2020,2.0,2.0,3.0,2.0,3.0,3.0,MID,Leeds,55,5
Illan Meslier,2020-09-12,1,2020,2.0,2.0,3.0,2.0,3.0,3.0,GK,Leeds,45,1
Isaac Hayden,2020-09-12,1,2020,2.0,2.0,3.0,2.0,2.0,3.0,MID,Newcastle,50,2
Issa Diop,2020-09-12,1,2020,2.0,3.0,3.0,3.0,3.0,3.0,DEF,West Ham,45,1
Ivan Ricardo Neves Abreu Cavaleiro,2020-09-12,1,2020,3.0,2.0,3.0,3.0,3.0,3.0,MID,Fulham,55,2
Jack Harrison,2020-09-12,1,2020,2.0,2.0,3.0,3.0,3.0,3.0,MID,Leeds,55,7
Jack O'Connell,2020-09-14,1,2020,1.0,3.0,3.0,3.0,3.0,3.0,DEF,Sheffield Utd,50,1
Jack Stephens,2020-09-12,1,2020,2.0,4.0,3.0,3.0,3.0,3.0,DEF,Southampton,50,2
Jake Livermore,2020-09-13,1,2020,2.0,2.0,2.0,2.0,2.0,3.0,MID,West Brom,50,2
Jamaal Lascelles,2020-09-12,1,2020,2.0,3.0,3.0,3.0,2.0,3.0,DEF,Newcastle,45,6
Jamal Lewis,2020-09-12,1,2020,2.0,3.0,3.0,3.0,2.0,3.0,DEF,Newcastle,45,7
James Justin,2020-09-13,1,2020,3.0,4.0,4.0,3.0,3.0,3.0,DEF,Leicester,45,9
James Maddison,2020-09-13,1,2020,1.0,3.0,2.0,2.0,2.0,3.0,MID,Leicester,70,1
James McArthur,2020-09-12,1,2020,2.0,3.0,3.0,3.0,2.0,3.0,MID,Crystal Palace,55,3
James McCarthy,2020-09-12,1,2020,2.0,3.0,3.0,2.0,2.0,3.0,MID,Crystal Palace,45,2
James Rodríguez,2020-09-13,1,2020,3.0,3.0,4.0,4.0,4.0,3.0,MID,Everton,75,3
James Ward-Prowse,2020-09-12,1,2020,2.0,4.0,3.0,3.0,3.0,3.0,MID,Southampton,60,2
Jamie Shackleton,2020-09-12,1,2020,-1.0,1.0,1.0,1.0,0.0,3.0,MID,Leeds,50,1
Jamie Vardy,2020-09-13,1,2020,4.0,8.0,5.0,4.0,5.0,3.0,FWD,Leicester,100,13
Jan Bednarek,2020-09-12,1,2020,1.0,4.0,3.0,3.0,2.0,3.0,DEF,Southampton,45,1
Jannik Vestergaard,2020-09-12,1,2020,0.0,2.0,2.0,1.0,0.0,3.0,DEF,Southampton,45,1
Jarrod Bowen,2020-09-12,1,2020,4.0,3.0,4.0,4.0,4.0,3.0,MID,West Ham,65,2
Javier Manquillo,2020-09-12,1,2020,3.0,3.0,3.0,3.0,2.0,3.0,DEF,Newcastle,45,5
Jeff Hendrick,2020-09-12,1,2020,3.0,4.0,4.0,3.0,2.0,3.0,MID,Newcastle,50,14
Jeffrey Schlupp,2020-09-12,1,2020,3.0,4.0,4.0,3.0,3.0,3.0,MID,Crystal Palace,55,2
Joe Bryan,2020-09-12,1,2020,3.0,2.0,3.0,3.0,3.0,3.0,DEF,Fulham,50,1
Joel Matip,2020-09-12,1,2020,2.0,2.0,1.0,2.0,1.0,3.0,DEF,Liverpool,55,1
Joel Ward,2020-09-12,1,2020,2.0,4.0,3.0,3.0,3.0,3.0,DEF,Crystal Palace,45,6
Joelinton Cássio Apolinário de Lira,2020-09-12,1,2020,1.0,1.0,2.0,2.0,1.0,3.0,FWD,Newcastle,60,1
John Egan,2020-09-14,1,2020,2.0,4.0,3.0,2.0,3.0,3.0,DEF,Sheffield Utd,50,0
John Fleck,2020-09-14,1,2020,2.0,3.0,3.0,2.0,2.0,3.0,MID,Sheffield Utd,60,2
John Lundstram,2020-09-14,1,2020,1.0,5.0,5.0,5.0,2.0,3.0,MID,Sheffield Utd,55,2
Jonjo Shelvey,2020-09-12,1,2020,2.0,3.0,2.0,2.0,2.0,3.0,MID,Newcastle,55,3
Jordan Ayew,2020-09-12,1,2020,2.0,4.0,3.0,3.0,2.0,3.0,FWD,Crystal Palace,60,2
Jordan Henderson,2020-09-12,1,2020,4.0,5.0,4.0,4.0,4.0,3.0,MID,Liverpool,55,2
Jordan Pickford,2020-09-13,1,2020,1.0,4.0,3.0,3.0,3.0,3.0,GK,Everton,50,8
Jorge Luiz Frello Filho,2020-09-14,1,2020,1.0,3.0,3.0,2.0,2.0,3.0,MID,Chelsea,50,12
Joseph Gomez,2020-09-12,1,2020,3.0,5.0,4.0,3.0,3.0,3.0,DEF,Liverpool,55,1
Josh Onomah,2020-09-12,1,2020,2.0,2.0,3.0,3.0,3.0,3.0,MID,Fulham,50,2
João Filipe Iria Santos Moutinho,2020-09-14,1,2020,1.0,4.0,3.0,3.0,3.0,3.0,MID,Wolves,55,3
Kai Havertz,2020-09-14,1,2020,4.0,6.0,5.0,4.0,4.0,3.0,MID,Chelsea,85,2
Kalvin Phillips,2020-09-12,1,2020,1.0,2.0,2.0,2.0,2.0,3.0,MID,Leeds,50,5
Karl Darlow,2020-09-12,1,2020,4.0,3.0,3.0,3.0,3.0,3.0,GK,Newcastle,50,7
Kasper Schmeichel,2020-09-13,1,2020,2.0,4.0,3.0,3.0,4.0,3.0,GK,Leicester,55,6
Kepa Arrizabalaga,2020-09-14,1,2020,2.0,4.0,3.0,3.0,3.0,3.0,GK,Chelsea,50,2
Kieran Gibbs,2020-09-13,1,2020,3.0,3.0,2.0,3.0,2.0,3.0,DEF,West Brom,45,1
Kieran Tierney,2020-09-12,1,2020,4.0,4.0,5.0,4.0,4.0,3.0,DEF,Arsenal,55,6
Kurt Zouma,2020-09-14,1,2020,1.0,4.0,2.0,2.0,2.0,3.0,DEF,Chelsea,50,8
Kyle Bartley,2020-09-13,1,2020,2.0,2.0,2.0,10.0,2.0,3.0,DEF,West Brom,45,1
Kyle Edwards,2020-09-13,1,2020,1.0,1.0,2.0,1.0,1.0,3.0,MID,West Brom,50,1
Kyle Walker-Peters,2020-09-12,1,2020,2.0,3.0,2.0,3.0,3.0,3.0,DEF,Southampton,45,1
Leander Dendoncker,2020-09-14,1,2020,1.0,3.0,3.0,2.0,2.0,3.0,MID,Wolves,50,3
Leandro Trossard,2020-09-14,1,2020,2.0,5.0,5.0,3.0,2.0,3.0,MID,Brighton,60,8
Lewis Dunk,2020-09-14,1,2020,1.0,3.0,3.0,2.0,2.0,3.0,DEF,Brighton,50,1
Lucas Digne,2020-09-13,1,2020,1.0,4.0,3.0,3.0,3.0,3.0,DEF,Everton,60,12
Lucas Rodrigues Moura da Silva,2020-09-13,1,2020,3.0,5.0,4.0,4.0,4.0,3.0,MID,Spurs,70,2
Luka Milivojevic,2020-09-12,1,2020,0.0,2.0,2.0,2.0,1.0,3.0,MID,Crystal Palace,60,1
Lukasz Fabianski,2020-09-12,1,2020,3.0,3.0,4.0,3.0,4.0,3.0,GK,West Ham,50,1
Luke Ayling,2020-09-12,1,2020,2.0,2.0,3.0,2.0,2.0,3.0,DEF,Leeds,45,0
Marc Albrighton,2020-09-13,1,2020,1.0,2.0,2.0,1.0,2.0,3.0,MID,Leicester,55,1
Marcos Alonso,2020-09-14,1,2020,3.0,5.0,2.0,3.0,3.0,3.0,DEF,Chelsea,60,2
Marek Rodák,2020-09-12,1,2020,3.0,3.0,3.0,2.0,3.0,3.0,GK,Fulham,45,1
Mark Noble,2020-09-12,1,2020,2.0,4.0,3.0,3.0,3.0,3.0,MID,West Ham,50,2
Mason Mount,2020-09-14,1,2020,2.0,6.0,5.0,5.0,3.0,3.0,MID,Chelsea,70,2
Mateusz Klich,2020-09-12,1,2020,2.0,2.0,3.0,2.0,2.0,3.0,MID,Leeds,55,9
Matheus Pereira,2020-09-13,1,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,West Brom,60,2
Mathew Ryan,2020-09-14,1,2020,1.0,4.0,4.0,3.0,3.0,3.0,GK,Brighton,45,1
Matt Doherty,2020-09-13,1,2020,3.0,5.0,4.0,3.0,4.0,3.0,DEF,Spurs,60,2
Michael Hector,2020-09-12,1,2020,2.0,2.0,3.0,3.0,3.0,3.0,DEF,Fulham,45,0
Michael Keane,2020-09-13,1,2020,1.0,3.0,3.0,2.0,2.0,3.0,DEF,Everton,50,6
Michail Antonio,2020-09-12,1,2020,3.0,3.0,4.0,3.0,3.0,3.0,FWD,West Ham,65,2
Miguel Almirón,2020-09-12,1,2020,0.0,1.0,2.0,2.0,1.0,3.0,MID,Newcastle,60,4
Mohamed Naser El Sayed Elneny,2020-09-12,1,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,Arsenal,45,3
Mohamed Salah,2020-09-12,1,2020,7.0,11.0,7.0,5.0,7.0,3.0,MID,Liverpool,120,20
Moise Kean,2020-09-13,1,2020,-0.0,2.0,5.0,4.0,0.0,3.0,FWD,Everton,60,1
Moussa Djenepo,2020-09-12,1,2020,1.0,2.0,2.0,1.0,1.0,3.0,MID,Southampton,55,1
Moussa Sissoko,2020-09-13,1,2020,-0.0,2.0,2.0,1.0,1.0,3.0,MID,Spurs,50,1
N'Golo Kanté,2020-09-14,1,2020,2.0,3.0,3.0,2.0,3.0,3.0,MID,Chelsea,50,2
Naby Keita,2020-09-12,1,2020,4.0,4.0,4.0,3.0,4.0,3.0,MID,Liverpool,55,1
Nampalys Mendy,2020-09-13,1,2020,3.0,3.0,3.0,2.0,3.0,3.0,MID,Leicester,45,3
Nathan Redmond,2020-09-12,1,2020,3.0,4.0,3.0,3.0,4.0,3.0,MID,Southampton,65,2
Neal Maupay,2020-09-14,1,2020,2.0,4.0,4.0,3.0,3.0,3.0,FWD,Brighton,65,2
Neeskens Kebano,2020-09-12,1,2020,3.0,2.0,3.0,3.0,3.0,3.0,MID,Fulham,50,2
Nicolas Pépé,2020-09-12,1,2020,2.0,2.0,3.0,2.0,2.0,3.0,MID,Arsenal,80,1
Oliver McBurnie,2020-09-14,1,2020,3.0,3.0,4.0,3.0,3.0,3.0,FWD,Sheffield Utd,60,1
Oliver Norwood,2020-09-14,1,2020,1.0,3.0,3.0,3.0,2.0,3.0,MID,Sheffield Utd,50,2
Oluwasemilogo Adesewo Ibidapo Ajayi,2020-09-13,1,2020,3.0,3.0,2.0,3.0,2.0,3.0,DEF,West Brom,50,0
Oriol Romeu Vidal,2020-09-12,1,2020,1.0,3.0,3.0,3.0,2.0,3.0,MID,Southampton,45,2
Oskar Buur,2020-09-14,1,2020,1.0,2.0,2.0,1.0,1.0,3.0,DEF,Wolves,40,1
Pablo Fornals,2020-09-12,1,2020,3.0,3.0,4.0,3.0,4.0,3.0,MID,West Ham,65,2
Pablo Hernández Domínguez,2020-09-12,1,2020,2.0,2.0,3.0,2.0,2.0,3.0,MID,Leeds,60,2
Pascal Groß,2020-09-14,1,2020,1.0,2.0,3.0,2.0,1.0,3.0,MID,Brighton,60,1
Pascal Struijk,2020-09-12,1,2020,1.0,2.0,2.0,2.0,2.0,3.0,DEF,Leeds,40,0
Patrick Bamford,2020-09-12,1,2020,2.0,2.0,3.0,1.0,3.0,3.0,FWD,Leeds,55,7
Pedro Lomba Neto,2020-09-14,1,2020,3.0,3.0,4.0,3.0,3.0,3.0,MID,Wolves,55,6
Pierre-Emerick Aubameyang,2020-09-12,1,2020,5.0,7.0,7.0,5.0,6.0,3.0,MID,Arsenal,120,7
Pierre-Emile Højbjerg,2020-09-13,1,2020,2.0,4.0,3.0,3.0,3.0,3.0,MID,Spurs,50,1
Raúl Jiménez,2020-09-14,1,2020,3.0,6.0,4.0,5.0,5.0,3.0,FWD,Wolves,85,8
Reece James,2020-09-14,1,2020,2.0,4.0,2.0,2.0,3.0,3.0,DEF,Chelsea,50,14
Rekeem Harper,2020-09-13,1,2020,0.0,1.0,1.0,1.0,0.0,3.0,MID,West Brom,45,1
Richarlison de Andrade,2020-09-13,1,2020,2.0,5.0,4.0,4.0,4.0,3.0,FWD,Everton,80,2
Rob Holding,2020-09-12,1,2020,3.0,3.0,4.0,3.0,3.0,3.0,DEF,Arsenal,45,6
Roberto Firmino,2020-09-12,1,2020,5.0,7.0,4.0,3.0,5.0,3.0,FWD,Liverpool,95,1
Robin Koch,2020-09-12,1,2020,1.0,2.0,2.0,2.0,2.0,3.0,DEF,Leeds,45,0
Rodrigo Moreno,2020-09-12,1,2020,0.0,1.0,2.0,2.0,1.0,3.0,FWD,Leeds,60,1
Romain Saïss,2020-09-14,1,2020,1.0,4.0,2.0,3.0,3.0,3.0,DEF,Wolves,50,15
Romaine Sawyers,2020-09-13,1,2020,2.0,2.0,2.0,2.0,2.0,3.0,MID,West Brom,50,2
Ross Barkley,2020-09-14,1,2020,1.0,1.0,2.0,2.0,1.0,3.0,MID,Chelsea,60,1
Ruben Loftus-Cheek,2020-09-14,1,2020,3.0,3.0,3.0,2.0,3.0,3.0,MID,Chelsea,60,2
Rui Pedro dos Santos Patrício,2020-09-14,1,2020,1.0,5.0,3.0,3.0,3.0,3.0,GK,Wolves,55,6
Ryan Bertrand,2020-09-12,1,2020,2.0,4.0,3.0,3.0,3.0,3.0,DEF,Southampton,50,2
Ryan Fredericks,2020-09-12,1,2020,3.0,3.0,3.0,4.0,3.0,3.0,DEF,West Ham,45,0
Rúben Diogo da Silva Neves,2020-09-14,1,2020,-1.0,2.0,2.0,2.0,1.0,3.0,MID,Wolves,55,1
Sadio Mané,2020-09-12,1,2020,6.0,8.0,5.0,5.0,7.0,3.0,MID,Liverpool,120,2
Sam Johnstone,2020-09-13,1,2020,3.0,3.0,3.0,2.0,3.0,3.0,GK,West Brom,45,2
Sander Berge,2020-09-14,1,2020,0.0,1.0,2.0,1.0,0.0,3.0,MID,Sheffield Utd,50,1
Scott Dann,2020-09-12,1,2020,2.0,4.0,4.0,3.0,2.0,3.0,DEF,Crystal Palace,45,7
Seamus Coleman,2020-09-13,1,2020,1.0,3.0,3.0,3.0,3.0,3.0,DEF,Everton,50,6
Sean Longstaff,2020-09-12,1,2020,1.0,1.0,2.0,1.0,1.0,3.0,MID,Newcastle,50,1
Shane Long,2020-09-12,1,2020,1.0,1.0,2.0,1.0,1.0,3.0,FWD,Southampton,55,1
Solomon March,2020-09-14,1,2020,2.0,3.0,3.0,3.0,3.0,3.0,MID,Brighton,50,2
Steven Alzate,2020-09-14,1,2020,2.0,2.0,3.0,3.0,2.0,3.0,MID,Brighton,45,2
Steven Bergwijn,2020-09-13,1,2020,2.0,2.0,3.0,2.0,2.0,3.0,MID,Spurs,75,1
Stuart Dallas,2020-09-12,1,2020,2.0,2.0,3.0,3.0,2.0,3.0,DEF,Leeds,45,3
Sébastien Haller,2020-09-12,1,2020,1.0,3.0,3.0,2.0,2.0,3.0,FWD,West Ham,65,1
Tanguy Ndombele,2020-09-13,1,2020,1.0,2.0,3.0,2.0,2.0,3.0,MID,Spurs,60,1
Tariq Lamptey,2020-09-14,1,2020,3.0,3.0,3.0,3.0,2.0,3.0,DEF,Brighton,45,3
Tim Ream,2020-09-12,1,2020,2.0,2.0,3.0,3.0,3.0,3.0,DEF,Fulham,45,1
Timo Werner,2020-09-14,1,2020,5.0,6.0,6.0,4.0,5.0,3.0,FWD,Chelsea,95,5
Timothy Castagne,2020-09-13,1,2020,4.0,3.0,3.0,3.0,4.0,3.0,DEF,Leicester,55,14
Toby Alderweireld,2020-09-13,1,2020,2.0,4.0,3.0,3.0,3.0,3.0,DEF,Spurs,55,2
Tom Cairney,2020-09-12,1,2020,3.0,2.0,3.0,2.0,3.0,3.0,MID,Fulham,55,1
Tom Davies,2020-09-13,1,2020,-1.0,1.0,2.0,2.0,0.0,3.0,MID,Everton,55,1
Tomas Soucek,2020-09-12,1,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,West Ham,50,2
Trent Alexander-Arnold,2020-09-12,1,2020,5.0,6.0,6.0,4.0,5.0,3.0,DEF,Liverpool,75,1
Tyler Roberts,2020-09-12,1,2020,-0.0,1.0,2.0,1.0,0.0,3.0,MID,Leeds,50,1
Tyrick Mitchell,2020-09-12,1,2020,4.0,3.0,4.0,3.0,3.0,3.0,DEF,Crystal Palace,40,6
Vicente Guaita,2020-09-12,1,2020,2.0,4.0,4.0,3.0,3.0,3.0,GK,Crystal Palace,50,10
Virgil van Dijk,2020-09-12,1,2020,5.0,5.0,4.0,4.0,5.0,3.0,DEF,Liverpool,65,7
Wilfred Ndidi,2020-09-13,1,2020,1.0,4.0,3.0,3.0,3.0,3.0,MID,Leicester,50,3
Wilfried Zaha,2020-09-12,1,2020,3.0,4.0,5.0,3.0,4.0,3.0,MID,Crystal Palace,70,8
William Smallbone,2020-09-12,1,2020,2.0,3.0,2.0,3.0,2.0,3.0,MID,Southampton,45,2
Willian Borges Da Silva,2020-09-12,1,2020,3.0,5.0,4.0,4.0,4.0,3.0,MID,Arsenal,80,14
Willy Boly,2020-09-14,1,2020,2.0,5.0,3.0,3.0,3.0,3.0,DEF,Wolves,55,6
Yerry Mina,2020-09-13,1,2020,1.0,3.0,3.0,3.0,3.0,3.0,DEF,Everton,55,6
Youri Tielemans,2020-09-13,1,2020,2.0,5.0,3.0,3.0,3.0,3.0,MID,Leicester,65,3
Yves Bissouma,2020-09-14,1,2020,2.0,3.0,4.0,3.0,3.0,3.0,MID,Brighton,45,2
Çaglar Söyüncü,2020-09-13,1,2020,2.0,4.0,3.0,3.0,3.0,3.0,DEF,Leicester,55,6
Aaron Connolly,2020-09-20,2,2020,3.0,3.0,3.0,4.0,4.0,3.0,FWD,Brighton,55,8
Aaron Cresswell,2020-09-19,2,2020,2.0,3.0,3.0,3.0,3.0,4.0,DEF,West Ham,50,1
Aaron Ramsdale,2020-09-21,2,2020,3.0,4.0,4.0,3.0,3.0,3.0,GK,Sheffield Utd,50,2
Abdoulaye Doucouré,2020-09-19,2,2020,3.0,4.0,4.0,3.0,3.0,3.0,MID,Everton,55,1
Aboubakar Kamara,2020-09-19,2,2020,3.0,3.0,3.0,3.0,3.0,3.0,MID,Fulham,50,1
Adam Lallana,2020-09-20,2,2020,1.0,1.0,2.0,1.0,1.0,2.0,MID,Brighton,65,1
Adam Webster,2020-09-20,2,2020,2.0,3.0,3.0,3.0,3.0,3.0,DEF,Brighton,45,6
Adama Traoré,2020-09-21,2,2020,4.0,4.0,3.0,2.0,4.0,3.0,MID,Wolves,65,2
Aleksandar Mitrović,2020-09-19,2,2020,4.0,4.0,4.0,3.0,4.0,3.0,FWD,Fulham,60,12
Alex Iwobi,2020-09-19,2,2020,2.0,2.0,2.0,1.0,2.0,3.0,MID,Everton,60,1
Alex McCarthy,2020-09-20,2,2020,3.0,3.0,4.0,3.0,3.0,3.0,GK,Southampton,45,0
Alexandre Lacazette,2020-09-19,2,2020,5.0,6.0,4.0,5.0,4.0,4.0,FWD,Arsenal,85,7
Alireza Jahanbakhsh,2020-09-20,2,2020,1.0,1.0,2.0,1.0,1.0,3.0,MID,Brighton,55,1
Alisson Ramses Becker,2020-09-20,2,2020,4.0,4.0,3.0,3.0,4.0,3.0,GK,Liverpool,60,14
Allan Marques Loureiro,2020-09-19,2,2020,3.0,3.0,3.0,3.0,4.0,3.0,MID,Everton,55,2
Allan Saint-Maximin,2020-09-20,2,2020,4.0,4.0,4.0,3.0,4.0,3.0,MID,Newcastle,55,1
