"player_name","kickoff_time","GW","season","total_points","automl"
"Kyle Edwards",1599955200000,1,2020,1,0.9129899163109955
"Kyle Walker-Peters",1599868800000,1,2020,1,2.542495654766058
"Leander Dendoncker",1600041600000,1,2020,3,1.9966794755471415
"Leandro Trossard",1600041600000,1,2020,8,3.067369289033913
"Lewis Dunk",1600041600000,1,2020,1,2.966889834233458
"Lucas Digne",1599955200000,1,2020,12,2.220829273580448
"Lucas Rodrigues Moura da Silva",1599955200000,1,2020,2,3.7184059733713464
"Luka Milivojevic",1599868800000,1,2020,1,0.9696965217950678
"Lukasz Fabianski",1599868800000,1,2020,1,3.570452519814549
"Luke Ayling",1599868800000,1,2020,0,1.7495651317359013
"Marc Albrighton",1599955200000,1,2020,1,1.935861009566164
"Marcos Alonso",1600041600000,1,2020,2,4.643830899034498
"Marek Rodák",1599868800000,1,2020,1,2.3132557557826767
"Mark Noble",1599868800000,1,2020,2,3.360559981589135
"Mason Mount",1600041600000,1,2020,2,3.4709047354221445
"Mateusz Klich",1599868800000,1,2020,9,1.7017348150450609
"Matheus Pereira",1599955200000,1,2020,2,2.734864827431467
"Mathew Ryan",1600041600000,1,2020,1,2.878595972610115
"Matt Doherty",1599955200000,1,2020,2,4.1392391205731665
"Michael Hector",1599868800000,1,2020,0,2.0448837941418723
"Michael Keane",1599955200000,1,2020,6,2.813566982458854
"Michail Antonio",1599868800000,1,2020,2,4.091776627126529
"Miguel Almirón",1599868800000,1,2020,4,1.6980191764794301
"Mohamed Naser El Sayed Elneny",1599868800000,1,2020,3,2.8070523961724603
"Mohamed Salah",1599868800000,1,2020,20,8.619188787514263
"Moise Kean",1599955200000,1,2020,1,0.7274071936603733
"Moussa Djenepo",1599868800000,1,2020,1,1.7039765362116133
"Moussa Sissoko",1599955200000,1,2020,1,0.8436676380751793
"N'Golo Kanté",1600041600000,1,2020,2,2.2219085351841303
"Naby Keita",1599868800000,1,2020,1,5.081037128142799
"Nampalys Mendy",1599955200000,1,2020,3,2.7397853651034696
"Nathan Redmond",1599868800000,1,2020,2,3.752253912105407
"Neal Maupay",1600041600000,1,2020,2,3.084483339389133
"Neeskens Kebano",1599868800000,1,2020,2,2.3632912762096647
"Nicolas Pépé",1599868800000,1,2020,1,1.5608934875894152
"Oliver McBurnie",1600041600000,1,2020,1,3.157278421686885
"Oliver Norwood",1600041600000,1,2020,2,2.4163658950091222
"Oluwasemilogo Adesewo Ibidapo Ajayi",1599955200000,1,2020,0,2.361783887769545
"Oriol Romeu Vidal",1599868800000,1,2020,2,2.44573332992973
"Oskar Buur",1600041600000,1,2020,1,0.9051747146581373
"Pablo Fornals",1599868800000,1,2020,2,3.3765899752331388
"Pablo Hernández Domínguez",1599868800000,1,2020,2,1.9278804259486684
"Pascal Groß",1600041600000,1,2020,1,1.8665318909834743
"Pascal Struijk",1599868800000,1,2020,0,1.3701954927833748
"Patrick Bamford",1599868800000,1,2020,7,1.9066065234474476
"Pedro Lomba Neto",1600041600000,1,2020,6,2.9267289929865212
"Pierre-Emerick Aubameyang",1599868800000,1,2020,7,6.911681538306788
"Pierre-Emile Højbjerg",1599955200000,1,2020,1,2.384260926704207
"Raúl Jiménez",1600041600000,1,2020,8,5.71293185189455
"Reece James",1600041600000,1,2020,14,2.0720642770636797
"Rekeem Harper",1599955200000,1,2020,1,0.7592383416632296
"Richarlison de Andrade",1599955200000,1,2020,2,5.09999450258159
"Rob Holding",1599868800000,1,2020,6,3.510206336514828
"Roberto Firmino",1599868800000,1,2020,1,4.759228787715266
"Robin Koch",1599868800000,1,2020,0,1.3833511113981296
"Rodrigo Moreno",1599868800000,1,2020,1,0.8985870788614754
"Romain Saïss",1600041600000,1,2020,15,2.50497521635217
"Romaine Sawyers",1599955200000,1,2020,2,2.234710253777341
"Ross Barkley",1600041600000,1,2020,1,1.146809368627245
"Ruben Loftus-Cheek",1600041600000,1,2020,2,2.676065296337358
"Rui Pedro dos Santos Patrício",1600041600000,1,2020,6,3.354814229847717
"Ryan Bertrand",1599868800000,1,2020,2,2.4862117064521287
"Ryan Fredericks",1599868800000,1,2020,0,3.323042615045029
"Rúben Diogo da Silva Neves",1600041600000,1,2020,1,0.9602320817724589
"Sadio Mané",1599868800000,1,2020,2,8.14316674215189
"Sam Johnstone",1599955200000,1,2020,2,2.426354816623112
"Sander Berge",1600041600000,1,2020,1,0.9547432415138318
"Scott Dann",1599868800000,1,2020,7,3.3560959235762007
"Seamus Coleman",1599955200000,1,2020,6,2.5242904688864556
"Sean Longstaff",1599868800000,1,2020,1,1.4037904630393174
"Shane Long",1599868800000,1,2020,1,1.310470921744431
"Solomon March",1600041600000,1,2020,2,2.566354848006317
"Steven Alzate",1600041600000,1,2020,2,1.9604434131552297
"Steven Bergwijn",1599955200000,1,2020,1,2.233835752011424
"Stuart Dallas",1599868800000,1,2020,3,1.6797043291568596
"Sébastien Haller",1599868800000,1,2020,1,1.9178307967205321
"Tanguy Ndombele",1599955200000,1,2020,1,1.735053610096438
"Tariq Lamptey",1600041600000,1,2020,3,3.6563165540421676
"Tim Ream",1599868800000,1,2020,1,2.1005519722527666
"Timo Werner",1600041600000,1,2020,5,4.56601766479853
"Timothy Castagne",1599955200000,1,2020,14,3.331978326484026
"Toby Alderweireld",1599955200000,1,2020,2,3.317913403508894
"Tom Cairney",1599868800000,1,2020,1,2.269661178058734
"Tom Davies",1599955200000,1,2020,1,0.664484572282332
"Tomas Soucek",1599868800000,1,2020,2,3.5128889164665584
"Trent Alexander-Arnold",1599868800000,1,2020,1,6.55149247017358
"Tyler Roberts",1599868800000,1,2020,1,0.4805635872233759
"Tyrick Mitchell",1599868800000,1,2020,6,2.447877887715284
"Vicente Guaita",1599868800000,1,2020,10,3.2188099271339334
"Virgil van Dijk",1599868800000,1,2020,7,5.05606705507595
"Wilfred Ndidi",1599955200000,1,2020,3,3.481895936696584
"Wilfried Zaha",1599868800000,1,2020,8,3.512255809232244
"William Smallbone",1599868800000,1,2020,2,2.3045963464845514
"Willian Borges Da Silva",1599868800000,1,2020,14,5.575442788062152
"Willy Boly",1600041600000,1,2020,6,3.589921901163329
"Yerry Mina",1599955200000,1,2020,6,2.2638141279326174
"Youri Tielemans",1599955200000,1,2020,3,3.9863450554553492
"Yves Bissouma",1600041600000,1,2020,2,2.554094983519966
"Çaglar Söyüncü",1599955200000,1,2020,6,3.992433663930527
"Aaron Connolly",1600560000000,2,2020,8,3.2897323730689427
"Aaron Cresswell",1600473600000,2,2020,1,2.9103163498165388
"Aaron Ramsdale",1600646400000,2,2020,2,3.8346133173651644
"Abdoulaye Doucouré",1600473600000,2,2020,1,3.624282672573615
"Aboubakar Kamara",1600473600000,2,2020,1,3.3559946404302057
"Adam Lallana",1600560000000,2,2020,1,1.6516745280563152
"Adam Webster",1600560000000,2,2020,6,3.696062671261097
"Adama Traoré",1600646400000,2,2020,2,4.3974325582941125
"Aleksandar Mitrović",1600473600000,2,2020,12,3.431540022414544
"Alex Iwobi",1600473600000,2,2020,1,1.5509681672724855
"Alex McCarthy",1600560000000,2,2020,0,3.537609284037158
"Alexandre Lacazette",1600473600000,2,2020,7,4.258515669869824
"Alireza Jahanbakhsh",1600560000000,2,2020,1,1.5171045353961041
"Alisson Ramses Becker",1600560000000,2,2020,14,3.6591043614974557
"Allan Marques Loureiro",1600473600000,2,2020,2,3.000835384268111
"Allan Saint-Maximin",1600560000000,2,2020,1,3.4393331857632656
"Alphonse Areola",1600473600000,2,2020,1,3.1488266475935616
"Andreas Christensen",1600560000000,2,2020,-3,1.761663634206803
"Andrew Robertson",1600560000000,2,2020,6,4.1181749840918584
"Andriy Yarmolenko",1600473600000,2,2020,1,1.505272973721722
"Andros Townsend",1600473600000,2,2020,9,2.537121848774406
"André Filipe Tavares Gomes",1600473600000,2,2020,2,2.888237878748732
"André-Frank Zambo Anguissa",1600473600000,2,2020,5,2.5016115662557974
"Andy Carroll",1600560000000,2,2020,1,3.6586586388531526
"Angelo Ogbonna",1600473600000,2,2020,1,2.9544925512055142
"Anthony Martial",1600473600000,2,2020,2,6.319853642933817
"Arthur Masuaku",1600473600000,2,2020,1,2.0733550712214193
"Ashley Westwood",1600560000000,2,2020,2,3.4053354664995474
"Ayoze Pérez",1600560000000,2,2020,2,4.608143283921677
"Ben Davies",1600560000000,2,2020,1,2.4945156203107466
"Ben Osborn",1600646400000,2,2020,1,1.5505541531456128
"Ben White",1600560000000,2,2020,6,2.1740513372868917
"Benjamin Mendy",1600646400000,2,2020,1,2.9575323515823544
"Bernd Leno",1600473600000,2,2020,2,3.974354122574084
"Bobby Decordova-Reid",1600473600000,2,2020,5,1.4745426764537453
"Bruno Miguel Borges Fernandes",1600473600000,2,2020,2,6.035404199251657
"Bukayo Saka",1600473600000,2,2020,2,3.6512952009561976
"Callum Robinson",1600473600000,2,2020,2,3.1900283032792625
"Callum Wilson",1600560000000,2,2020,2,4.081088958992725
"Charlie Taylor",1600560000000,2,2020,3,3.139634806546353
"Che Adams",1600560000000,2,2020,1,2.9903190556989543
"Cheikhou Kouyaté",1600473600000,2,2020,2,2.359983755674492
"Chris Basham",1600646400000,2,2020,2,3.5288103540063167
"Chris Wood",1600560000000,2,2020,6,3.492432451409136
"Conor Coady",1600646400000,2,2020,1,2.2082366877824193
"Conor Hourihane",1600646400000,2,2020,3,3.6369583641519316
"Dan Burn",1600560000000,2,2020,1,1.1401998475724526
"Daniel Castelo Podence",1600646400000,2,2020,5,3.388840797306414
"Daniel Ceballos Fernández",1600473600000,2,2020,8,3.6675626597365163
"Daniel James",1600473600000,2,2020,1,4.422058506318972
"Danny Ings",1600560000000,2,2020,11,5.414893086129598
"Dara O'Shea",1600473600000,2,2020,0,1.9433652281983027
"Darnell Furlong",1600473600000,2,2020,0,2.5246039438016648
"David Luiz Moreira Marinho",1600473600000,2,2020,1,1.6926376604464204
"David McGoldrick",1600646400000,2,2020,1,3.4508365192757307
"David de Gea",1600473600000,2,2020,1,3.2577458148207215
"Davinson Sánchez",1600560000000,2,2020,1,2.63579401616523
"Declan Rice",1600473600000,2,2020,2,2.6552898969051935
"Denis Odoi",1600473600000,2,2020,0,2.3096729323784113
"Dennis Praet",1600560000000,2,2020,8,3.5353977980851417
"Dominic Calvert-Lewin",1600473600000,2,2020,17,4.204273886045719
"Donny van de Beek",1600473600000,2,2020,6,1.9380797288203218
"Douglas Luiz Soares de Paulo",1600646400000,2,2020,3,3.146631755040881
"Dwight McNeil",1600560000000,2,2020,5,3.803166312225483
"Eberechi Eze",1600473600000,2,2020,1,1.1148401879717391
"Ederson Santana de Moraes",1600646400000,2,2020,2,2.574674292935459
"Edward Nketiah",1600473600000,2,2020,8,1.3754223854803087
"Emiliano Martínez",1600646400000,2,2020,13,3.4721433252206357
"Enda Stevens",1600646400000,2,2020,2,4.789628497015932
"Eric Dier",1600560000000,2,2020,1,2.313873890435537
"Erik Lamela",1600560000000,2,2020,4,1.5703945284595255
"Erik Pieters",1600560000000,2,2020,-2,0.6516195392903746
"Ethan Ampadu",1600646400000,2,2020,1,1.1625484211095107
"Ezgjan Alioski",1600473600000,2,2020,1,1.3449947496015975
"Ezri Konsa Ngoyo",1600646400000,2,2020,15,3.416238468654316
"Fabio Henrique Tavares",1600560000000,2,2020,3,2.5972386815848427
