goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,62,MC,Chelsea,Manchester City,0,1,2021-09-25,16426,2021,484399,0,0,0,0,0,0.033909332007169724,0.033909332007169724,N&#039;Golo Kanté
1,1,0.02312243916094303,43,Sub,Tottenham,Chelsea,0,3,2021-09-19,16425,2021,482940,0.45043089985847473,0,1,1,0.02312243916094303,1.3596891164779663,0.8861357569694519,N&#039;Golo Kanté
0,0,0,52,MC,Liverpool,Chelsea,1,1,2021-08-28,16402,2021,479075,0.10192060470581055,0,1,0,0,0.3653942048549652,0.26347360014915466,N&#039;Golo Kanté
0,0,0,16,Sub,Arsenal,Chelsea,0,2,2021-08-22,16394,2021,477852,0,0,0,0,0,0.47219550609588623,0.47219550609588623,N&#039;Golo Kanté
