player_name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home
Kurt Zouma,DEF,Chelsea,110,173,Leicester,0,False,2021-01-19,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-35229,1682489,59653,94882,19,Chelsea,4,Leicester,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Marcos Alonso,DEF,Chelsea,104,173,Leicester,0,False,2021-01-19,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-445,109082,171,616,19,Chelsea,4,Leicester,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Mason Mount,MID,Chelsea,120,173,Leicester,2,False,2021-01-19,2,0,19,90,0,0,0,2,0,0,0,0,0,0,0,15,29.0,57.4,1.0,8.7,68,15882,404660,41728,25846,19,Chelsea,4,Leicester,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Mateo Kovacic,MID,Chelsea,107,173,Leicester,1,False,2021-01-19,2,0,19,90,0,0,0,2,0,0,0,1,0,0,0,19,19.6,5.7,2.0,2.7,53,8,19009,396,388,19,Chelsea,4,Leicester,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
N'Golo Kanté,MID,Chelsea,113,173,Leicester,0,False,2021-01-19,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-11801,205870,197,11998,19,Chelsea,4,Leicester,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Olivier Giroud,FWD,Chelsea,103,173,Leicester,0,False,2021-01-19,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,67,15670,129720,27361,11691,19,Chelsea,4,Leicester,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Reece James,DEF,Chelsea,123,173,Leicester,1,False,2021-01-19,2,0,19,90,0,0,0,2,0,0,0,0,0,0,0,17,24.0,34.9,34.0,9.3,51,-20524,584609,38997,59521,19,Chelsea,4,Leicester,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Tammy Abraham,FWD,Chelsea,118,173,Leicester,2,False,2021-01-19,2,0,19,90,0,0,0,2,0,0,0,0,0,0,0,2,8.2,1.8,37.0,4.7,72,94866,331844,120358,25492,19,Chelsea,4,Leicester,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Thiago Thiago,DEF,Chelsea,490,173,Leicester,1,False,2021-01-19,2,0,19,90,0,0,0,2,0,0,0,0,0,0,0,15,21.0,1.4,33.0,5.5,56,-38,321969,13031,13069,19,Chelsea,4,Leicester,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Timo Werner,FWD,Chelsea,117,173,Leicester,1,False,2021-01-19,2,0,19,22,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0.3,0.0,0.1,92,46126,968981,74115,27989,19,Chelsea,4,Leicester,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
