player_name,position_x,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists_x,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id_x,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,date,id_y,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
Antonio Rüdiger,DEF,Chelsea,109,173,Leicester,1,False,2021-01-19,2,0,19,90,0,0,0,2,0,0,0,0,0,0,0,19,16.6,1.8,0.0,1.8,45,-165,50770,585,750,19,Chelsea,4,Leicester,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250,0,0,0.0,90,DC,Leicester,Chelsea,2,0,2021-01-19,14609,2020,443288,0.0,0,0,0,0.0,0.13562166690826416,0.13562166690826416
Callum Hudson-Odoi,MID,Chelsea,122,173,Leicester,2,False,2021-01-19,2,0,19,67,0,0,0,2,0,0,0,0,0,0,0,7,1.8,19.7,4.0,2.6,57,4313,26344,6077,1764,19,Chelsea,4,Leicester,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250,0,1,0.052242327481508255,70,FWR,Leicester,Chelsea,2,0,2021-01-19,14609,2020,443293,0.03089940175414085,0,1,0,0.052242327481508255,0.08314172923564911,0.03089940175414085
Christian Pulisic,MID,Chelsea,119,173,Leicester,2,False,2021-01-19,2,0,19,90,0,0,0,2,0,0,0,0,0,0,0,2,7.2,13.2,6.0,2.6,82,5004,181804,15075,10071,19,Chelsea,4,Leicester,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250,0,1,0.05247993767261505,90,FWL,Leicester,Chelsea,2,0,2021-01-19,14609,2020,443295,0.052242327481508255,0,1,0,0.05247993767261505,0.13562166690826416,0.08314172923564911
Edouard Mendy,GK,Chelsea,548,173,Leicester,2,False,2021-01-19,2,0,19,90,0,0,0,2,0,0,0,0,0,4,0,22,33.6,0.0,0.0,3.4,51,30143,571270,65221,35078,19,Chelsea,4,Leicester,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250,0,0,0.0,90,GK,Leicester,Chelsea,2,0,2021-01-19,14609,2020,443285,0.0,0,0,0,0.0,0.042153235524892814,0.042153235524892814
Hakim Ziyech,MID,Chelsea,114,173,Leicester,0,False,2021-01-19,2,0,19,23,0,0,0,0,0,0,0,1,0,0,0,3,4.8,0.1,17.0,2.2,81,46734,238522,55646,8912,19,Chelsea,4,Leicester,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250,0,1,0.0828118845820427,21,Sub,Leicester,Chelsea,2,0,2021-01-19,14609,2020,443297,0.0,0,0,0,0.0828118845820427,0.0828118845820427,0.0
Mason Mount,MID,Chelsea,120,173,Leicester,2,False,2021-01-19,2,0,19,90,0,0,0,2,0,0,0,0,0,0,0,15,29.0,57.4,1.0,8.7,68,15882,404660,41728,25846,19,Chelsea,4,Leicester,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250,0,1,0.16622968018054962,90,MC,Leicester,Chelsea,2,0,2021-01-19,14609,2020,443292,0.27172285318374634,0,4,0,0.16622968018054962,0.1661912202835083,0.0833793357014656
Mateo Kovacic,MID,Chelsea,107,173,Leicester,1,False,2021-01-19,2,0,19,90,0,0,0,2,0,0,0,1,0,0,0,19,19.6,5.7,2.0,2.7,53,8,19009,396,388,19,Chelsea,4,Leicester,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250,0,0,0.0,90,MC,Leicester,Chelsea,2,0,2021-01-19,14609,2020,443290,0.0,0,0,0,0.0,0.08314172923564911,0.08314172923564911
Tammy Abraham,FWD,Chelsea,118,173,Leicester,2,False,2021-01-19,2,0,19,90,0,0,0,2,0,0,0,0,0,0,0,2,8.2,1.8,37.0,4.7,72,94866,331844,120358,25492,19,Chelsea,4,Leicester,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250,0,2,0.06370387971401215,90,FW,Leicester,Chelsea,2,0,2021-01-19,14609,2020,443294,0.0,0,0,0,0.06370387971401215,0.07305263727903366,0.03089940175414085
Timo Werner,FWD,Chelsea,117,173,Leicester,1,False,2021-01-19,2,0,19,22,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0.3,0.0,0.1,92,46126,968981,74115,27989,19,Chelsea,4,Leicester,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250,0,0,0.0,20,Sub,Leicester,Chelsea,2,0,2021-01-19,14609,2020,443296,0.0,0,0,0,0.0,0.0,0.0
Andreas Christensen,DEF,Chelsea,116,283,Liverpool,8,False,2021-03-04,0,1,26,90,0,0,1,0,0,0,0,0,0,0,2,31,20.6,0.3,0.0,2.1,47,15,18295,915,900,26,Chelsea,3,Liverpool,4,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250,0,0,0.0,90,DC,Liverpool,Chelsea,0,1,2021-03-04,14719,2020,454264,0.0,0,0,0,0.0,0.41917163133621216,0.41917163133621216
