,GW,player_name,total_points,was_home,team_h,team_h_difficulty,team_h_score,team_h_strength_attack,team_h_strength_defense,team_h_strength_overall,team_a,team_a_difficulty,team_a_score,team_h_strength_attack,team_h_strength_defense,team_h_strength_overall,position,goals_scored,goals_conceded,assists_x,clean_sheets,penalties_saved,penalties_missed,saves,own_goals,red_cards,yellow_cards,minutes,selected,value,bonus,bps,transfers_balance,transfers_in,transfers_out,influence,creativity,threat,ict_index,kickoff_time,shots,key_passes,xG,xA,npg,npxG,xGChain,xGBuildup
494,1,Kai Havertz,2,False,Brighton,4,1,[1150],[1100],[1125.],Chelsea,3,3,[1150],[1100],[1125.],MID,0,1,0,0,0,0,0,0,0,0,79,755977,85,0,8,0,0,0,8.4,14.8,0.0,2.3,2020-09-14,0,1,0.0,0.1532256007194519,0,0.0,0.3583186566829681,0.20509305596351626
493,1,César Azpilicueta,1,False,Brighton,4,1,[1150],[1100],[1125.],Chelsea,3,3,[1150],[1100],[1125.],DEF,0,0,0,0,0,0,0,0,0,0,5,469354,60,0,3,0,0,0,0.4,0.5,2.0,0.3,2020-09-14,0,0,0.0,0.0,0,0.0,0.0,0.0
492,1,Callum Hudson-Odoi,1,False,Brighton,4,1,[1150],[1100],[1125.],Chelsea,3,3,[1150],[1100],[1125.],MID,0,0,0,0,0,0,0,0,0,0,10,28187,60,0,3,0,0,0,0.8,1.3,0.0,0.2,2020-09-14,0,0,0.0,0.0,0,0.0,0.0,0.0
491,1,Andreas Christensen,2,False,Brighton,4,1,[1150],[1100],[1125.],Chelsea,3,3,[1150],[1100],[1125.],DEF,0,1,0,0,0,0,0,0,0,0,90,17362,50,0,14,0,0,0,17.8,0.7,2.0,2.1,2020-09-14,0,0,0.0,0.0,0,0.0,0.12942646443843842,0.12942646443843842
9282,1,Daniel Ceballos Fernández,1,False,Fulham,3,0,[1150],[1040],[1095.],Arsenal,2,3,[1150],[1040],[1095.],MID,0,0,0,0,0,0,0,0,0,0,12,115657,50,0,6,0,0,0,5.2,1.3,4.0,1.1,2020-09-12,0,0,0.0,0.0,0,0.0,0.0,0.0
9283,1,Edward Nketiah,1,False,Fulham,3,0,[1150],[1040],[1095.],Arsenal,2,3,[1150],[1040],[1095.],FWD,0,0,0,0,0,0,0,0,0,0,3,112190,60,0,3,0,0,0,0.0,0.0,0.0,0.0,2020-09-12,0,0,0.0,0.0,0,0.0,0.0,0.0
9284,1,Gabriel Magalhães,15,False,Fulham,3,0,[1150],[1040],[1095.],Arsenal,2,3,[1150],[1040],[1095.],DEF,1,0,0,1,0,0,0,0,0,0,90,85593,50,3,37,0,0,0,51.8,0.3,33.0,8.5,2020-09-12,1,0,0.5060973167419434,0.0,1,0.5060973167419434,0.3469330966472626,0.3469330966472626
2399,1,Willy Boly,6,False,Sheffield United,2,0,[],[],[],Wolverhampton Wanderers,2,2,[],[],[],DEF,0,0,0,1,0,0,0,0,0,0,90,138741,55,0,25,0,0,0,21.6,0.2,0.0,2.2,2020-09-14,0,0,0.0,0.0,0,0.0,0.05364562198519707,0.05364562198519707
5066,1,Jamie Vardy,13,False,West Bromwich Albion,4,0,[],[],[],Leicester,2,3,[],[],[],FWD,2,0,0,1,0,0,0,0,0,0,90,1036141,100,3,52,0,0,0,71.2,10.3,36.0,11.8,2020-09-13,2,1,1.5223376750946045,0.06621893495321274,0,0.0,0.11279518157243727,0.04657624289393425
5065,1,James Maddison,1,False,West Bromwich Albion,4,0,[],[],[],Leicester,2,3,[],[],[],MID,0,0,0,0,0,0,0,0,0,0,15,81625,70,0,4,0,0,0,2.8,12.3,0.0,1.5,2020-09-13,0,1,0.0,0.04657624289393425,0,0.0,0.04657624289393425,0.0
