player_name,position_x,team,FPL_ID,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists_x,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id_x,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,date,id_y,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
Tariq Lamptey,DEF,Brighton,77,7,Chelsea,3,True,2020-09-14,1,3,1,90,0,1,0,3,0,0,0,1,0,0,0,22,33.8,27.3,20.0,8.1,45,0,114860,0,0,1,Chelsea,3,Brighton,4,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,1,0.04331563785672188,90,DMR,Brighton,Chelsea,1,3,2020-09-14,14095,2020,415361,0.3429744839668274,1,2,0,0.04331563785672188,0.4656501114368439,0.4223344922065735
Yves Bissouma,MID,Brighton,76,7,Chelsea,2,True,2020-09-14,1,3,1,90,0,0,0,3,0,0,0,0,0,0,0,13,8.4,3.8,5.0,1.7,45,0,269810,0,0,1,Chelsea,3,Brighton,4,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,2,0.028035633265972137,90,MC,Brighton,Chelsea,1,3,2020-09-14,14095,2020,415364,0.0,0,0,0,0.028035633265972137,0.3764495849609375,0.3764495849609375
Aaron Connolly,FWD,Brighton,78,16,Newcastle,8,False,2020-09-20,0,3,2,89,1,0,1,0,0,0,0,0,0,0,2,27,34.8,11.3,23.0,6.9,55,-1161,35030,5332,6493,2,Brighton,2,Newcastle,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,1,2,0.16150961816310885,90,FW,Newcastle United,Brighton,0,3,2020-09-20,14101,2020,416344,0.016603726893663406,0,1,1,0.16150961816310885,0.20911894738674164,0.031005606055259705
Adam Lallana,MID,Brighton,54,16,Newcastle,1,False,2020-09-20,0,3,2,12,0,0,0,0,0,0,0,0,0,0,0,3,6.4,1.2,0.0,0.8,65,-25783,57682,2185,27968,2,Brighton,2,Newcastle,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,0,0.0,7,Sub,Newcastle United,Brighton,0,3,2020-09-20,14101,2020,416346,0.0,0,0,0,0.0,0.2696140706539154,0.2696140706539154
Adam Webster,DEF,Brighton,66,16,Newcastle,6,False,2020-09-20,0,3,2,90,0,0,1,0,0,0,0,0,0,0,0,21,10.0,1.0,0.0,1.1,45,-17741,171745,2892,20633,2,Brighton,2,Newcastle,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,0,0.0,90,DC,Newcastle United,Brighton,0,3,2020-09-20,14101,2020,416336,0.0,0,0,0,0.0,0.14022192358970642,0.14022192358970642
Alireza Jahanbakhsh,MID,Brighton,71,16,Newcastle,1,False,2020-09-20,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,4,2.0,10.4,18.0,3.0,55,-235,3804,305,540,2,Brighton,2,Newcastle,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,1,0.12847071886062622,1,Sub,Newcastle United,Brighton,0,3,2020-09-20,14101,2020,416345,0.051625967025756836,0,1,0,0.12847071886062622,0.18009668588638306,0.051625967025756836
Ben White,DEF,Brighton,74,16,Newcastle,6,False,2020-09-20,0,3,2,90,0,0,1,0,0,0,0,0,0,0,0,21,12.8,3.8,0.0,1.7,45,-12682,96397,4037,16719,2,Brighton,2,Newcastle,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,0,0.0,90,DC,Newcastle United,Brighton,0,3,2020-09-20,14101,2020,416337,0.0,0,0,0,0.0,0.24414119124412534,0.24414119124412534
Dan Burn,DEF,Brighton,61,16,Newcastle,1,False,2020-09-20,0,3,2,32,0,0,0,0,0,0,0,0,0,0,0,4,2.8,1.8,0.0,0.5,45,-7122,46103,1006,8128,2,Brighton,2,Newcastle,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,0,0.0,27,Sub,Newcastle United,Brighton,0,3,2020-09-20,14101,2020,416347,0.0,0,0,0,0.0,0.12361820042133333,0.12361820042133333
Leandro Trossard,MID,Brighton,69,16,Newcastle,6,False,2020-09-20,0,3,2,90,0,1,1,0,0,0,0,0,0,0,0,19,25.0,36.9,13.0,7.5,60,11942,47806,19867,7925,2,Brighton,2,Newcastle,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,3,0.06555323302745819,90,AMC,Newcastle United,Brighton,0,3,2020-09-20,14101,2020,416342,0.7191234827041626,1,3,0,0.06555323302745819,0.784676730632782,0.0
Lewis Dunk,DEF,Brighton,62,16,Newcastle,7,False,2020-09-20,0,3,2,90,0,0,1,0,0,0,0,0,0,0,1,26,18.8,0.8,0.0,2.0,50,-45744,508280,11610,57354,2,Brighton,2,Newcastle,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,0,0.0,90,DC,Newcastle United,Brighton,0,3,2020-09-20,14101,2020,416335,0.0,0,0,0,0.0,0.14022192358970642,0.14022192358970642
