,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
30,0,1,0.01419538538902998,81,MC,Chelsea,Watford,3,0,2020-07-04,11964,2019,405456,0,0,0,0,0.01419538538902998,0.21369074285030365,0.1994953602552414,N&#039;Golo Kanté
31,0,1,0.018342675641179085,90,MC,West Ham,Chelsea,3,2,2020-07-01,11962,2019,404613,0.01715581677854061,0,1,0,0.018342675641179085,0.29043152928352356,0.29043152928352356,N&#039;Golo Kanté
32,0,0,0,90,MC,Chelsea,Manchester City,2,1,2020-06-25,11946,2019,402732,0,0,0,0,0,0.5284057259559631,0.5284057259559631,N&#039;Golo Kanté
33,0,0,0,90,MC,Aston Villa,Chelsea,1,2,2020-06-21,11933,2019,401679,0.04568248242139816,0,2,0,0,0.25338292121887207,0.22898010909557343,N&#039;Golo Kanté
34,0,0,0,11,MC,Chelsea,Manchester United,0,2,2020-02-17,11896,2019,387076,0,0,0,0,0,0.015273096971213818,0.015273096971213818,N&#039;Golo Kanté
35,0,1,0.05266920104622841,90,DMC,Leicester,Chelsea,2,2,2020-02-01,11886,2019,386596,0.046942826360464096,0,1,0,0.05266920104622841,0.0996120274066925,0,N&#039;Golo Kanté
36,0,1,0.13115470111370087,71,MC,Chelsea,Arsenal,2,2,2020-01-21,11881,2019,386423,0.03625216335058212,0,1,0,0.13115470111370087,0.37719064950942993,0.20978379249572754,N&#039;Golo Kanté
37,0,2,0.06119253858923912,90,MC,Newcastle United,Chelsea,1,0,2020-01-18,11868,2019,386217,0.05690053477883339,0,1,0,0.06119253858923912,0.6470043659210205,0.528911292552948,N&#039;Golo Kanté
38,0,1,0.06739367544651031,90,MC,Brighton,Chelsea,1,1,2020-01-01,11845,2019,385485,0.19996696710586548,0,4,0,0.06739367544651031,0.36760035157203674,0.10023970156908035,N&#039;Golo Kanté
39,0,1,0.0187807846814394,90,MC,Arsenal,Chelsea,1,2,2019-12-29,11833,2019,372884,0,0,0,0,0.0187807846814394,0.04860622063279152,0.04860622063279152,N&#039;Golo Kanté
40,0,0,0,90,MC,Chelsea,Southampton,0,2,2019-12-26,11825,2019,372455,0.05889230594038963,0,1,0,0,0.0835874006152153,0.0835874006152153,N&#039;Golo Kanté
41,0,1,0.023201165720820427,90,MC,Tottenham,Chelsea,0,2,2019-12-22,11820,2019,372276,0.027630731463432312,0,1,0,0.023201165720820427,0.07854576408863068,0.07854576408863068,N&#039;Golo Kanté
42,0,0,0,90,DMC,Chelsea,Bournemouth,0,1,2019-12-14,11805,2019,369746,0.05282921344041824,0,1,0,0,0.19349566102027893,0.14066645503044128,N&#039;Golo Kanté
43,0,0,0,90,DMC,Everton,Chelsea,3,1,2019-12-07,11796,2019,368127,0.13438177108764648,0,3,0,0,0.8059055209159851,0.6715237498283386,N&#039;Golo Kanté
44,0,2,0.04717222973704338,90,DMC,Chelsea,Aston Villa,2,1,2019-12-04,11789,2019,367670,0.2786245048046112,0,4,0,0.04717222973704338,0.40518173575401306,0.3734299838542938,N&#039;Golo Kanté
45,0,0,0,25,Sub,Chelsea,West Ham,0,1,2019-11-30,11774,2019,366190,0.2609722912311554,0,2,0,0,0.09632808715105057,0.015433580614626408,N&#039;Golo Kanté
46,1,2,0.389549195766449,90,MC,Manchester City,Chelsea,2,1,2019-11-23,11769,2019,364924,0.09735430777072906,0,2,1,0.389549195766449,0.51767498254776,0.030771516263484955,N&#039;Golo Kanté
47,0,1,0.055347196757793427,90,DMC,Chelsea,Crystal Palace,2,0,2019-11-09,11754,2019,362892,0.16496580839157104,0,2,0,0.055347196757793427,0.6954038143157959,0.4750908315181732,N&#039;Golo Kanté
48,1,1,0.04478341341018677,90,DMC,Southampton,Chelsea,1,4,2019-10-06,11718,2019,356878,0,0,0,1,0.04478341341018677,0.5693274736404419,0.5245440602302551,N&#039;Golo Kanté
49,1,2,0.0993727594614029,90,MC,Chelsea,Liverpool,1,2,2019-09-22,11701,2019,353114,0,0,0,1,0.0993727594614029,0.21726717054843903,0.15141941606998444,N&#039;Golo Kanté
50,0,1,0.5207580327987671,90,MC,Chelsea,Leicester,1,1,2019-08-18,11661,2019,342568,0.041720252484083176,0,1,0,0.5207580327987671,0.7053232192993164,0.14284493029117584,N&#039;Golo Kanté
51,0,0,0,15,Sub,Manchester United,Chelsea,4,0,2019-08-11,11652,2019,341644,0,0,0,0,0,0,0,N&#039;Golo Kanté
