,player_name,GW,kickoff_time,total_points,goals_scored,goals_conceded,assists,clean_sheets,penalties_saved,penalties_missed,saves,own_goals,red_cards,yellow_cards,minutes,value,bonus,bps,transfers_in,influence,creativity,threat,ict_index,position_DEF,position_FWD,position_GK,position_MID,team_h_Arsenal,team_h_Manchester City,team_h_Newcastle
36,Matej Vydra,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
37,Matthew Lowton,1,2019-08-10,6,0,0,0,1,0,0,0,0,0,0,90,45,0,23,0,14.2,15.3,2.0,3.2,1,0,0,0,0,0,0
38,Nick Pope,1,2019-08-10,8,0,0,0,1,0,0,3,0,0,0,90,45,1,28,0,25.6,10.0,0.0,3.6,0,0,1,0,0,0,0
39,Phil Bardsley,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
40,Robbie Brady,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
41,Steven Defour,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
42,Wilfried Zaha,1,2019-08-10,1,0,0,0,0,0,0,0,0,0,0,25,70,0,1,0,4.4,0.8,32.0,3.7,0,0,0,1,0,0,0
43,Wayne Hennessey,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
44,Víctor Camarasa,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
45,Vicente Guaita,1,2019-08-10,6,0,0,0,1,0,0,2,0,0,0,90,50,0,24,0,14.0,0.0,0.0,1.4,0,0,1,0,0,0,0
46,Scott Dann,1,2019-08-10,6,0,0,0,1,0,0,0,0,0,0,90,45,0,20,0,8.6,0.1,67.0,7.6,1,0,0,0,0,0,0
47,Patrick van Aanholt,1,2019-08-10,6,0,0,0,1,0,0,0,0,0,0,90,55,0,20,0,15.4,0.5,2.0,1.8,1,0,0,0,0,0,0
48,Max Meyer,1,2019-08-10,2,0,0,0,1,0,0,0,0,0,1,90,55,0,5,0,12.0,1.0,55.0,6.8,0,0,0,1,0,0,0
49,Martin Kelly,1,2019-08-10,6,0,0,0,1,0,0,0,0,0,0,90,40,0,24,0,25.8,0.0,0.0,2.6,1,0,0,0,0,0,0
50,Mamadou Sakho,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
51,Luke Dreher,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
52,Luka Milivojevic,1,2019-08-10,2,0,0,0,1,0,0,0,0,0,1,90,70,0,-2,0,1.6,14.8,0.0,1.6,0,0,0,1,0,0,0
53,Jordan Ayew,1,2019-08-10,2,0,0,0,1,0,0,0,0,0,0,64,50,0,8,0,9.0,12.8,19.0,4.1,0,1,0,0,0,0,0
