,player_name,GW,kickoff_time,total_points,goals_scored,goals_conceded,assists,clean_sheets,penalties_saved,saves,own_goals,red_cards,yellow_cards,minutes,value,bonus,bps,influence,creativity,threat,ict_index,key_passes,xG,xA,npg,npxG,xGChain,xGBuildup,position_DEF,position_FWD,position_MID,team_h_Arsenal,team_h_Manchester City,team_h_Newcastle
54,Oliver Skipp,1,2019-08-10,1,0,0,0,0,0,0,0,0,0,1,45,0,3,0.0,0.1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,0,0,0
55,Moussa Sissoko,1,2019-08-10,5,0,1,1,0,0,0,0,0,0,90,50,0,13,17.8,20.3,51.0,8.9,1,0.3812357187271118,0.08711989223957063,0,0.3812357187271118,0.8177260756492615,0.34937047958374023,0,0,1,0,0,0
56,Kyle Walker-Peters,1,2019-08-10,2,0,1,0,0,0,0,0,0,0,90,50,0,20,20.2,19.3,14.0,5.4,1,0.023991357535123825,0.017339302226901054,0,0.023991357535123825,0.3701211810112,0.3527818918228149,1,0,0,0,0,0
57,Hugo Lloris,1,2019-08-10,3,0,1,0,0,0,3,0,0,0,90,55,0,13,21.4,0.0,0.0,2.1,0,0.0,0.0,0,0.0,0.056358423084020615,0.056358423084020615,0,0,0,0,0,0
58,Harry Winks,1,2019-08-10,2,0,1,0,0,0,0,0,0,0,63,55,0,14,10.8,29.6,1.0,4.1,2,0.017271440476179126,0.035564705729484565,0,0.017271440476179126,0.6305860280990601,0.6133146286010742,0,0,1,0,0,0
59,Harry Kane,1,2019-08-10,13,2,1,0,0,0,0,0,0,0,90,110,3,50,64.2,24.1,95.0,18.3,2,0.8326833844184875,0.11237815022468567,2,0.8326833844184875,1.483805775642395,0.5387442111968994,0,1,0,0,0,0
60,Georges-Kévin Nkoudou,1,2019-08-10,1,0,0,0,0,0,0,0,0,0,2,50,0,3,0.0,0.0,18.0,1.8,0,0.056358423084020615,0.0,0,0.056358423084020615,0.056358423084020615,0.0,0,0,1,0,0,0
61,Erik Lamela,1,2019-08-10,1,0,1,0,0,0,0,0,0,1,87,60,0,15,11.6,38.3,39.0,8.9,2,0.15064209699630735,0.049845322966575616,0,0.15064209699630735,0.8996770977973938,0.7634484767913818,0,0,1,0,0,0
62,Davinson Sánchez,1,2019-08-10,2,0,1,0,0,0,0,0,0,0,90,55,0,14,15.2,11.8,21.0,4.8,1,0.5040512084960938,0.03628891706466675,0,0.5040512084960938,0.3972543179988861,0.36096540093421936,1,0,0,0,0,0
63,Danny Rose,1,2019-08-10,2,0,1,0,0,0,0,0,0,0,90,55,0,13,15.2,53.0,2.0,7.0,4,0.0,0.3572874665260315,0,0.0,0.27945244312286377,0.27945244312286377,1,0,0,0,0,0
64,Christian Eriksen,1,2019-08-10,1,0,0,0,0,0,0,0,0,0,26,90,0,10,12.6,40.8,18.0,7.1,3,0.1838916689157486,0.5199683904647827,0,0.1838916689157486,0.2178429365158081,0.017339302226901054,0,0,1,0,0,0
