season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2008/09,55909,40,40,1,14,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2009/10,55909,40,40,16,868,0,0,0,18,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2010/11,55909,50,44,51,1086,0,1,5,12,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0
2011/12,55909,55,52,60,1297,1,0,6,14,0,0,0,1,0,0,2,0,0.0,0.0,0.0,0.0
2012/13,55909,55,45,47,1020,0,0,6,10,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0
2013/14,55909,55,46,79,1939,1,0,8,25,0,0,0,2,0,0,6,123,0.0,0.0,0.0,0.0
2014/15,55909,55,53,91,1878,4,0,5,24,0,0,0,1,1,0,11,457,0.0,0.0,0.0,0.0
2015/16,55909,60,66,135,3150,0,1,17,31,1,0,0,8,0,0,13,693,0.0,0.0,0.0,0.0
2016/17,55909,60,58,52,1217,1,1,4,16,0,0,0,0,0,0,1,282,342.6,36.1,95.0,47.4
2017/18,55909,55,57,123,2535,4,0,11,24,0,0,0,4,0,0,9,590,743.8,35.3,230.0,101.2
2018/19,55909,60,56,56,2127,1,0,4,36,1,0,0,1,0,0,3,335,453.4,31.0,176.0,66.0
2019/20,55909,55,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020/21,55909,50,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
