season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2006/07,42427,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2007/08,42427,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2008/09,42427,50,49,17,535,0,0,0,10,0,0,0,1,0,0,2,0,0.0,0.0,0.0,0.0
2009/10,42427,50,43,5,270,0,0,0,3,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
2010/11,42427,55,52,7,348,0,0,0,8,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
2011/12,42427,55,51,61,1249,1,0,6,13,0,0,0,1,0,0,7,0,0.0,0.0,0.0,0.0
2012/13,42427,55,53,93,2103,0,5,8,23,0,0,0,2,0,0,5,0,0.0,0.0,0.0,0.0
2013/14,42427,55,52,89,2056,0,1,10,21,0,0,0,2,1,0,5,130,0.0,0.0,0.0,0.0
2014/15,42427,55,52,76,1660,0,5,6,22,1,0,0,3,0,0,9,408,0.0,0.0,0.0,0.0
2015/16,42427,55,51,26,391,1,0,1,6,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0
2016/17,42427,50,47,45,702,0,1,6,3,0,0,0,3,0,0,3,201,142.4,171.4,117.0,43.1
2017/18,42427,50,50,86,2826,0,2,8,44,0,0,0,3,0,0,2,483,484.6,359.6,131.0,97.7
2020/21,42427,45,43,5,810,0,0,0,25,0,0,0,1,1,0,0,107,132.0,65.1,10.0,20.8
