name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
Aaron Connolly,FWD,Brighton,78,295,13,0,False,2021-04-04T18:30:00Z,2,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-387,22871,194,581
Aaron Cresswell,DEF,West Ham,435,298,20,1,False,2021-04-05T19:15:00Z,2,3,30,90,0,0,0,2,0,0,0,0,0,0,0,11,6.6,14.3,0.0,2.1,59,-7051,2332090,41567,48618
Aaron Mooy,MID,Brighton,60,295,13,0,False,2021-04-04T18:30:00Z,2,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-2,830,0,2
Aaron Ramsdale,GK,Sheffield Utd,483,293,10,4,False,2021-04-03T14:00:00Z,2,1,30,90,0,0,0,2,0,0,0,0,0,7,1,24,46.8,0.0,0.0,4.7,46,364,137851,2155,1791
Aaron Wan-Bissaka,DEF,Man Utd,313,295,3,2,True,2021-04-04T18:30:00Z,2,1,30,90,0,0,0,1,0,0,0,0,0,0,0,12,13.0,29.8,0.0,4.3,57,13584,1380844,36403,22819
Abdoulaye Doucouré,MID,Everton,512,292,6,0,True,2021-04-05T17:00:00Z,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-2664,53758,84,2748
Aboubakar Kamara,MID,Fulham,190,290,2,0,False,2021-04-04T15:30:00Z,3,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-11,3129,0,11
Adama Traoré,MID,Wolves,465,298,19,6,True,2021-04-05T19:15:00Z,2,3,30,90,0,1,0,3,0,0,0,0,0,0,1,25,30.0,18.0,19.0,6.7,60,-1184,392338,1148,2332
Adam Forshaw,MID,Leeds,199,293,15,0,True,2021-04-03T14:00:00Z,2,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,7,638,30,23
Adam Lallana,MID,Brighton,54,295,13,2,False,2021-04-04T18:30:00Z,2,1,30,87,0,0,0,2,0,0,0,0,0,0,0,11,13.0,1.4,2.0,1.6,62,-9375,35123,611,9986
Adam Webster,DEF,Brighton,66,295,13,0,False,2021-04-04T18:30:00Z,2,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-1811,71094,120,1931
Ademipo Odubeko,FWD,West Ham,638,298,20,0,False,2021-04-05T19:15:00Z,2,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-82,3371,210,292
Ademola Lookman,MID,Fulham,557,290,2,1,False,2021-04-04T15:30:00Z,3,1,30,46,0,0,0,0,0,0,0,0,0,0,0,3,3.4,16.8,0.0,2.0,51,-41693,257098,9694,51387
Adrien Silva,MID,Leicester,220,294,12,0,True,2021-04-03T16:30:00Z,0,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-38,16620,0,38
Adrián Bernabé,MID,Man City,537,294,9,0,False,2021-04-03T16:30:00Z,0,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1,997,11,12
Adrián San Miguel del Castillo,GK,Liverpool,245,289,1,0,False,2021-04-03T19:00:00Z,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-80,29179,405,485
Ahmed El-Sayed Hegazy,DEF,West Brom,414,291,5,0,False,2021-04-03T11:30:00Z,2,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,-41,9869,0,41
Ahmed El Mohamady,DEF,Aston Villa,29,290,8,0,True,2021-04-04T15:30:00Z,3,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-3273,34226,591,3864
Ainsley Maitland-Niles,DEF,West Brom,15,291,5,1,False,2021-04-03T11:30:00Z,2,5,30,90,0,0,0,2,0,0,0,0,0,0,0,6,16.2,1.0,1.0,1.8,46,-1362,69727,860,2222
Albian Ajeti,FWD,West Ham,447,298,20,0,False,2021-04-05T19:15:00Z,2,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-3,505,0,3
Aleksandar Mitrović,FWD,Fulham,184,290,2,8,False,2021-04-04T15:30:00Z,3,1,30,90,1,0,0,3,0,0,0,0,0,0,2,31,45.6,13.9,62.0,12.2,55,-2482,271987,2250,4732
Alex Nicolao Telles,DEF,Man Utd,568,295,3,0,True,2021-04-04T18:30:00Z,2,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-477,43127,113,590
Alexandre Jankewitz,MID,Southampton,643,297,4,0,True,2021-04-04T11:00:00Z,3,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,30,604,75,45
