name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
Aaron Connolly,FWD,Brighton,78,7,5,1,True,2020-09-14T19:15:00Z,1,3,1,45,0,0,0,2,0,0,0,0,0,0,0,-3,1.2,0.3,32.0,3.4,55,0,32205,0,0
Aaron Cresswell,DEF,West Ham,435,6,14,1,True,2020-09-12T19:00:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,11,10.4,11.2,0.0,2.2,50,0,70232,0,0
Aaron Mooy,MID,Brighton,60,7,5,0,True,2020-09-14T19:15:00Z,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,2010,0,0
Aaron Ramsdale,GK,Sheffield Utd,483,8,20,1,True,2020-09-14T17:00:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,2,0,12,18.2,0.0,0.0,1.8,50,0,462939,0,0
Abdoulaye Doucouré,MID,Everton,512,4,17,3,False,2020-09-13T15:30:00Z,0,1,1,90,0,0,1,0,0,0,0,0,0,0,0,20,20.4,44.6,4.0,6.9,55,0,143040,0,0
Aboubakar Kamara,MID,Fulham,190,2,1,2,True,2020-09-12T11:30:00Z,0,3,1,62,0,0,0,3,0,0,0,0,0,0,0,-2,0.0,1.8,5.0,0.2,50,0,6711,0,0
Adama Traoré,MID,Wolves,465,8,15,3,False,2020-09-14T17:00:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,0,0,6,12.8,1.8,17.0,3.2,65,0,1189095,0,0
Adam Forshaw,MID,Leeds,199,3,11,0,False,2020-09-12T16:30:00Z,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,2009,0,0
Adam Lallana,MID,Brighton,54,7,5,1,True,2020-09-14T19:15:00Z,1,3,1,44,0,0,0,1,0,0,0,0,0,0,0,6,6.8,27.2,2.0,3.6,65,0,78657,0,0
Adam Webster,DEF,Brighton,66,7,5,1,True,2020-09-14T19:15:00Z,1,3,1,90,0,0,0,3,0,0,0,0,0,0,0,14,14.8,11.8,1.0,2.8,45,0,187445,0,0
Adrien Silva,MID,Leicester,220,5,18,0,False,2020-09-13T13:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,39204,0,0
Adrián San Miguel del Castillo,GK,Liverpool,245,3,10,0,True,2020-09-12T16:30:00Z,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,18419,0,0
Ahmed El-Sayed Hegazy,DEF,West Brom,414,5,9,0,True,2020-09-13T13:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,74895,0,0
Ainsley Maitland-Niles,DEF,Arsenal,15,2,8,6,False,2020-09-12T11:30:00Z,0,3,1,90,0,0,1,0,0,0,0,0,0,0,0,21,10.2,2.8,4.0,1.7,50,0,112927,0,0
Albian Ajeti,FWD,West Ham,447,6,14,0,True,2020-09-12T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,409,0,0
Aleksandar Mitrović,FWD,Fulham,184,2,1,1,True,2020-09-12T11:30:00Z,0,3,1,27,0,0,0,0,0,0,0,0,0,0,0,3,3.0,0.3,7.0,1.0,60,0,1435176,0,0
Alexandre Lacazette,FWD,Arsenal,6,2,8,7,False,2020-09-12T11:30:00Z,0,3,1,86,1,0,1,0,0,0,0,0,0,0,1,29,38.6,12.7,48.0,9.9,85,0,196064,0,0
Alexis Mac Allister,MID,Brighton,80,7,5,0,True,2020-09-14T19:15:00Z,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,3939,0,0
Alex Iwobi,MID,Everton,159,4,17,0,False,2020-09-13T15:30:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,10789,0,0
Alex McCarthy,GK,Southampton,363,1,6,2,False,2020-09-12T14:00:00Z,1,0,1,90,0,0,0,1,0,0,0,0,0,2,0,17,22.6,0.0,0.0,2.3,45,0,1400435,0,0
Alex Oxlade-Chamberlain,MID,Liverpool,248,3,10,0,True,2020-09-12T16:30:00Z,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,0,3207,0,0
Alfie Mawson,DEF,Fulham,185,2,1,0,True,2020-09-12T11:30:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,1789,0,0
Alireza Jahanbakhsh,MID,Brighton,71,7,5,1,True,2020-09-14T19:15:00Z,1,3,1,11,0,0,0,0,0,0,0,0,0,0,0,3,4.4,0.7,0.0,0.5,55,0,3104,0,0
Alisson Ramses Becker,GK,Liverpool,252,3,10,1,True,2020-09-12T16:30:00Z,4,3,1,90,0,0,0,3,0,0,0,0,0,0,0,9,3.8,0.0,0.0,0.4,60,0,721549,0,0
Allan Marques Loureiro,MID,Everton,502,4,17,3,False,2020-09-13T15:30:00Z,0,1,1,90,0,0,1,0,0,0,0,0,0,0,0,16,18.0,3.4,0.0,2.1,55,0,75335,0,0
Allan Saint-Maximin,MID,Newcastle,338,6,19,3,False,2020-09-12T19:00:00Z,0,2,1,74,0,0,1,0,0,0,0,0,0,0,0,7,3.8,2.8,5.0,1.2,55,0,1361562,0,0
Alphonse Areola,GK,Fulham,516,2,1,0,True,2020-09-12T11:30:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,71203,0,0
Andreas Christensen,DEF,Chelsea,116,7,3,2,False,2020-09-14T19:15:00Z,1,3,1,90,0,0,0,1,0,0,0,0,0,0,0,14,17.8,0.7,2.0,2.1,50,0,17362,0,0
Andrew Robertson,DEF,Liverpool,255,3,10,4,True,2020-09-12T16:30:00Z,4,3,1,90,0,1,0,3,0,0,0,0,0,0,0,20,23.4,19.6,4.0,4.7,70,0,766431,0,0
Andriy Yarmolenko,MID,West Ham,436,6,14,0,True,2020-09-12T19:00:00Z,0,2,1,23,0,0,0,1,0,0,0,1,0,0,0,-1,2.8,1.6,26.0,3.0,60,0,14140,0,0
Andros Townsend,MID,Crystal Palace,137,1,16,8,True,2020-09-12T14:00:00Z,1,0,1,90,0,1,1,0,0,0,0,0,0,0,2,26,28.4,33.7,2.0,6.4,60,0,16534,0,0
André Filipe Tavares Gomes,MID,Everton,158,4,17,3,False,2020-09-13T15:30:00Z,0,1,1,67,0,0,1,0,0,0,0,0,0,0,0,11,3.8,3.3,20.0,2.7,55,0,21001,0,0
André-Frank Zambo Anguissa,MID,Fulham,191,2,1,1,True,2020-09-12T11:30:00Z,0,3,1,27,0,0,0,0,0,0,0,0,0,0,0,4,14.4,11.8,0.0,2.6,45,0,50068,0,0
Andy Carroll,FWD,Newcastle,320,6,19,2,False,2020-09-12T19:00:00Z,0,2,1,87,0,0,1,0,0,0,0,0,0,0,0,3,7.0,14.0,48.0,6.9,55,0,21822,0,0
Angelo Ogbonna,DEF,West Ham,432,6,14,1,True,2020-09-12T19:00:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,14,30.0,1.1,6.0,3.7,50,0,25125,0,0
Angus Gunn,GK,Southampton,371,1,6,0,False,2020-09-12T14:00:00Z,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,19987,0,0
Anthony Gordon,MID,Everton,168,4,17,0,False,2020-09-13T15:30:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,49378,0,0
