name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
Aaron Connolly,FWD,Brighton,78,326,15,1,False,2021-04-24T19:00:00Z,1,0,33,23,0,0,0,0,0,0,0,0,0,0,0,5,2.2,0.0,8.0,1.0,52,-3,22131,181,184
Aaron Cresswell,DEF,West Ham,435,327,5,0,True,2021-04-24T16:30:00Z,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-306185,1702499,2650,308835
Aaron Mooy,MID,Brighton,60,326,15,0,False,2021-04-24T19:00:00Z,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,827,0,0
Aaron Ramsdale,GK,Sheffield Utd,483,326,3,9,True,2021-04-24T19:00:00Z,1,0,33,90,0,0,1,0,0,0,0,0,0,4,2,27,30.4,0.0,0.0,3.0,46,1095,140269,3317,2222
Aaron Wan-Bissaka,DEF,Man Utd,313,322,10,9,False,2021-04-25T13:00:00Z,0,0,33,90,0,0,1,0,0,0,0,0,0,0,3,33,29.2,13.2,0.0,4.2,57,490,1395640,38909,38419
Abdoulaye Doucouré,MID,Everton,512,319,1,0,False,2021-04-23T19:00:00Z,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-561,50738,16,577
Adama Traoré,MID,Wolves,465,328,4,1,True,2021-04-25T11:00:00Z,0,4,33,90,0,0,0,4,0,0,0,1,0,0,0,5,6.6,33.8,24.0,6.4,60,58381,510392,65661,7280
Adam Forshaw,MID,Leeds,199,322,13,0,True,2021-04-25T13:00:00Z,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-1,620,16,17
Adam Lallana,MID,Brighton,54,326,15,2,False,2021-04-24T19:00:00Z,1,0,33,90,0,0,0,1,0,0,0,0,0,0,0,13,7.8,17.3,21.0,4.6,62,659,30792,1652,993
Adam Webster,DEF,Brighton,66,326,15,2,False,2021-04-24T19:00:00Z,1,0,33,90,0,0,0,1,0,0,0,0,0,0,0,14,22.6,1.6,2.0,2.6,43,5399,75663,6019,620
