,Feature
0,goals_scored
1,goals_conceded
2,assists
3,clean_sheets
4,penalties_saved
5,penalties_missed
6,saves
7,own_goals
8,red_cards
9,yellow_cards
10,minutes
11,value
12,bonus
13,bps
14,influence
15,creativity
16,threat
17,ict_index
18,shots
19,key_passes
20,xG
21,xA
22,npxG
23,xGChain
24,xGBuildup
25,position_MID
26,team_h_Newcastle
27,position_DEF
28,team_h_Manchester City
29,npg
31,team_a_strength_attack
32,position_FWD
33,position_GK
