,Feature
0,goals_scored
1,goals_conceded
2,assists
3,clean_sheets
4,penalties_saved
5,saves
6,own_goals
7,red_cards
8,yellow_cards
9,minutes
10,value
11,bonus
12,bps
13,influence
14,creativity
15,threat
16,ict_index
17,key_passes
18,xG
19,xA
20,npg
21,npxG
22,xGChain
23,xGBuildup
24,position_FWD
25,team_h_Manchester City
26,team_h_Newcastle
27,team_h_Arsenal
28,selected
29,penalties_missed
30,position_DEF
31,position_MID
32,position_GK
33,team_h_strength_attack
34,team_a_difficulty
35,team_h_Everton
36,team_h_Liverpool
37,team_h_Tottenham
38,team_h_West Ham
