season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2015/16,128389,65,61,103,2117,9,4,4,43,0,0,0,4,2,0,10,301,0.0,0.0,0.0,0.0
2017/18,128389,50,47,10,89,1,0,0,0,0,0,0,0,0,0,0,37,48.2,44.7,73.0,16.6
2018/19,128389,65,63,134,3280,11,4,5,78,0,0,0,7,0,0,12,350,638.8,499.5,1593.0,273.4
2020/21,128389,60,55,63,1389,3,3,1,24,0,0,1,3,0,0,7,178,245.6,323.8,697.0,124.9
