name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Aaron Connolly,FWD,Brighton,0,0,-5,0,1.3,534,115,2,0,0.3,0.0,2019-11-10T14:00:00Z,45,12,0,0,0,0,12,0,246255,1,3,4.0,1,-10884,18973,29857,47,False,0
Aaron Cresswell,DEF,West Ham,0,0,10,0,13.5,376,111,3,0,5.1,15.0,2019-11-09T15:00:00Z,90,5,0,0,0,0,12,0,120953,0,3,22.0,1,-18203,1960,20163,49,False,0
Aaron Lennon,MID,Burnley,0,0,0,0,0.0,430,111,0,0,0.0,0.0,2019-11-09T15:00:00Z,0,19,0,0,0,0,12,0,6749,0,3,0.0,0,-105,128,233,47,True,0
Aaron Mooy,MID,Brighton,0,0,0,0,0.0,516,115,0,0,0.0,0.0,2019-11-10T14:00:00Z,0,12,0,0,0,0,12,0,10811,1,3,0.0,0,-284,276,560,48,False,0
Aaron Ramsdale,GK,Bournemouth,0,1,23,0,0.0,494,116,2,0,4.4,44.2,2019-11-09T15:00:00Z,90,13,0,0,0,0,12,7,249480,1,2,0.0,4,124055,128192,4137,46,False,0
Aaron Wan-Bissaka,DEF,Man Utd,0,0,14,0,12.2,122,115,1,0,4.1,23.0,2019-11-10T14:00:00Z,90,4,0,0,0,0,12,0,1206868,1,3,6.0,2,-25546,24488,50034,54,True,0
Abdoulaye Doucouré,MID,Watford,0,0,18,1,2.8,368,117,0,0,5.1,16.0,2019-11-08T20:00:00Z,90,14,0,0,0,0,12,0,73521,2,0,32.0,3,2550,5533,2983,57,False,0
Adama Traoré,MID,Wolves,1,0,26,0,18.8,417,120,1,0,6.1,30.2,2019-11-10T14:00:00Z,90,2,0,0,0,0,12,0,305096,1,2,12.0,5,37799,60034,22235,51,True,0
Adam Idah,FWD,Norwich,0,0,0,0,0.0,538,117,0,0,0.0,0.0,2019-11-08T20:00:00Z,0,18,0,0,0,0,12,0,7398,2,0,0.0,0,-344,343,687,45,True,0
Adam Lallana,MID,Liverpool,0,0,0,0,0.0,195,114,0,0,0.0,0.0,2019-11-10T16:30:00Z,0,11,0,0,0,0,12,0,8813,1,3,0.0,0,176,477,301,58,True,0
Adam Masina,DEF,Watford,0,0,-1,0,0.0,355,117,0,0,0.0,0.0,2019-11-08T20:00:00Z,2,14,0,0,0,0,12,0,4500,2,0,0.0,0,12,129,117,43,False,1
Adam Smith,DEF,Bournemouth,0,0,12,0,11.9,63,116,2,0,2.8,16.0,2019-11-09T15:00:00Z,77,13,0,0,0,0,12,0,53525,1,2,0.0,1,17200,19236,2036,43,False,0
Adam Webster,DEF,Brighton,0,0,0,0,0.0,493,115,0,0,0.0,0.0,2019-11-10T14:00:00Z,0,12,0,0,0,0,12,0,14386,1,3,0.0,0,-4211,102,4313,44,False,0
Addji Keaninkin Marc-Israel Guehi,DEF,Chelsea,0,0,0,0,0.0,545,112,0,0,0.0,0.0,2019-11-09T12:30:00Z,0,7,0,0,0,0,12,0,4853,0,2,0.0,0,-32,384,416,40,True,0
Ademola Lookman,MID,Everton,0,0,0,0,0.0,155,118,0,0,0.0,0.0,2019-11-09T15:00:00Z,0,16,0,0,0,0,12,0,455,2,1,0.0,0,-3,8,11,50,False,0
Adrian Mariappa,DEF,Watford,0,0,5,0,0.0,356,117,0,0,0.7,7.2,2019-11-08T20:00:00Z,20,14,0,0,0,0,12,0,10360,2,0,0.0,1,-173,143,316,42,False,0
Adrián San Miguel del Castillo,GK,Liverpool,0,0,0,0,0.0,526,114,0,0,0.0,0.0,2019-11-10T16:30:00Z,0,11,0,0,0,0,12,0,215693,1,3,0.0,0,-29865,1028,30893,43,True,0
Ahmed El Mohamady,DEF,Aston Villa,0,0,0,0,0.0,22,120,0,0,0.0,0.0,2019-11-10T14:00:00Z,0,20,0,0,0,0,12,0,68227,1,2,0.0,0,-1177,2221,3398,42,False,0
Ainsley Maitland-Niles,DEF,Arsenal,0,0,0,0,0.0,4,113,0,0,0.0,0.0,2019-11-09T17:30:00Z,0,9,0,0,0,0,12,0,238898,0,2,0.0,0,-25155,515,25670,48,False,0
Akin Famewo,DEF,Norwich,0,0,0,0,0.0,552,117,0,0,0.0,0.0,2019-11-08T20:00:00Z,0,18,0,0,0,0,12,0,3287,2,0,0.0,0,48,306,258,40,True,0
Albian Ajeti,FWD,West Ham,0,0,2,0,0.8,514,111,0,0,0.2,0.0,2019-11-09T15:00:00Z,26,5,0,0,0,0,12,0,2539,0,3,2.0,1,-45,34,79,58,False,0
Alexander Tettey,MID,Norwich,0,0,13,0,3.3,289,117,2,0,1.7,7.6,2019-11-08T20:00:00Z,90,18,0,0,0,0,12,0,12087,2,0,6.0,2,31,316,285,45,True,0
Alexandre Nascimento Costa Silva,FWD,West Ham,0,0,0,0,0.0,387,111,0,0,0.0,0.0,2019-11-09T15:00:00Z,0,5,0,0,0,0,12,0,75941,0,3,0.0,0,-3407,292,3699,44,False,0
Alexandre Lacazette,FWD,Arsenal,0,0,3,0,2.3,12,113,2,0,5.8,4.6,2019-11-09T17:30:00Z,90,9,0,0,0,0,12,0,117840,0,2,51.0,2,-751,4637,5388,93,False,0
Alexis Sánchez,MID,Man Utd,0,0,0,0,0.0,240,115,0,0,0.0,0.0,2019-11-10T14:00:00Z,0,4,0,0,0,0,12,0,29609,1,3,0.0,0,-222,22,244,68,True,0
Alex Iwobi,MID,Everton,0,0,7,0,13.9,17,118,0,0,4.9,8.4,2019-11-09T15:00:00Z,16,16,0,0,0,0,12,0,96210,2,1,27.0,1,-2019,3006,5025,58,False,0
