name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Aaron Connolly,FWD,Brighton,0,0,0,0,0.0,534,153,0,0,0.0,0.0,2019-12-08T16:30:00Z,0,20,0,0,0,0,16,0,169256,2,2,0.0,0,-10984,8128,19112,47,True,0
Aaron Cresswell,DEF,West Ham,0,0,1,0,2.5,376,160,0,0,1.6,13.8,2019-12-09T20:00:00Z,50,1,0,0,0,0,16,0,109020,3,1,0.0,0,5190,10957,5767,47,True,1
Aaron Lennon,MID,Burnley,0,0,2,0,0.7,430,158,1,0,0.0,0.0,2019-12-07T15:00:00Z,19,17,0,0,0,0,16,0,6623,0,5,0.0,1,-44,105,149,47,False,0
Aaron Mooy,MID,Brighton,0,0,10,0,4.5,516,153,2,0,1.8,5.2,2019-12-08T16:30:00Z,90,20,0,0,0,0,16,0,11977,2,2,8.0,2,1453,1766,313,48,True,0
Aaron Ramsdale,GK,Bournemouth,0,0,22,0,0.0,494,152,3,0,4.3,42.8,2019-12-07T15:00:00Z,90,10,0,0,0,0,16,6,281640,3,0,0.0,3,-19647,4975,24622,46,True,0
Aaron Wan-Bissaka,DEF,Man Utd,0,1,24,0,10.9,122,155,1,0,5.2,41.4,2019-12-07T17:30:00Z,90,11,0,0,0,0,16,0,1032199,2,1,0.0,3,-37726,4386,42112,53,False,0
Abdoulaye Doucouré,MID,Watford,0,0,7,1,2.6,368,159,0,0,2.9,7.8,2019-12-07T15:00:00Z,77,7,0,0,0,0,16,0,66944,0,0,19.0,2,-2556,576,3132,57,True,1
Adama Traoré,MID,Wolves,0,0,18,0,3.4,417,153,2,0,6.7,14.0,2019-12-08T16:30:00Z,90,4,0,0,0,0,16,0,342825,2,2,50.0,2,-10788,17359,28147,52,False,0
Adam Idah,FWD,Norwich,0,0,0,0,0.0,538,157,0,0,0.0,0.0,2019-12-08T14:00:00Z,0,15,0,0,0,0,16,0,7191,2,1,0.0,0,-218,133,351,45,True,0
Adam Lallana,MID,Liverpool,0,0,0,0,0.0,195,152,0,0,0.0,0.0,2019-12-07T15:00:00Z,0,3,0,0,0,0,16,0,8896,3,0,0.0,0,-56,121,177,58,False,0
Adam Masina,DEF,Watford,0,0,19,1,12.1,355,159,0,0,2.9,12.4,2019-12-07T15:00:00Z,90,7,0,0,0,0,16,0,4540,0,0,4.0,6,14,109,95,43,True,0
Adam Smith,DEF,Bournemouth,0,0,0,0,0.0,63,152,0,0,0.0,0.0,2019-12-07T15:00:00Z,0,10,0,0,0,0,16,0,56868,3,0,0.0,0,-7960,185,8145,43,True,0
Adam Webster,DEF,Brighton,0,0,15,0,1.7,493,153,2,0,2.1,17.2,2019-12-08T16:30:00Z,90,20,0,0,0,0,16,0,13193,2,2,2.0,1,1550,1888,338,44,True,0
Addji Keaninkin Marc-Israel Guehi,DEF,Chelsea,0,0,0,0,0.0,545,154,0,0,0.0,0.0,2019-12-07T12:30:00Z,0,8,0,0,0,0,16,0,6210,1,3,0.0,0,48,315,267,40,False,0
Ademola Lookman,MID,Everton,0,0,0,0,0.0,155,154,0,0,0.0,0.0,2019-12-07T12:30:00Z,0,6,0,0,0,0,16,0,455,1,3,0.0,0,-5,3,8,50,True,0
Adrian Mariappa,DEF,Watford,0,0,0,0,0.0,356,159,0,0,0.0,0.0,2019-12-07T15:00:00Z,0,7,0,0,0,0,16,0,10751,0,0,0.0,0,31,312,281,42,True,0
Adrián San Miguel del Castillo,GK,Liverpool,0,0,0,0,0.0,526,152,0,0,0.0,0.0,2019-12-07T15:00:00Z,0,3,0,0,0,0,16,0,199168,3,0,0.0,0,-6905,5209,12114,42,False,0
Ahmed El Mohamady,DEF,Aston Villa,0,0,15,0,30.8,22,151,4,0,7.1,21.8,2019-12-08T14:00:00Z,90,9,0,0,0,0,16,0,66258,4,1,18.0,0,2064,3446,1382,42,True,0
Ainsley Maitland-Niles,DEF,Arsenal,0,0,14,0,1.8,4,160,1,0,2.2,18.6,2019-12-09T20:00:00Z,90,19,0,0,0,0,16,0,192015,3,1,2.0,2,-8317,192,8509,46,False,0
Akin Famewo,DEF,Norwich,0,0,0,0,0.0,552,157,0,0,0.0,0.0,2019-12-08T14:00:00Z,0,15,0,0,0,0,16,0,4510,2,1,0.0,0,54,250,196,40,True,0
