name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Aaron Connolly,FWD,Brighton,0,0,2,1,5.8,534,104,0,0,4.8,0.0,2019-11-02T15:00:00Z,85,14,0,0,0,0,11,0,263242,0,2,46.0,2,109148,118970,9822,46,True,0
Aaron Cresswell,DEF,West Ham,0,0,11,0,7.8,376,110,3,0,1.9,7.4,2019-11-02T15:00:00Z,90,13,0,0,0,0,11,0,140056,3,2,4.0,0,2389,11799,9410,49,True,1
Aaron Lennon,MID,Burnley,0,0,0,0,0.0,430,108,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,15,0,0,0,0,11,0,6786,0,3,0.0,0,-206,131,337,48,False,0
Aaron Mooy,MID,Brighton,0,0,0,0,0.0,516,104,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,14,0,0,0,0,11,0,11065,0,2,0.0,0,-214,519,733,48,True,0
Aaron Ramsdale,GK,Bournemouth,0,2,29,1,0.0,494,103,0,0,2.0,19.6,2019-11-02T12:30:00Z,90,12,0,0,0,0,11,4,108434,0,1,0.0,9,16805,22278,5473,45,True,0
Aaron Wan-Bissaka,DEF,Man Utd,0,0,16,0,2.8,122,103,1,0,2.0,17.2,2019-11-02T12:30:00Z,80,3,0,0,0,0,11,0,1223982,0,1,0.0,2,-6567,36330,42897,54,False,0
Abdoulaye Doucouré,MID,Watford,0,0,19,0,29.2,368,109,2,0,7.2,19.0,2019-11-02T17:30:00Z,90,6,0,0,0,0,11,0,69812,2,1,24.0,2,-2456,2193,4649,57,True,0
Adama Traoré,MID,Wolves,0,0,3,0,27.3,417,101,1,0,4.3,9.8,2019-11-02T15:00:00Z,90,1,0,0,0,0,11,0,260912,1,1,6.0,2,144,38894,38750,51,False,0
Adam Idah,FWD,Norwich,0,0,0,0,0.0,538,104,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,4,0,0,0,0,11,0,7611,0,2,0.0,0,13,802,789,45,False,0
Adam Lallana,MID,Liverpool,0,0,15,0,40.8,195,102,1,0,7.7,21.8,2019-11-02T15:00:00Z,83,2,0,0,0,0,11,0,8428,2,1,14.0,2,50,428,378,58,False,0
Adam Masina,DEF,Watford,0,0,6,0,10.3,355,109,2,0,3.1,15.4,2019-11-02T17:30:00Z,90,6,0,0,0,0,11,0,4428,2,1,5.0,1,92,164,72,43,True,0
Adam Smith,DEF,Bournemouth,1,3,38,1,30.3,63,103,0,0,6.7,32.2,2019-11-02T12:30:00Z,90,12,0,0,0,0,11,0,34048,0,1,4.0,12,1555,2453,898,43,True,0
Adam Webster,DEF,Brighton,0,0,12,0,0.4,493,104,0,0,0.6,5.2,2019-11-02T15:00:00Z,35,14,0,0,0,0,11,0,18946,0,2,0.0,1,1035,2672,1637,44,True,0
Addji Keaninkin Marc-Israel Guehi,DEF,Chelsea,0,0,0,0,0.0,545,109,0,0,0.0,0.0,2019-11-02T17:30:00Z,0,18,0,0,0,0,11,0,4530,2,1,0.0,0,302,723,421,40,False,0
Ademola Lookman,MID,Everton,0,0,0,0,0.0,155,106,0,0,0.0,0.0,2019-11-03T16:30:00Z,0,17,0,0,0,0,11,0,458,1,1,0.0,0,-1,8,9,50,True,0
Adrian Mariappa,DEF,Watford,0,0,5,0,0.4,356,109,1,0,1.3,8.2,2019-11-02T17:30:00Z,70,6,0,0,0,0,11,0,10416,2,1,4.0,1,-295,118,413,43,True,1
Adrián San Miguel del Castillo,GK,Liverpool,0,0,0,0,0.0,526,102,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,2,0,0,0,0,11,0,244645,2,1,0.0,0,-60248,1451,61699,44,False,0
Ahmed El Mohamady,DEF,Aston Villa,0,0,6,0,0.1,22,102,2,0,1.0,9.6,2019-11-02T15:00:00Z,21,10,0,0,0,0,11,0,68834,2,1,0.0,0,-2656,1644,4300,42,True,0
Ainsley Maitland-Niles,DEF,Arsenal,0,0,0,0,0.0,4,101,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,20,0,0,0,0,11,0,263873,1,1,0.0,0,-33655,1268,34923,48,True,0
