name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Aaron Connolly,FWD,Brighton,0,0,-1,0,0.6,534,202,0,0,3.3,3.4,2020-01-01T12:30:00Z,45,6,0,0,0,0,21,0,107436,1,1,29.0,1,-9091,6408,15499,45,True,0
Aaron Cresswell,DEF,West Ham,0,0,19,1,23.1,376,210,0,0,4.1,12.4,2020-01-01T17:30:00Z,90,3,0,0,0,0,21,0,98231,0,4,5.0,5,5093,13662,8569,47,True,1
Aaron Lennon,MID,Burnley,0,0,0,0,0.0,430,203,0,0,0.0,0.0,2020-01-01T12:30:00Z,0,2,0,0,0,0,21,0,6090,2,1,0.0,0,-193,14,207,47,True,0
Aaron Mooy,MID,Brighton,0,0,11,0,31.3,516,202,1,0,4.9,15.6,2020-01-01T12:30:00Z,67,6,0,0,0,0,21,0,44402,1,1,2.0,2,26177,31047,4870,48,True,0
Aaron Ramsdale,GK,Bournemouth,0,0,17,0,0.0,494,210,4,0,2.9,28.8,2020-01-01T17:30:00Z,90,19,0,0,0,0,21,3,448315,0,4,0.0,1,11457,36678,25221,47,False,0
Aaron Wan-Bissaka,DEF,Man Utd,0,0,15,0,6.3,122,201,2,0,2.5,14.8,2020-01-01T20:00:00Z,90,1,0,0,0,0,21,0,1058567,0,2,4.0,1,-24185,12912,37097,53,False,0
Abdoulaye Doucouré,MID,Watford,0,2,31,0,24.4,368,209,1,1,9.7,53.4,2020-01-01T15:00:00Z,90,20,0,0,0,0,21,0,64706,1,2,19.0,9,2740,4527,1787,56,True,0
Adama Traoré,MID,Wolves,0,0,16,0,32.5,417,209,2,0,6.2,21.4,2020-01-01T15:00:00Z,90,18,0,0,0,0,21,0,1152382,1,2,8.0,2,470452,502389,31937,56,False,0
Adam Idah,FWD,Norwich,0,0,3,0,0.0,538,207,0,0,0.0,0.0,2020-01-01T17:30:00Z,1,7,0,0,0,0,21,0,7975,1,1,0.0,1,-59,454,513,44,True,0
Adam Lallana,MID,Liverpool,0,0,3,0,0.0,195,204,0,0,0.0,0.0,2020-01-02T20:00:00Z,2,15,0,0,0,0,21,0,9097,0,2,0.0,1,256,432,176,58,True,0
Adam Masina,DEF,Watford,0,0,7,0,0.5,355,209,0,0,1.5,14.4,2020-01-01T15:00:00Z,17,20,0,0,0,0,21,0,4409,1,2,0.0,1,-18,74,92,43,True,0
Adam Smith,DEF,Bournemouth,0,0,0,0,0.0,63,210,0,0,0.0,0.0,2020-01-01T17:30:00Z,0,19,0,0,0,0,21,0,33481,0,4,0.0,0,-2730,35,2765,43,False,0
Adam Webster,DEF,Brighton,0,0,12,0,0.6,493,202,1,0,5.6,33.6,2020-01-01T12:30:00Z,90,6,0,0,0,0,21,0,42206,1,1,22.0,2,-967,8579,9546,44,True,0
Addji Keaninkin Marc-Israel Guehi,DEF,Chelsea,0,0,0,0,0.0,545,202,0,0,0.0,0.0,2020-01-01T12:30:00Z,0,4,0,0,0,0,21,0,7223,1,1,0.0,0,-135,189,324,40,False,0
Ademola Lookman,MID,Everton,0,0,0,0,0.0,155,205,0,0,0.0,0.0,2020-01-01T17:30:00Z,0,11,0,0,0,0,21,0,462,1,2,0.0,0,-6,9,15,50,False,0
Adrian Mariappa,DEF,Watford,0,0,0,0,0.0,356,209,0,0,0.0,0.0,2020-01-01T15:00:00Z,0,20,0,0,0,0,21,0,11316,1,2,0.0,0,-1657,141,1798,42,True,0
Adrián San Miguel del Castillo,GK,Liverpool,0,0,0,0,0.0,526,204,0,0,0.0,0.0,2020-01-02T20:00:00Z,0,15,0,0,0,0,21,0,165026,0,2,0.0,0,-4852,3073,7925,41,True,0
Ahmed El Mohamady,DEF,Aston Villa,0,0,0,0,0.0,22,203,0,0,0.0,0.0,2020-01-01T12:30:00Z,0,5,0,0,0,0,21,0,73195,2,1,0.0,0,55,3485,3430,42,False,0
Ainsley Maitland-Niles,DEF,Arsenal,0,0,27,1,2.3,4,201,0,0,2.5,20.8,2020-01-01T20:00:00Z,90,12,0,0,0,0,21,0,182736,0,2,2.0,6,-1803,3744,5547,46,True,0
Akin Famewo,DEF,Norwich,0,0,0,0,0.0,552,207,0,0,0.0,0.0,2020-01-01T17:30:00Z,0,7,0,0,0,0,21,0,5354,1,1,0.0,0,-145,121,266,40,True,0
Albian Ajeti,FWD,West Ham,0,0,0,0,0.0,514,210,0,0,0.0,0.0,2020-01-01T17:30:00Z,0,3,0,0,0,0,21,0,2531,0,4,0.0,0,-6,40,46,57,True,0
Alexander Tettey,MID,Norwich,0,0,14,0,3.1,289,207,1,0,1.8,7.2,2020-01-01T17:30:00Z,90,7,0,0,0,0,21,0,29193,1,1,8.0,1,2600,5758,3158,45,True,1
Alexandre Nascimento Costa Silva,FWD,West Ham,0,0,0,0,0.0,387,210,0,0,0.0,0.0,2020-01-01T17:30:00Z,0,3,0,0,0,0,21,0,66133,0,4,0.0,0,-679,1905,2584,43,True,0
Alexandre Lacazette,FWD,Arsenal,0,0,6,1,26.8,12,201,0,0,8.8,10.8,2020-01-01T20:00:00Z,81,12,0,0,0,0,21,0,114259,0,2,50.0,2,-3131,1847,4978,93,True,0
Alexis Sánchez,MID,Man Utd,0,0,0,0,0.0,240,201,0,0,0.0,0.0,2020-01-01T20:00:00Z,0,1,0,0,0,0,21,0,28749,0,2,0.0,0,-86,36,122,68,False,0
Alex Iwobi,MID,Everton,0,0,0,0,0.0,17,205,0,0,0.0,0.0,2020-01-01T17:30:00Z,0,11,0,0,0,0,21,0,72509,1,2,0.0,0,-3342,29,3371,56,False,0
Alex McCarthy,GK,Southampton,0,1,31,1,0.0,318,208,0,0,3.4,33.8,2020-01-01T15:00:00Z,90,17,0,0,0,0,21,5,72480,0,1,0.0,8,11525,17912,6387,43,True,0
Alex Oxlade-Chamberlain,MID,Liverpool,0,0,0,0,0.0,193,204,0,0,0.0,0.0,2020-01-02T20:00:00Z,0,15,0,0,0,0,21,0,28673,0,2,0.0,0,-3165,36,3201,62,True,0
Alfie Whiteman,GK,Spurs,0,0,0,0,0.0,543,208,0,0,0.0,0.0,2020-01-01T15:00:00Z,0,16,0,0,0,0,21,0,37868,0,1,0.0,0,1620,2848,1228,40,False,0
Alireza Jahanbakhsh,MID,Brighton,0,2,28,0,31.6,50,202,0,1,9.0,36.4,2020-01-01T12:30:00Z,22,6,0,0,0,0,21,0,5316,1,1,22.0,8,489,635,146,58,True,0
Alisson Ramses Becker,GK,Liverpool,0,0,25,1,0.0,189,204,0,0,1.7,17.4,2020-01-02T20:00:00Z,90,15,0,0,0,0,21,2,620105,0,2,0.0,6,23868,34721,10853,60,True,0
Allan Saint-Maximin,MID,Newcastle,0,0,0,0,0.0,500,206,0,0,0.0,0.0,2020-01-01T15:00:00Z,0,9,0,0,0,0,21,0,18524,3,0,0.0,0,-1372,73,1445,54,True,0
Andreas Christensen,DEF,Chelsea,0,0,0,0,0.0,108,202,0,0,0.0,0.0,2020-01-01T12:30:00Z,0,4,0,0,0,0,21,0,41826,1,1,0.0,0,-502,279,781,49,False,0
Andreas Pereira,MID,Man Utd,0,0,1,0,12.8,246,201,0,0,2.0,1.0,2020-01-01T20:00:00Z,32,1,0,0,0,0,21,0,37400,0,2,6.0,1,3613,5702,2089,49,False,0
Andrew Robertson,DEF,Liverpool,1,3,46,1,66.3,181,204,0,0,11.4,33.4,2020-01-02T20:00:00Z,87,15,0,0,0,0,21,0,1360684,0,2,14.0,12,-15332,39146,54478,70,True,0
Andrew Surman,MID,Bournemouth,0,0,0,0,0.0,80,210,0,0,0.0,0.0,2020-01-01T17:30:00Z,0,19,0,0,0,0,21,0,2528,0,4,0.0,0,-2,49,51,47,False,0
Andre Gray,FWD,Watford,0,0,0,0,0.0,364,209,0,0,0.0,0.0,2020-01-01T15:00:00Z,0,20,0,0,0,0,21,0,26508,1,2,0.0,0,-397,280,677,56,True,0
Andre Green,MID,Aston Villa,0,0,0,0,0.0,32,203,0,0,0.0,0.0,2020-01-01T12:30:00Z,0,5,0,0,0,0,21,0,779,2,1,0.0,0,-12,14,26,49,False,0
Andriy Yarmolenko,MID,West Ham,0,0,0,0,0.0,392,210,0,0,0.0,0.0,2020-01-01T17:30:00Z,0,3,0,0,0,0,21,0,81412,0,4,0.0,0,-9764,243,10007,54,True,0
Andros Townsend,MID,Crystal Palace,0,0,0,0,0.0,135,207,0,0,0.0,0.0,2020-01-01T17:30:00Z,0,14,0,0,0,0,21,0,77052,1,1,0.0,0,-2701,23,2724,56,False,0
