name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Max Kilman,DEF,Wolves,0,0,0,0,0.0,408,30,0,0,0.0,0.0,2019-08-25T15:30:00Z,0,5,0,0,0,0,3,0,121124,1,1,0.0,0,-232,10173,10405,40,True,0
Max Meyer,MID,Crystal Palace,0,0,0,0,0.0,136,25,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,12,0,0,0,0,3,0,10224,2,1,0.0,0,-1728,451,2179,55,False,0
Maya Yoshida,DEF,Southampton,0,0,0,0,0.0,310,23,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,4,0,0,0,0,3,0,22581,2,0,0.0,0,-414,1477,1891,45,False,0
Mesut Özil,MID,Arsenal,0,0,0,0,0.0,15,24,0,0,0.0,0.0,2019-08-24T16:30:00Z,0,10,0,0,0,0,3,0,47899,1,3,0.0,0,-19044,461,19505,74,False,0
Michael Keane,DEF,Everton,0,0,12,0,11.1,143,21,2,0,2.7,10.0,2019-08-23T19:00:00Z,90,2,0,0,0,0,3,0,246010,0,2,6.0,1,30661,46539,15878,55,False,0
Michael McGovern,GK,Norwich,0,0,0,0,0.0,281,26,0,0,0.0,0.0,2019-08-24T11:30:00Z,0,6,0,0,0,0,3,0,320094,3,2,0.0,0,4147,18510,14363,40,True,0
Michael Obafemi,FWD,Southampton,0,0,0,0,0.0,314,23,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,4,0,0,0,0,3,0,15246,2,0,0.0,0,-1561,970,2531,50,False,0
Michael Verrips,GK,Sheffield Utd,0,0,0,0,0.0,521,27,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,9,0,0,0,0,3,0,2248,2,1,0.0,0,-123,40,163,45,True,0
Michail Antonio,MID,West Ham,1,0,8,0,14.6,389,29,0,0,8.0,11.2,2019-08-24T14:00:00Z,35,18,0,0,0,0,3,0,85122,3,1,54.0,4,-10133,928,11061,70,False,0
Michy Batshuayi,FWD,Chelsea,0,0,0,0,0.0,461,26,0,0,0.0,0.0,2019-08-24T11:30:00Z,0,14,0,0,0,0,3,0,33349,3,2,0.0,0,-10751,1420,12171,68,False,0
Miguel Almirón,MID,Newcastle,0,0,3,1,1.4,266,28,0,0,4.5,8.0,2019-08-25T15:30:00Z,90,17,0,0,0,0,3,0,45244,1,0,36.0,3,-12107,1383,13490,60,False,0
Mohamed Elneny,MID,Arsenal,0,0,0,0,0.0,20,24,0,0,0.0,0.0,2019-08-24T16:30:00Z,0,10,0,0,0,0,3,0,21170,1,3,0.0,0,-898,2132,3030,45,False,0
Mohamed Elyounoussi,MID,Southampton,0,0,0,0,0.0,322,23,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,4,0,0,0,0,3,0,3550,2,0,0.0,0,-527,41,568,54,False,0
Mohamed Salah,MID,Liverpool,0,3,43,0,16.6,191,24,1,2,15.5,71.2,2019-08-24T16:30:00Z,90,1,0,0,0,0,3,0,2444065,1,3,67.0,15,-351541,47097,398638,125,True,0
Moise Kean,FWD,Everton,0,0,6,0,10.8,496,21,1,0,2.1,2.0,2019-08-23T19:00:00Z,28,2,0,0,0,0,3,0,275636,0,2,8.0,1,-121091,15170,136261,69,False,0
Morgan Gibbs-White,MID,Wolves,0,0,13,0,25.6,416,30,1,0,3.7,3.2,2019-08-25T15:30:00Z,66,5,0,0,0,0,3,0,5978,1,1,8.0,2,-572,356,928,50,True,0
Morgan Schneiderlin,MID,Everton,0,0,15,0,5.1,158,21,2,0,2.3,16.4,2019-08-23T19:00:00Z,90,2,0,0,0,0,3,0,62478,0,2,1.0,2,-2462,4067,6529,45,False,0
Moritz Leitner,MID,Norwich,0,0,16,0,13.9,288,26,3,0,3.5,19.4,2019-08-24T11:30:00Z,80,6,0,0,0,0,3,0,18960,3,2,2.0,2,-793,1679,2472,45,True,0
Moussa Djenepo,MID,Southampton,0,0,24,0,1.3,438,23,0,1,7.4,41.2,2019-08-24T14:00:00Z,37,4,0,0,0,0,3,0,4896,2,0,31.0,5,-856,132,988,54,False,1
Moussa Sissoko,MID,Spurs,0,0,25,0,50.0,349,28,1,0,7.9,22.8,2019-08-25T15:30:00Z,90,13,0,0,0,0,3,0,172607,1,0,6.0,2,420,25575,25155,50,True,0
Muhamed Bešić,MID,Sheffield Utd,0,0,0,0,0.0,522,27,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,9,0,0,0,0,3,0,15074,2,1,0.0,0,-1318,1006,2324,45,True,0
N'Golo Kanté,MID,Chelsea,0,0,0,0,0.0,119,26,0,0,0.0,0.0,2019-08-24T11:30:00Z,0,14,0,0,0,0,3,0,496750,3,2,0.0,0,4388,59890,55502,50,False,0
Naby Keita,MID,Liverpool,0,0,0,0,0.0,196,24,0,0,0.0,0.0,2019-08-24T16:30:00Z,0,1,0,0,0,0,3,0,17671,1,3,0.0,0,-8983,75,9058,59,True,0
Nacho Monreal,DEF,Arsenal,0,0,9,0,1.2,6,24,3,0,1.5,10.0,2019-08-24T16:30:00Z,90,10,0,0,0,0,3,0,78265,1,3,4.0,1,-4490,7056,11546,50,False,0
Nampalys Mendy,MID,Leicester,0,0,2,0,0.0,179,27,0,0,0.1,1.2,2019-08-24T14:00:00Z,1,15,0,0,0,0,3,0,51575,2,1,0.0,1,-2205,3598,5803,45,False,0
Nathaniel Chalobah,MID,Watford,0,0,0,0,0.0,374,29,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,19,0,0,0,0,3,0,15614,3,1,0.0,0,-216,1494,1710,45,True,0
Nathan Aké,DEF,Bournemouth,0,0,15,0,0.2,59,22,3,0,6.2,39.2,2019-08-25T13:00:00Z,90,11,0,0,0,0,3,0,921924,3,1,23.0,1,-145569,14293,159862,50,True,0
Nathan Redmond,MID,Southampton,0,2,31,1,23.5,320,23,0,1,11.1,46.2,2019-08-24T14:00:00Z,90,4,0,0,0,0,3,0,104328,2,0,41.0,10,-16680,3129,19809,64,False,0
Neal Maupay,FWD,Brighton,0,0,2,0,10.8,502,23,1,0,11.1,7.2,2019-08-24T14:00:00Z,73,16,0,0,0,0,3,0,49709,2,0,93.0,2,-2552,11143,13695,60,True,0
Neil Taylor,DEF,Aston Villa,0,0,22,1,0.9,24,21,0,0,1.2,8.8,2019-08-23T19:00:00Z,90,8,0,0,0,0,3,0,15009,0,2,2.0,6,-968,789,1757,45,True,0
Nemanja Matic,MID,Man Utd,0,0,0,0,0.0,247,25,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,7,0,0,0,0,3,0,31769,2,1,0.0,0,-5646,1085,6731,49,True,0
Nick Pope,GK,Burnley,0,0,14,0,0.0,93,30,1,0,0.9,9.4,2019-08-25T15:30:00Z,90,20,0,0,0,0,3,2,573817,1,1,0.0,2,90981,127275,36294,45,False,0
Nicolas Pépé,MID,Arsenal,0,0,2,0,17.7,488,24,3,0,7.2,15.0,2019-08-24T16:30:00Z,90,10,0,0,0,0,3,0,215718,1,3,39.0,2,-74338,7008,81346,94,False,0
Nicolás Otamendi,DEF,Man City,0,0,6,0,2.4,208,22,1,0,5.9,17.0,2019-08-25T13:00:00Z,90,3,0,0,0,0,3,0,76034,3,1,40.0,1,-237,8787,9024,54,False,1
Oleksandr Zinchenko,DEF,Man City,0,0,20,0,65.3,206,22,1,0,9.1,25.2,2019-08-25T13:00:00Z,90,3,0,0,0,0,3,0,735688,3,1,0.0,2,36378,116136,79758,55,False,0
Oliver McBurnie,FWD,Sheffield Utd,0,1,24,0,3.8,501,27,1,1,5.9,34.6,2019-08-24T14:00:00Z,36,9,0,0,0,0,3,0,8466,2,1,21.0,6,-1615,549,2164,60,True,0
Oliver Norwood,MID,Sheffield Utd,0,0,16,0,31.8,302,27,2,0,5.9,19.4,2019-08-24T14:00:00Z,90,9,0,0,0,0,3,0,21533,2,1,8.0,2,-1654,2002,3656,50,True,0
Oliver Skipp,MID,Spurs,0,0,0,0,0.0,352,28,0,0,0.0,0.0,2019-08-25T15:30:00Z,0,13,0,0,0,0,3,0,37041,1,0,0.0,0,-1286,3084,4370,45,True,0
Olivier Giroud,FWD,Chelsea,0,0,0,0,12.4,110,26,0,0,1.2,0.0,2019-08-24T11:30:00Z,15,14,0,0,0,0,3,0,155755,3,2,0.0,1,-5421,26029,31450,70,False,0
Onel Hernández,MID,Norwich,0,0,0,0,0.0,284,26,0,0,0.0,0.0,2019-08-24T11:30:00Z,0,6,0,0,0,0,3,0,7470,3,2,0.0,0,-4255,30,4285,54,True,0
Oriol Romeu Vidal,MID,Southampton,0,0,14,1,2.9,328,23,0,0,0.8,5.4,2019-08-24T14:00:00Z,90,4,0,0,0,0,3,0,77994,2,0,0.0,3,-4717,4265,8982,45,False,0
Pablo Fornals,MID,West Ham,0,0,4,0,1.1,399,29,0,0,2.7,8.4,2019-08-24T14:00:00Z,12,18,0,0,0,0,3,0,43487,3,1,17.0,1,-10974,592,11566,64,False,0
Pablo Zabaleta,DEF,West Ham,0,0,0,0,0.0,379,29,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,18,0,0,0,0,3,0,43152,3,1,0.0,0,-5025,824,5849,45,False,0
Pascal Groß,MID,Brighton,0,0,4,0,14.9,49,23,1,0,1.9,4.0,2019-08-24T14:00:00Z,12,16,0,0,0,0,3,0,83552,2,0,0.0,1,-5524,9883,15407,65,True,0
Patrick Cutrone,FWD,Wolves,0,0,0,0,0.0,487,30,0,0,0.0,0.0,2019-08-25T15:30:00Z,0,5,0,0,0,0,3,0,67285,1,1,0.0,0,-14603,3513,18116,59,True,0
Patrick Roberts,MID,Norwich,0,0,0,0,0.0,435,26,0,0,0.0,0.0,2019-08-24T11:30:00Z,0,6,0,0,0,0,3,0,5983,3,2,0.0,0,-1401,189,1590,54,True,0
Patrick van Aanholt,DEF,Crystal Palace,0,2,23,0,1.1,123,25,1,1,7.0,48.2,2019-08-24T14:00:00Z,90,12,0,0,0,0,3,0,351795,2,1,21.0,10,-40933,6382,47315,55,False,0
Paulo Gazzaniga,GK,Spurs,0,0,0,0,0.0,341,28,0,0,0.0,0.0,2019-08-25T15:30:00Z,0,13,0,0,0,0,3,0,16202,1,0,0.0,0,-967,219,1186,45,True,0
Paul Dummett,DEF,Newcastle,0,1,27,1,0.1,255,28,0,0,2.4,24.2,2019-08-25T15:30:00Z,90,17,0,0,0,0,3,0,13839,1,0,0.0,7,-1522,179,1701,45,False,0
Paul Pogba,MID,Man Utd,0,0,6,0,27.6,238,25,2,0,6.0,9.2,2019-08-24T14:00:00Z,90,7,0,0,0,0,3,0,624081,2,1,23.0,2,-34089,67423,101512,86,True,0
Pedro Lomba Neto,MID,Wolves,0,0,3,0,1.4,528,30,0,0,0.9,1.8,2019-08-25T15:30:00Z,23,5,0,0,0,0,3,0,1635,1,1,6.0,1,213,517,304,50,True,0
Pedro Obiang,MID,West Ham,0,0,0,0,0.0,400,29,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,18,0,0,0,0,3,0,4796,3,1,0.0,0,-497,475,972,45,False,0
Pedro Rodríguez Ledesma,MID,Chelsea,0,0,0,0,0.0,114,26,0,0,0.0,0.0,2019-08-24T11:30:00Z,0,14,0,0,0,0,3,0,255712,3,2,0.0,0,3341,46820,43479,70,False,0
