name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Aaron Cresswell,DEF,West Ham,0,0,7,0,1.5,376,8,5,0,1.1,9.0,2019-08-10T11:30:00Z,90,11,0,0,0,0,1,0,23399,5,0,0.0,0,0,0,0,50,True,0
Aaron Lennon,MID,Burnley,0,0,3,0,0.0,430,3,0,0,0.2,2.0,2019-08-10T14:00:00Z,6,16,0,0,0,0,1,0,8105,0,3,0.0,1,0,0,0,50,True,0
Aaron Mooy,MID,Brighton,0,0,0,0,0.0,516,7,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,18,0,0,0,0,1,0,16261,3,0,0.0,0,0,0,0,50,False,0
Aaron Ramsdale,GK,Bournemouth,0,0,11,0,0.0,494,2,1,0,1.0,9.8,2019-08-10T14:00:00Z,90,15,0,0,0,0,1,2,3091,1,1,0.0,2,0,0,0,45,True,0
Aaron Wan-Bissaka,DEF,Man Utd,0,2,34,1,16.1,122,9,0,0,4.9,30.4,2019-08-11T15:30:00Z,90,6,0,0,0,0,1,0,1879259,0,4,2.0,8,0,0,0,55,True,0
Abdoulaye Doucouré,MID,Watford,0,0,7,0,23.1,368,7,3,0,3.0,4.4,2019-08-10T14:00:00Z,90,4,1,0,0,0,1,0,200815,3,0,2.0,0,0,0,0,60,True,0
Adama Traoré,MID,Wolves,0,0,0,0,0.0,417,5,0,0,0.0,0.0,2019-08-11T13:00:00Z,0,9,0,0,0,0,1,0,17995,0,0,0.0,0,0,0,0,50,False,0
Adam Lallana,MID,Liverpool,0,0,0,0,0.0,195,1,0,0,0.0,0.0,2019-08-09T19:00:00Z,0,14,0,0,0,0,1,0,7143,1,4,0.0,0,0,0,0,60,True,0
Adam Masina,DEF,Watford,0,0,0,0,0.0,355,7,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,4,0,0,0,0,1,0,4687,3,0,0.0,0,0,0,0,45,True,0
Adam Smith,DEF,Bournemouth,0,0,10,0,7.0,63,2,1,0,1.4,3.4,2019-08-10T14:00:00Z,90,15,0,0,0,0,1,0,90570,1,1,4.0,1,0,0,0,45,True,1
Adam Webster,DEF,Brighton,0,0,0,0,0.0,493,7,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,18,0,0,0,0,1,0,5861,3,0,0.0,0,0,0,0,45,False,0
Ademola Lookman,MID,Everton,0,0,0,0,0.0,155,4,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,7,0,0,0,0,1,0,773,0,0,0.0,0,0,0,0,50,False,0
Adrian Mariappa,DEF,Watford,0,0,0,0,0.0,356,7,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,4,0,0,0,0,1,0,15852,3,0,0.0,0,0,0,0,45,True,0
Adrián San Miguel del Castillo,GK,Liverpool,0,0,7,0,0.0,526,1,1,0,1.1,10.6,2019-08-09T19:00:00Z,51,14,0,0,0,0,1,2,0,1,4,0.0,1,0,0,0,45,True,0
Ahmed El Mohamady,DEF,Aston Villa,0,0,10,0,1.0,22,6,3,0,1.4,13.4,2019-08-10T16:30:00Z,90,17,0,0,0,0,1,0,112887,1,3,0.0,1,0,0,0,45,False,0
Ainsley Maitland-Niles,DEF,Arsenal,1,3,38,1,12.3,4,10,0,0,5.1,38.4,2019-08-11T13:00:00Z,90,13,0,0,0,0,1,0,57131,1,0,0.0,12,0,0,0,50,False,0
