name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Aaron Connolly,FWD,Brighton,0,0,-1,0,1.0,534,173,0,0,2.4,2.2,2019-12-21T15:00:00Z,45,15,0,0,0,0,18,0,119562,1,0,21.0,1,-20915,1982,22897,46,True,0
Aaron Lennon,MID,Burnley,0,0,1,0,0.6,430,172,0,0,0.1,0.4,2019-12-21T15:00:00Z,25,3,0,0,0,0,18,0,6598,1,0,0.0,1,-97,92,189,47,False,0
Aaron Mooy,MID,Brighton,0,0,12,0,32.8,516,173,1,0,7.4,18.4,2019-12-21T15:00:00Z,90,15,0,0,0,0,18,0,14666,1,0,23.0,2,1108,1808,700,48,True,0
Aaron Ramsdale,GK,Bournemouth,0,0,11,0,0.0,494,172,1,0,0.5,4.6,2019-12-21T15:00:00Z,90,5,0,0,0,0,18,0,402943,1,0,0.0,2,89159,92780,3621,46,True,0
Aaron Wan-Bissaka,DEF,Man Utd,0,0,4,0,1.6,122,179,2,0,1.3,11.8,2019-12-22T14:00:00Z,90,18,0,0,0,0,18,0,1126931,0,2,0.0,1,45001,60812,15811,53,False,0
Abdoulaye Doucouré,MID,Watford,0,0,2,1,2.5,368,179,0,0,1.3,2.2,2019-12-22T14:00:00Z,68,12,0,0,0,0,18,0,63367,0,2,8.0,2,-886,1084,1970,56,True,1
Adama Traoré,MID,Wolves,0,0,15,0,49.9,417,177,1,0,11.9,23.2,2019-12-21T15:00:00Z,90,14,0,0,0,0,18,0,491547,2,1,46.0,2,138976,150649,11673,53,False,0
Adam Idah,FWD,Norwich,0,0,0,0,0.0,538,177,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,20,0,0,0,0,18,0,7743,2,1,0.0,0,190,616,426,44,True,0
Adam Masina,DEF,Watford,0,0,0,0,0.0,355,179,0,0,0.0,0.0,2019-12-22T14:00:00Z,0,12,0,0,0,0,18,0,4393,0,2,0.0,0,-192,10,202,43,True,0
Adam Smith,DEF,Bournemouth,0,0,0,0,0.0,63,172,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,5,0,0,0,0,18,0,40590,1,0,0.0,0,-6484,41,6525,43,True,0
Adam Webster,DEF,Brighton,0,0,11,0,6.4,493,173,1,0,1.8,5.2,2019-12-21T15:00:00Z,90,15,0,0,0,0,18,0,16011,1,0,6.0,2,1222,1840,618,44,True,0
