name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Aaron Connolly,FWD,Brighton,0,0,0,0,0.0,534,192,0,0,0.0,0.0,2019-12-28T12:30:00Z,0,3,0,0,0,0,20,0,116073,0,2,0.0,0,-3504,5822,9326,45,True,0
Aaron Cresswell,DEF,West Ham,0,0,0,0,0.0,376,200,0,0,0.0,0.0,2019-12-28T17:30:00Z,0,9,0,0,0,0,20,0,91703,2,1,0.0,0,-16143,746,16889,47,True,0
Aaron Lennon,MID,Burnley,0,0,0,0,0.0,430,193,0,0,0.0,0.0,2019-12-28T19:45:00Z,0,12,0,0,0,0,20,0,6285,2,0,0.0,0,-166,5,171,47,True,0
Aaron Mooy,MID,Brighton,0,3,34,1,68.3,516,192,0,1,15.8,51.4,2019-12-28T12:30:00Z,83,3,0,0,0,0,20,0,17142,0,2,38.0,11,2407,3082,675,48,True,0
Aaron Ramsdale,GK,Bournemouth,0,0,16,0,0.0,494,192,2,0,2.8,28.2,2019-12-28T12:30:00Z,90,4,0,0,0,0,20,4,436505,0,2,0.0,2,48729,56274,7545,47,False,0
Aaron Wan-Bissaka,DEF,Man Utd,0,0,0,0,0.0,122,193,0,0,0.0,0.0,2019-12-28T19:45:00Z,0,5,0,0,0,0,20,0,1080192,2,0,0.0,0,-6021,11584,17605,53,False,0
Abdoulaye Doucouré,MID,Watford,1,0,23,1,4.9,368,199,0,0,3.7,12.4,2019-12-28T15:00:00Z,90,2,0,0,0,0,20,0,61763,0,3,20.0,6,1489,2581,1092,56,True,0
Adama Traoré,MID,Wolves,0,0,7,0,1.3,417,194,0,0,2.0,10.8,2019-12-29T16:30:00Z,32,10,0,0,0,0,20,0,669995,0,1,8.0,1,176506,191442,14936,54,False,0
Adam Idah,FWD,Norwich,0,0,0,0,0.0,538,197,0,0,0.0,0.0,2019-12-28T17:30:00Z,0,17,0,0,0,0,20,0,7908,2,2,0.0,0,-27,285,312,44,True,0
Adam Lallana,MID,Liverpool,1,0,12,1,13.3,195,194,0,0,4.4,24.8,2019-12-29T16:30:00Z,66,20,0,0,0,0,20,0,8738,0,1,6.0,5,-18,91,109,58,True,1
Adam Masina,DEF,Watford,0,0,3,0,0.0,355,199,0,0,0.2,2.0,2019-12-28T15:00:00Z,5,2,0,0,0,0,20,0,4381,0,3,0.0,1,-35,39,74,43,True,0
Adam Smith,DEF,Bournemouth,0,0,0,0,0.0,63,192,0,0,0.0,0.0,2019-12-28T12:30:00Z,0,4,0,0,0,0,20,0,36166,0,2,0.0,0,-2247,19,2266,43,False,0
Adam Webster,DEF,Brighton,0,0,0,0,0.0,493,192,0,0,0.0,0.0,2019-12-28T12:30:00Z,0,3,0,0,0,0,20,0,45601,0,2,0.0,0,26330,27602,1272,44,True,0
Addji Keaninkin Marc-Israel Guehi,DEF,Chelsea,0,0,0,0,0.0,545,191,0,0,0.0,0.0,2019-12-29T14:00:00Z,0,1,0,0,0,0,20,0,7166,2,1,0.0,0,-94,121,215,40,False,0
Ademola Lookman,MID,Everton,0,0,0,0,0.0,155,196,0,0,0.0,0.0,2019-12-28T15:00:00Z,0,13,0,0,0,0,20,0,468,2,1,0.0,0,1,5,4,50,False,0
Adrian Mariappa,DEF,Watford,0,0,-9,0,2.5,356,199,0,0,0.1,0.0,2019-12-28T15:00:00Z,56,2,0,0,0,1,20,0,13105,0,3,4.0,-2,819,1103,284,42,True,0
Adrián San Miguel del Castillo,GK,Liverpool,0,0,0,0,0.0,526,194,0,0,0.0,0.0,2019-12-29T16:30:00Z,0,20,0,0,0,0,20,0,169329,0,1,0.0,0,-4957,863,5820,42,True,0
Ahmed El Mohamady,DEF,Aston Villa,0,0,12,0,17.3,22,199,3,0,2.7,9.2,2019-12-28T15:00:00Z,90,18,0,0,0,0,20,0,73109,0,3,0.0,1,1913,3342,1429,42,False,0
Ainsley Maitland-Niles,DEF,Arsenal,0,0,12,0,1.3,4,191,2,0,1.9,15.4,2019-12-29T14:00:00Z,90,6,0,0,0,0,20,0,184198,2,1,2.0,0,-1384,1502,2886,46,True,1
Akin Famewo,DEF,Norwich,0,0,0,0,0.0,552,197,0,0,0.0,0.0,2019-12-28T17:30:00Z,0,17,0,0,0,0,20,0,5334,2,2,0.0,0,-43,109,152,40,True,0
Albian Ajeti,FWD,West Ham,0,0,0,0,0.0,514,200,0,0,1.9,0.0,2019-12-28T17:30:00Z,20,9,0,0,0,0,20,0,2522,2,1,20.0,1,-23,18,41,57,True,0
Alexander Tettey,MID,Norwich,0,0,10,0,11.8,289,197,2,0,2.0,8.2,2019-12-28T17:30:00Z,85,17,0,0,0,0,20,0,26323,2,2,0.0,2,972,2501,1529,45,True,0
Alexandre Nascimento Costa Silva,FWD,West Ham,0,0,0,0,0.0,387,200,0,0,0.0,0.0,2019-12-28T17:30:00Z,0,9,0,0,0,0,20,0,66732,2,1,0.0,0,-333,1215,1548,43,True,0
Alexandre Lacazette,FWD,Arsenal,0,0,2,0,2.8,12,191,2,0,1.1,3.8,2019-12-29T14:00:00Z,90,6,0,0,0,0,20,0,116844,2,1,4.0,1,-2285,1932,4217,93,True,1
Alexis Sánchez,MID,Man Utd,0,0,0,0,0.0,240,193,0,0,0.0,0.0,2019-12-28T19:45:00Z,0,5,0,0,0,0,20,0,28823,2,0,0.0,0,-62,21,83,68,False,0
Alex Iwobi,MID,Everton,0,0,0,0,0.0,17,196,0,0,0.0,0.0,2019-12-28T15:00:00Z,0,13,0,0,0,0,20,0,75821,2,1,0.0,0,-3020,46,3066,56,False,0
Alex McCarthy,GK,Southampton,0,0,9,0,0.0,318,198,1,0,1.0,9.6,2019-12-28T15:00:00Z,90,7,0,0,0,0,20,1,60961,1,1,0.0,2,10821,12139,1318,43,True,0
Alex Oxlade-Chamberlain,MID,Liverpool,0,0,0,0,0.0,193,194,0,0,0.0,0.0,2019-12-29T16:30:00Z,0,20,0,0,0,0,20,0,31743,0,1,0.0,0,-4235,44,4279,62,True,0
Alfie Whiteman,GK,Spurs,0,0,0,0,0.0,543,197,0,0,0.0,0.0,2019-12-28T17:30:00Z,0,14,0,0,0,0,20,0,35748,2,2,0.0,0,709,1343,634,40,False,0
Alireza Jahanbakhsh,MID,Brighton,0,0,24,1,5.2,50,192,0,1,8.7,37.6,2019-12-28T12:30:00Z,83,3,0,0,0,0,20,0,4707,0,2,44.0,8,-20,25,45,58,True,0
Alisson Ramses Becker,GK,Liverpool,0,0,24,1,0.0,189,194,0,0,1.7,16.8,2019-12-29T16:30:00Z,90,20,0,0,0,0,20,2,590094,0,1,0.0,6,32488,38182,5694,60,True,0
Allan Saint-Maximin,MID,Newcastle,0,0,0,0,0.0,500,196,0,0,0.0,0.0,2019-12-28T15:00:00Z,0,8,0,0,0,0,20,0,19849,2,1,0.0,0,-1202,58,1260,54,True,0
