name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Aaron Connolly,FWD,Brighton,0,0,0,0,0.0,534,273,0,0,0.0,0.0,2020-02-29T12:30:00Z,0,7,0,0,0,0,28,0,89857,1,0,0.0,0,-4157,2821,6978,43,True,0
Aaron Cresswell,DEF,West Ham,0,0,7,0,18.9,376,280,1,0,2.5,5.6,2020-02-29T15:00:00Z,90,16,0,0,0,0,28,0,94952,1,3,0.0,1,960,4299,3339,46,True,1
Aaron Lennon,MID,Burnley,0,0,0,0,0.0,430,276,0,0,0.0,0.0,2020-02-29T15:00:00Z,0,13,0,0,0,0,28,0,6433,0,0,0.0,0,0,112,112,46,False,0
Aaron Mooy,MID,Brighton,0,0,11,0,51.3,516,273,1,0,8.6,17.8,2020-02-29T12:30:00Z,90,7,0,0,0,0,28,0,57676,1,0,17.0,2,-1348,3177,4525,48,True,0
Aaron Ramsdale,GK,Bournemouth,0,0,18,0,0.0,494,272,2,0,3.4,34.4,2020-02-29T15:00:00Z,90,6,0,0,0,0,28,5,273111,2,2,0.0,2,-9419,3805,13224,46,True,0
Aaron Wan-Bissaka,DEF,Man Utd,0,0,9,0,15.9,122,274,1,0,2.7,11.0,2020-03-01T14:00:00Z,90,8,0,0,0,0,28,0,1089317,1,1,0.0,2,26366,37357,10991,53,False,0
Abd-Al-Ali Morakinyo Olaposi Koiki,DEF,Burnley,0,0,0,0,0.0,596,276,0,0,0.0,0.0,2020-02-29T15:00:00Z,0,13,0,0,0,0,28,0,1797,0,0,0.0,0,72,194,122,40,False,0
Abdoulaye Doucouré,MID,Watford,1,0,20,1,23.0,368,279,0,0,6.9,21.0,2020-02-29T17:30:00Z,88,10,0,0,0,0,28,0,166447,0,3,25.0,6,-8774,6673,15447,57,True,0
Adama Traoré,MID,Wolves,0,0,8,0,19.4,417,278,2,0,3.5,5.6,2020-03-01T14:00:00Z,73,17,0,0,0,0,28,0,1537850,3,2,10.0,2,-52004,67105,119109,59,False,0
Adam Idah,FWD,Norwich,0,0,0,0,0.0,538,277,0,0,0.0,0.0,2020-02-28T20:00:00Z,0,9,0,0,0,0,28,0,9002,0,1,0.0,0,-141,191,332,44,True,0
Adam Lallana,MID,Liverpool,0,0,8,0,5.3,195,279,1,0,2.0,5.2,2020-02-29T17:30:00Z,29,18,0,0,0,0,28,0,9074,0,3,9.0,1,-82,32,114,57,False,0
Adam Masina,DEF,Watford,0,1,29,1,25.2,355,279,0,0,4.8,20.8,2020-02-29T17:30:00Z,90,10,0,0,0,0,28,0,17615,0,3,2.0,7,-1005,324,1329,43,True,0
Adam Smith,DEF,Bournemouth,0,0,1,0,2.3,63,272,2,0,0.7,4.4,2020-02-29T15:00:00Z,90,6,0,0,0,0,28,0,30267,2,2,0.0,0,-318,176,494,43,True,1
Adam Webster,DEF,Brighton,0,0,17,0,20.8,493,273,1,0,5.8,31.4,2020-02-29T12:30:00Z,90,7,0,0,0,0,28,0,56383,1,0,6.0,2,6075,7824,1749,44,True,0
Addji Keaninkin Marc-Israel Guehi,DEF,Chelsea,0,0,0,0,0.0,545,272,0,0,0.0,0.0,2020-02-29T15:00:00Z,0,3,0,0,0,0,28,0,5775,2,2,0.0,0,-69,22,91,40,False,0
Ademola Lookman,MID,Everton,0,0,0,0,0.0,155,274,0,0,0.0,0.0,2020-03-01T14:00:00Z,0,12,0,0,0,0,28,0,460,1,1,0.0,0,1,5,4,50,True,0
Adrian Mariappa,DEF,Watford,0,0,0,0,0.0,356,279,0,0,0.0,0.0,2020-02-29T17:30:00Z,0,10,0,0,0,0,28,0,24175,0,3,0.0,0,-1885,208,2093,42,True,0
Adrián San Miguel del Castillo,GK,Liverpool,0,0,0,0,0.0,526,279,0,0,0.0,0.0,2020-02-29T17:30:00Z,0,18,0,0,0,0,28,0,137297,0,3,0.0,0,-1308,980,2288,40,False,0
Akin Famewo,DEF,Norwich,0,0,0,0,0.0,552,277,0,0,0.0,0.0,2020-02-28T20:00:00Z,0,9,0,0,0,0,28,0,4318,0,1,0.0,0,-54,16,70,40,True,0
Albian Ajeti,FWD,West Ham,0,0,0,0,0.0,514,280,0,0,0.0,0.0,2020-02-29T15:00:00Z,0,16,0,0,0,0,28,0,2641,1,3,0.0,0,-7,45,52,57,True,0
Alexander Tettey,MID,Norwich,0,0,12,1,2.7,289,277,0,0,2.3,10.0,2020-02-28T20:00:00Z,90,9,0,0,0,0,28,0,25428,0,1,10.0,3,67,1317,1250,45,True,0
Alexandre Nascimento Costa Silva,FWD,West Ham,0,0,0,0,0.0,387,280,0,0,0.0,0.0,2020-02-29T15:00:00Z,0,16,0,0,0,0,28,0,64431,1,3,0.0,0,-257,873,1130,43,True,0
Alexis Mac Allister,MID,Brighton,0,0,0,0,0.0,627,273,0,0,0.0,0.0,2020-02-29T12:30:00Z,0,7,0,0,0,0,28,0,564,1,0,0.0,0,112,153,41,55,True,0
Alexis Sánchez,MID,Man Utd,0,0,0,0,0.0,240,274,0,0,0.0,0.0,2020-03-01T14:00:00Z,0,8,0,0,0,0,28,0,28409,1,1,0.0,0,-27,43,70,68,False,0
Alex Iwobi,MID,Everton,0,0,0,0,0.0,17,274,0,0,0.0,0.0,2020-03-01T14:00:00Z,0,12,0,0,0,0,28,0,66253,1,1,0.0,0,22,381,359,56,True,0
Alex McCarthy,GK,Southampton,0,0,13,0,0.0,318,280,3,0,2.6,26.2,2020-02-29T15:00:00Z,90,19,0,0,0,0,28,4,333906,1,3,0.0,2,34362,38587,4225,44,False,0
Alex Oxlade-Chamberlain,MID,Liverpool,0,0,8,0,25.6,193,279,2,0,4.1,5.2,2020-02-29T17:30:00Z,64,18,0,0,0,0,28,0,56994,0,3,10.0,2,-1611,5867,7478,62,False,0
Alfie Whiteman,GK,Spurs,0,0,0,0,0.0,543,278,0,0,0.0,0.0,2020-03-01T14:00:00Z,0,20,0,0,0,0,28,0,38564,3,2,0.0,0,-521,149,670,40,True,0
