name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Aaron Connolly,FWD,Brighton,0,0,1,0,1.3,534,189,1,0,0.5,0.0,2019-12-26T12:30:00Z,67,17,0,0,0,0,19,0,119037,1,2,6.0,2,-6317,4343,10660,46,False,0
Aaron Cresswell,DEF,West Ham,0,0,17,0,26.7,376,184,2,0,5.6,21.2,2019-12-26T15:00:00Z,90,7,0,0,0,0,19,0,108773,1,2,8.0,0,6383,10253,3870,47,False,1
Aaron Lennon,MID,Burnley,0,0,0,0,0.0,430,185,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,8,0,0,0,0,19,0,6438,0,1,0.0,0,-186,44,230,47,False,0
Aaron Mooy,MID,Brighton,0,0,8,0,13.3,516,189,2,0,3.4,9.6,2019-12-26T12:30:00Z,90,17,0,0,0,0,19,0,14458,1,2,11.0,2,-49,795,844,48,False,0
Aaron Ramsdale,GK,Bournemouth,0,0,10,0,0.0,494,182,1,0,0.7,7.0,2019-12-26T15:00:00Z,90,1,0,0,0,0,19,1,384146,1,1,0.0,2,10710,27525,16815,46,True,0
Aaron Wan-Bissaka,DEF,Man Utd,1,1,30,0,22.9,122,187,1,0,5.9,35.6,2019-12-26T17:30:00Z,90,13,0,0,0,0,19,0,1083075,1,4,0.0,6,-21267,8122,29389,53,True,0
Abdoulaye Doucouré,MID,Watford,0,0,0,0,0.0,368,188,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,15,0,0,0,0,19,0,59852,1,1,0.0,0,-3608,352,3960,56,False,0
Adama Traoré,MID,Wolves,1,3,53,0,46.1,417,190,2,1,17.4,70.4,2019-12-27T19:45:00Z,90,11,0,0,0,0,19,0,484896,2,3,57.0,13,18100,56529,38429,53,True,0
Adam Idah,FWD,Norwich,0,0,0,0,0.0,538,181,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,2,0,0,0,0,19,0,7834,0,1,0.0,0,-9,377,386,44,False,0
Adam Lallana,MID,Liverpool,0,0,2,0,0.8,195,186,0,0,0.1,0.2,2019-12-26T20:00:00Z,8,9,0,0,0,0,19,0,8694,4,0,0.0,1,11,116,105,58,False,0
Adam Masina,DEF,Watford,0,0,0,0,0.0,355,188,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,15,0,0,0,0,19,0,4387,1,1,0.0,0,-45,34,79,43,False,0
Adam Smith,DEF,Bournemouth,0,0,0,0,0.0,63,182,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,1,0,0,0,0,19,0,38354,1,1,0.0,0,-2996,23,3019,43,True,0
Adam Webster,DEF,Brighton,0,3,36,0,5.3,493,189,2,1,8.2,57.6,2019-12-26T12:30:00Z,90,17,0,0,0,0,19,0,15613,1,2,19.0,10,-72,714,786,44,False,0
Addji Keaninkin Marc-Israel Guehi,DEF,Chelsea,0,0,0,0,0.0,545,183,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,16,0,0,0,0,19,0,7118,2,0,0.0,0,-69,183,252,40,True,0
Ademola Lookman,MID,Everton,0,0,0,0,0.0,155,185,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,5,0,0,0,0,19,0,466,0,1,0.0,0,4,12,8,50,True,0
Adrian Mariappa,DEF,Watford,0,0,9,0,0.6,356,188,1,0,1.4,13.4,2019-12-26T15:00:00Z,90,15,0,0,0,0,19,0,12191,1,1,0.0,2,961,1229,268,42,False,0
Adrián San Miguel del Castillo,GK,Liverpool,0,0,0,0,0.0,526,186,0,0,0.0,0.0,2019-12-26T20:00:00Z,0,9,0,0,0,0,19,0,174013,4,0,0.0,0,-5793,1203,6996,42,False,0
Ahmed El Mohamady,DEF,Aston Villa,0,0,22,1,17.1,22,181,0,0,4.9,12.2,2019-12-26T15:00:00Z,90,14,0,0,0,0,19,0,70637,0,1,20.0,6,-1181,1850,3031,42,True,0
Ainsley Maitland-Niles,DEF,Arsenal,0,0,9,0,3.2,4,182,1,0,1.6,13.0,2019-12-26T15:00:00Z,90,3,0,0,0,0,19,0,185579,1,1,0.0,1,995,3097,2102,46,False,1
Akin Famewo,DEF,Norwich,0,0,0,0,0.0,552,181,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,2,0,0,0,0,19,0,5251,0,1,0.0,0,-58,136,194,40,False,0
Albian Ajeti,FWD,West Ham,0,0,3,0,0.0,514,184,0,0,0.0,0.0,2019-12-26T15:00:00Z,1,7,0,0,0,0,19,0,2536,1,2,0.0,1,-20,20,40,57,False,0
Alexander Tettey,MID,Norwich,0,0,9,0,3.7,289,181,1,0,2.6,4.4,2019-12-26T15:00:00Z,74,2,0,0,0,0,19,0,25261,0,1,18.0,1,1841,3576,1735,45,False,1
Alexandre Nascimento Costa Silva,FWD,West Ham,0,0,0,0,0.0,387,184,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,7,0,0,0,0,19,0,66975,1,2,0.0,0,-598,1272,1870,43,False,0
Alexandre Lacazette,FWD,Arsenal,0,0,1,0,25.7,12,182,1,0,8.3,1.4,2019-12-26T15:00:00Z,90,3,0,0,0,0,19,0,118625,1,1,56.0,1,-4700,2106,6806,93,False,1
Alexis Sánchez,MID,Man Utd,0,0,0,0,0.0,240,187,0,0,0.0,0.0,2019-12-26T17:30:00Z,0,13,0,0,0,0,19,0,28859,1,4,0.0,0,-59,38,97,68,True,0
Alex Iwobi,MID,Everton,0,0,0,0,0.0,17,185,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,5,0,0,0,0,19,0,78731,0,1,0.0,0,-4866,170,5036,56,True,0
Alex McCarthy,GK,Southampton,0,0,26,1,0.0,318,183,0,0,2.9,29.2,2019-12-26T15:00:00Z,90,6,0,0,0,0,19,3,48834,2,0,0.0,7,2296,4404,2108,43,False,0
